Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
C,Austin Wynns (43821637),Austin Wynns,43821637,C,2200,TEX@LAA 08/13/2026 10:07PM ET,TEX,1.8,,8
OF,Jarred Kelenic (43821638),Jarred Kelenic,43821638,OF,2100,TEX@LAA 08/13/2026 10:07PM ET,TEX,3.2,,
C,Tyler Heineman (43821639),Tyler Heineman,43821639,C,2100,TEX@LAA 08/13/2026 10:07PM ET,LAA,2.4,,
C,Ben Rortvedt (43821640),Ben Rortvedt,43821640,C,2000,MIL@LAD 08/13/2026 10:10PM ET,LAD,0.6,,9
2B/OF,Jihwan Bae (43821641),Jihwan Bae,43821641,2B/OF,2000,MIL@LAD 08/13/2026 10:10PM ET,MIL,2.3,,
2B/3B,Anthony Rendon (43821657),Anthony Rendon,43821657,2B/3B,2000,TEX@LAA 08/13/2026 10:07PM ET,LAA,0,IL,
OF,Ryan Ward (43821659),Ryan Ward,43821659,OF,2000,MIL@LAD 08/13/2026 10:10PM ET,LAD,5.8,,
2B/OF,Tyler Fitzgerald (43821660),Tyler Fitzgerald,43821660,2B/OF,2000,MIL@LAD 08/13/2026 10:10PM ET,LAD,0,,
OF,Alek Thomas (43821662),Alek Thomas,43821662,OF,2000,MIL@LAD 08/13/2026 10:10PM ET,LAD,5.6,,
OF,Kyren Paris (43821663),Kyren Paris,43821663,OF,2000,TEX@LAA 08/13/2026 10:07PM ET,LAA,0,,
2B/OF,Christian Moore (43821664),Christian Moore,43821664,2B/OF,2000,TEX@LAA 08/13/2026 10:07PM ET,LAA,2.7,,
3B,Nacho Alvarez Jr. (43821666),Nacho Alvarez Jr.,43821666,3B,2000,TEX@LAA 08/13/2026 10:07PM ET,LAA,0,IL,
OF,Gustavo Campero (43821667),Gustavo Campero,43821667,OF,2000,TEX@LAA 08/13/2026 10:07PM ET,LAA,0,,
C,Sebastian Rivero (43821668),Sebastian Rivero,43821668,C,2000,TEX@LAA 08/13/2026 10:07PM ET,LAA,3.1,IL,
2B,Alex Freeland (43821669),Alex Freeland,43821669,2B,2000,MIL@LAD 08/13/2026 10:10PM ET,LAD,4.4,,
OF,Bryce Teodosio (43821670),Bryce Teodosio,43821670,OF,2000,TEX@LAA 08/13/2026 10:07PM ET,LAA,2.2,,
C,Logan Porter (43821671),Logan Porter,43821671,C,2000,TEX@LAA 08/13/2026 10:07PM ET,LAA,4.3,,
OF,Michael Helman (43821672),Michael Helman,43821672,OF,2000,TEX@LAA 08/13/2026 10:07PM ET,TEX,2.5,IL,
C,Eliezer Alfonzo (43821673),Eliezer Alfonzo,43821673,C,2000,MIL@LAD 08/13/2026 10:10PM ET,LAD,2.8,,
C,Jeferson Quero (43821674),Jeferson Quero,43821674,C,2000,MIL@LAD 08/13/2026 10:10PM ET,MIL,2,,
2B,Cody Freeman (43821675),Cody Freeman,43821675,2B,2000,TEX@LAA 08/13/2026 10:07PM ET,TEX,2.3,,
