Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Cristopher Sanchez (43956966),Cristopher Sanchez,43956966,P,11000,PHI@LAA 08/28/2026 09:38PM ET,PHI,22.6,,
SP,Zack Wheeler (43956912),Zack Wheeler,43956912,P,10500,PHI@LAA 08/28/2026 09:38PM ET,PHI,20,,
SP,Jesus Luzardo (43957006),Jesus Luzardo,43957006,P,10500,PHI@LAA 08/28/2026 09:38PM ET,PHI,21.8,,
SP,Reid Detmers (43957039),Reid Detmers,43957039,P,8800,PHI@LAA 08/28/2026 09:38PM ET,LAA,18.3,,P
RP,Walbert Urena (43957161),Walbert Urena,43957161,P,8800,PHI@LAA 08/28/2026 09:38PM ET,LAA,14.5,,
RP,Eduardo Rodriguez (43956920),Eduardo Rodriguez,43956920,P,8500,ARI@SF 08/28/2026 10:15PM ET,ARI,16.8,,
SP,Corbin Burnes (43956979),Corbin Burnes,43956979,P,8500,ARI@SF 08/28/2026 10:15PM ET,ARI,0,IL,
SP,Michael Soroka (43956983),Michael Soroka,43956983,P,8500,ARI@SF 08/28/2026 10:15PM ET,ARI,15.9,IL,
SP,Brandon Pfaadt (43957102),Brandon Pfaadt,43957102,P,8500,ARI@SF 08/28/2026 10:15PM ET,ARI,10.3,,
SP,Logan Webb (43956967),Logan Webb,43956967,P,8100,ARI@SF 08/28/2026 10:15PM ET,SF,15.6,,
RP,Landen Roupp (43957109),Landen Roupp,43957109,P,7600,ARI@SF 08/28/2026 10:15PM ET,SF,14.1,,
SP,Zach Eflin (43956934),Zach Eflin,43956934,P,7500,BAL@ATH 08/28/2026 09:40PM ET,BAL,16.7,IL,
SP,Kyle Bradish (43957019),Kyle Bradish,43957019,P,7500,BAL@ATH 08/28/2026 09:40PM ET,BAL,13.9,,
SP,Shane Baz (43957030),Shane Baz,43957030,P,7500,BAL@ATH 08/28/2026 09:40PM ET,BAL,14.4,,
SP,Trevor Rogers (43957031),Trevor Rogers,43957031,P,7500,BAL@ATH 08/28/2026 09:40PM ET,BAL,14,,
SP,Brandon Young (43957121),Brandon Young,43957121,P,7500,BAL@ATH 08/28/2026 09:40PM ET,BAL,14,,P
RP,J.T. Ginn (43957053),J.T. Ginn,43957053,P,7200,BAL@ATH 08/28/2026 09:40PM ET,ATH,13.6,,
SP,Gage Jump (43957139),Gage Jump,43957139,P,7200,BAL@ATH 08/28/2026 09:40PM ET,ATH,14.4,,
SP,Grayson Rodriguez (43957052),Grayson Rodriguez,43957052,P,6800,PHI@LAA 08/28/2026 09:38PM ET,LAA,9.5,,
SP,George Klassen (43957202),George Klassen,43957202,P,6800,PHI@LAA 08/28/2026 09:38PM ET,LAA,11.3,,
RP,Trevor McDonald (43957091),Trevor McDonald,43957091,P,6600,ARI@SF 08/28/2026 10:15PM ET,SF,10.1,IL,
SP,Blade Tidwell (43957171),Blade Tidwell,43957171,P,6600,ARI@SF 08/28/2026 10:15PM ET,SF,6.5,,P
SP,Carson Whisenhunt (43957172),Carson Whisenhunt,43957172,P,6600,ARI@SF 08/28/2026 10:15PM ET,SF,6.8,IL,
SP,Merrill Kelly (43956923),Merrill Kelly,43956923,P,6500,ARI@SF 08/28/2026 10:15PM ET,ARI,9.6,,
