Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Yoshinobu Yamamoto (43902356),Yoshinobu Yamamoto,43902356,P,10600,PIT@LAD 08/21/2026 10:10PM ET,LAD,22.1,,P
SP,Chase Burns (43902507),Chase Burns,43902507,P,10500,CIN@ARI 08/21/2026 09:40PM ET,CIN,21.4,,
SP,Tyler Glasnow (43902199),Tyler Glasnow,43902199,P,10400,PIT@LAD 08/21/2026 10:10PM ET,LAD,22.2,IL,
SP,Tarik Skubal (43902387),Tarik Skubal,43902387,P,10300,PIT@LAD 08/21/2026 10:10PM ET,LAD,21.8,,
SP,Nick Pivetta (43902241),Nick Pivetta,43902241,P,9900,MIN@SD 08/21/2026 09:40PM ET,SD,15.3,IL,
SP,Blake Snell (43902198),Blake Snell,43902198,P,9500,PIT@LAD 08/21/2026 10:10PM ET,LAD,18.5,,
SP,Paul Skenes (43902555),Paul Skenes,43902555,P,9400,PIT@LAD 08/21/2026 10:10PM ET,PIT,17.7,,
RP,Ben Brown (43902388),Ben Brown,43902388,P,9300,CHC@SEA 08/21/2026 10:10PM ET,CHC,11.6,IL,
RP,Braxton Ashcraft (43902415),Braxton Ashcraft,43902415,P,9300,PIT@LAD 08/21/2026 10:10PM ET,PIT,19.3,,
SP,Robbie Ray (43902183),Robbie Ray,43902183,P,8800,MIN@SD 08/21/2026 09:40PM ET,SD,15.2,,
SP,Casey Mize (43902411),Casey Mize,43902411,P,8800,MIN@SD 08/21/2026 09:40PM ET,SD,15.9,,
SP,Logan Gilbert (43902374),Logan Gilbert,43902374,P,8700,CHC@SEA 08/21/2026 10:10PM ET,SEA,19.4,,
SP,George Kirby (43902340),George Kirby,43902340,P,8600,CHC@SEA 08/21/2026 10:10PM ET,SEA,14.1,,
SP,Taj Bradley (43902421),Taj Bradley,43902421,P,8600,MIN@SD 08/21/2026 09:40PM ET,MIN,17.5,,
SP,Bryce Miller (43902435),Bryce Miller,43902435,P,8600,CHC@SEA 08/21/2026 10:10PM ET,SEA,16.3,,
SP,Kevin Gausman (43902181),Kevin Gausman,43902181,P,8500,CHC@SEA 08/21/2026 10:10PM ET,CHC,14.3,DTD,
