Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
2B/SS,Isiah Kiner-Falefa (43914479),Isiah Kiner-Falefa,43914479,2B/SS,2500,SF@BOS 08/23/2026 03:15PM ET,BOS,5.2,IL,
OF,Jonah Cox (43914445),Jonah Cox,43914445,OF,2400,SF@BOS 08/23/2026 03:15PM ET,SF,2.9,,
C,Mickey Gasper (43914446),Mickey Gasper,43914446,C,2400,SF@BOS 08/23/2026 03:15PM ET,BOS,5.6,,
OF,Harrison Bader (43914481),Harrison Bader,43914481,OF,2400,SF@BOS 08/23/2026 03:15PM ET,SF,5.2,IL,
OF,Cooper Ingle (43914482),Cooper Ingle,43914482,OF,2400,CLE@COL 08/23/2026 03:10PM ET,CLE,2.6,,
C,Andrew Knizner (43914447),Andrew Knizner,43914447,C,2300,SF@BOS 08/23/2026 03:15PM ET,SF,4.8,,
OF,Turner Hill (43914448),Turner Hill,43914448,OF,2300,SF@BOS 08/23/2026 03:15PM ET,SF,3.8,,
OF,Kahlil Watson (43914483),Kahlil Watson,43914483,OF,2300,CLE@COL 08/23/2026 03:10PM ET,CLE,6.2,,
C,Drew Cavanaugh (43914449),Drew Cavanaugh,43914449,C,2200,SF@BOS 08/23/2026 03:15PM ET,SF,3.2,,
1B/3B,Brett Harris (43914484),Brett Harris,43914484,1B/3B,2200,SF@BOS 08/23/2026 03:15PM ET,BOS,1,,
3B,Buddy Kennedy (43914450),Buddy Kennedy,43914450,3B,2100,SF@BOS 08/23/2026 03:15PM ET,SF,1.6,,
C,Connor Wong (43914451),Connor Wong,43914451,C,2100,SF@BOS 08/23/2026 03:15PM ET,BOS,4.9,,
3B/SS,Christian Koss (43914452),Christian Koss,43914452,3B/SS,2000,SF@BOS 08/23/2026 03:15PM ET,SF,2.8,,
OF,Jahmai Jones (43914454),Jahmai Jones,43914454,OF,2000,SF@BOS 08/23/2026 03:15PM ET,BOS,2.9,,
C,Zach Morgan (43914486),Zach Morgan,43914486,C,2000,SF@BOS 08/23/2026 03:15PM ET,SF,0,,
3B,Matt Chapman (43914487),Matt Chapman,43914487,3B,2000,SF@BOS 08/23/2026 03:15PM ET,SF,6.4,IL,
2B,Nate Furman (43914488),Nate Furman,43914488,2B,2000,SF@BOS 08/23/2026 03:15PM ET,SF,0.8,,
3B/OF,Daniel Schneemann (43914489),Daniel Schneemann,43914489,3B/OF,2000,CLE@COL 08/23/2026 03:10PM ET,CLE,4.9,,
OF,Blake Perkins (43914491),Blake Perkins,43914491,OF,2000,CLE@COL 08/23/2026 03:10PM ET,CLE,2.7,,
1B,Triston Casas (43914492),Triston Casas,43914492,1B,2000,SF@BOS 08/23/2026 03:15PM ET,BOS,0,IL,
2B,Kristian Campbell (43914493),Kristian Campbell,43914493,2B,2000,SF@BOS 08/23/2026 03:15PM ET,BOS,0,,
OF,Nate Eaton (43914494),Nate Eaton,43914494,OF,2000,SF@BOS 08/23/2026 03:15PM ET,BOS,4.5,,
SS,Tsung-Che Cheng (43914495),Tsung-Che Cheng,43914495,SS,2000,SF@BOS 08/23/2026 03:15PM ET,BOS,4.6,,
3B/OF,Kris Bryant (43914496),Kris Bryant,43914496,3B/OF,2000,CLE@COL 08/23/2026 03:10PM ET,COL,0,IL,
2B/3B,Chad Stevens (43914498),Chad Stevens,43914498,2B/3B,2000,CLE@COL 08/23/2026 03:10PM ET,COL,1.3,,
2B,Ryan Ritter (43914500),Ryan Ritter,43914500,2B,2000,CLE@COL 08/23/2026 03:10PM ET,COL,0.8,,
