Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Tyler Glasnow (43863887),Tyler Glasnow,43863887,P,10000,LAD@COL 08/18/2026 08:40PM ET,LAD,22.2,IL,
SP,Yoshinobu Yamamoto (43864006),Yoshinobu Yamamoto,43864006,P,10000,LAD@COL 08/18/2026 08:40PM ET,LAD,22.1,,
SP,Tarik Skubal (43864026),Tarik Skubal,43864026,P,10000,LAD@COL 08/18/2026 08:40PM ET,LAD,21.8,,
SP,Nathan Eovaldi (43863849),Nathan Eovaldi,43863849,P,9000,WSH@TEX 08/18/2026 08:05PM ET,TEX,17.7,IL,
SP,Kevin Gausman (43863868),Kevin Gausman,43863868,P,9000,CWS@CHC 08/18/2026 08:05PM ET,CHC,14.5,,P
SP,Jacob deGrom (43863870),Jacob deGrom,43863870,P,9000,WSH@TEX 08/18/2026 08:05PM ET,TEX,17.7,DTD,
SP,Blake Snell (43863885),Blake Snell,43863885,P,9000,LAD@COL 08/18/2026 08:40PM ET,LAD,18.5,,
RP,Clay Holmes (43863889),Clay Holmes,43863889,P,9000,CWS@CHC 08/18/2026 08:05PM ET,CHC,16.6,,
SP,Matthew Boyd (43863894),Matthew Boyd,43863894,P,9000,CWS@CHC 08/18/2026 08:05PM ET,CHC,14.4,,
SP,Shota Imanaga (43863970),Shota Imanaga,43863970,P,9000,CWS@CHC 08/18/2026 08:05PM ET,CHC,16.6,,
RP,Ben Brown (43864028),Ben Brown,43864028,P,9000,CWS@CHC 08/18/2026 08:05PM ET,CHC,11.6,IL,
SP,Sean Burke (43864163),Sean Burke,43864163,P,8700,CWS@CHC 08/18/2026 08:05PM ET,CWS,18.2,,
SP,Peter Lambert (43863956),Peter Lambert,43863956,P,8500,LAA@HOU 08/18/2026 08:10PM ET,HOU,17.3,,
SP,Reid Detmers (43864027),Reid Detmers,43864027,P,8500,LAA@HOU 08/18/2026 08:10PM ET,LAA,18.2,,
SP,Hunter Brown (43864085),Hunter Brown,43864085,P,8500,LAA@HOU 08/18/2026 08:10PM ET,HOU,15.3,,
SP,Cade Cavalli (43864025),Cade Cavalli,43864025,P,8300,WSH@TEX 08/18/2026 08:05PM ET,WSH,16.9,,
SP,Connelly Early (43864241),Connelly Early,43864241,P,8300,WSH@TEX 08/18/2026 08:05PM ET,WSH,16.2,IL,
RP,Jacob Latz (43863933),Jacob Latz,43863933,P,8000,WSH@TEX 08/18/2026 08:05PM ET,TEX,4.8,,
SP,Kris Bubic (43864014),Kris Bubic,43864014,P,8000,LAD@COL 08/18/2026 08:40PM ET,LAD,15.9,IL,
SP,MacKenzie Gore (43864015),MacKenzie Gore,43864015,P,8000,WSH@TEX 08/18/2026 08:05PM ET,TEX,15.5,,
SP,Justin Wrobleski (43864072),Justin Wrobleski,43864072,P,8000,LAD@COL 08/18/2026 08:40PM ET,LAD,16.3,IL,
SP,Roki Sasaki (43864126),Roki Sasaki,43864126,P,8000,LAD@COL 08/18/2026 08:40PM ET,LAD,13.7,,
SP,Emmet Sheehan (43864175),Emmet Sheehan,43864175,P,8000,LAD@COL 08/18/2026 08:40PM ET,LAD,12.8,,
SP,Luis Castillo (43863895),Luis Castillo,43863895,P,7700,CWS@CHC 08/18/2026 08:05PM ET,CWS,11,,
RP,David Sandlin (43864209),David Sandlin,43864209,P,7700,CWS@CHC 08/18/2026 08:05PM ET,CWS,10.5,,
SP,Yusei Kikuchi (43863867),Yusei Kikuchi,43863867,P,7500,LAA@HOU 08/18/2026 08:10PM ET,LAA,9.4,IL,
SP,Cristian Javier (43863957),Cristian Javier,43863957,P,7500,LAA@HOU 08/18/2026 08:10PM ET,HOU,4.5,,P
RP,Hayden Wesneski (43863994),Hayden Wesneski,43863994,P,7500,LAA@HOU 08/18/2026 08:10PM ET,HOU,12.6,,
SP,Ronel Blanco (43863998),Ronel Blanco,43863998,P,7500,LAA@HOU 08/18/2026 08:10PM ET,HOU,6.3,,
SP,Tatsuya Imai (43864005),Tatsuya Imai,43864005,P,7500,LAA@HOU 08/18/2026 08:10PM ET,HOU,11.4,,
RP,Jason Alexander (43864034),Jason Alexander,43864034,P,7500,LAA@HOU 08/18/2026 08:10PM ET,HOU,4.3,,
SP,Mike Burrows (43864060),Mike Burrows,43864060,P,7500,LAA@HOU 08/18/2026 08:10PM ET,HOU,9,IL,
RP,Kai-Wei Teng (43864080),Kai-Wei Teng,43864080,P,7500,LAA@HOU 08/18/2026 08:10PM ET,HOU,7.2,,
SP,Brandon Walter (43864112),Brandon Walter,43864112,P,7500,LAA@HOU 08/18/2026 08:10PM ET,HOU,0,IL,
RP,Walbert Urena (43864197),Walbert Urena,43864197,P,7500,LAA@HOU 08/18/2026 08:10PM ET,LAA,14.9,,
