Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Tarik Skubal (43774922),Tarik Skubal,43774922,P,11300,LAD@ARI 08/07/2026 09:40PM ET,LAD,22.4,,
SP,Tyler Glasnow (43774748),Tyler Glasnow,43774748,P,10800,LAD@ARI 08/07/2026 09:40PM ET,LAD,22.2,IL,
SP,Yoshinobu Yamamoto (43774884),Yoshinobu Yamamoto,43774884,P,10300,LAD@ARI 08/07/2026 09:40PM ET,LAD,21.7,,
SP,Logan Gilbert (43774903),Logan Gilbert,43774903,P,10000,TB@SEA 08/07/2026 09:45PM ET,SEA,19.3,,P
SP,Drew Rasmussen (43774806),Drew Rasmussen,43774806,P,9700,TB@SEA 08/07/2026 09:45PM ET,TB,19.2,,P
RP,Logan Webb (43774799),Logan Webb,43774799,P,9500,DET@SF 08/07/2026 10:15PM ET,SF,16,,
SP,Troy Melton (43775036),Troy Melton,43775036,P,9500,DET@SF 08/07/2026 10:15PM ET,DET,21.3,,
SP,Nick Pivetta (43774776),Nick Pivetta,43774776,P,9000,HOU@SD 08/07/2026 09:40PM ET,SD,15.3,IL,
SP,Peter Lambert (43774831),Peter Lambert,43774831,P,9000,HOU@SD 08/07/2026 09:40PM ET,HOU,17.9,,
SP,George Kirby (43774871),George Kirby,43774871,P,9000,TB@SEA 08/07/2026 09:45PM ET,SEA,16,,
SP,Casey Mize (43774945),Casey Mize,43774945,P,9000,HOU@SD 08/07/2026 09:40PM ET,SD,15.5,,
SP,Bryce Miller (43774969),Bryce Miller,43774969,P,9000,TB@SEA 08/07/2026 09:45PM ET,SEA,18,,
SP,Hunter Brown (43774977),Hunter Brown,43774977,P,9000,HOU@SD 08/07/2026 09:40PM ET,HOU,16.2,,
SP,Bryan Woo (43775039),Bryan Woo,43775039,P,9000,TB@SEA 08/07/2026 09:45PM ET,SEA,16.4,,
SP,Blake Snell (43774747),Blake Snell,43774747,P,8800,LAD@ARI 08/07/2026 09:40PM ET,LAD,4,IL,
SP,Shane McClanahan (43774835),Shane McClanahan,43774835,P,8700,TB@SEA 08/07/2026 09:45PM ET,TB,15.2,IL,
SP,Corbin Burnes (43774823),Corbin Burnes,43774823,P,8600,LAD@ARI 08/07/2026 09:40PM ET,ARI,0,IL,
SP,Kris Bubic (43774901),Kris Bubic,43774901,P,8300,LAD@ARI 08/07/2026 09:40PM ET,LAD,15.9,IL,
SP,Justin Wrobleski (43774968),Justin Wrobleski,43774968,P,8300,LAD@ARI 08/07/2026 09:40PM ET,LAD,17.2,,
SP,Robbie Ray (43774731),Robbie Ray,43774731,P,8000,HOU@SD 08/07/2026 09:40PM ET,SD,15.9,,P
SP,Joe Musgrove (43774745),Joe Musgrove,43774745,P,8000,HOU@SD 08/07/2026 09:40PM ET,SD,0,IL,
RP,Michael King (43774827),Michael King,43774827,P,8000,HOU@SD 08/07/2026 09:40PM ET,SD,15.1,,
SP,Tatsuya Imai (43774883),Tatsuya Imai,43774883,P,8000,HOU@SD 08/07/2026 09:40PM ET,HOU,11.5,,
SP,Emerson Hancock (43774925),Emerson Hancock,43774925,P,8000,TB@SEA 08/07/2026 09:45PM ET,SEA,16.1,,
RP,Kai-Wei Teng (43774973),Kai-Wei Teng,43774973,P,8000,HOU@SD 08/07/2026 09:40PM ET,HOU,7.2,,
SP,Brandon Walter (43774994),Brandon Walter,43774994,P,8000,HOU@SD 08/07/2026 09:40PM ET,HOU,0,IL,
RP,Nick Martinez (43774750),Nick Martinez,43774750,P,7700,TB@SEA 08/07/2026 09:45PM ET,TB,14.4,,
SP,Freddy Peralta (43774771),Freddy Peralta,43774771,P,7700,TB@SEA 08/07/2026 09:45PM ET,TB,11.8,,
RP,Griffin Jax (43774780),Griffin Jax,43774780,P,7700,TB@SEA 08/07/2026 09:45PM ET,TB,9.9,,
RP,Joe Boyle (43774931),Joe Boyle,43774931,P,7700,TB@SEA 08/07/2026 09:45PM ET,TB,13,,
SP,Eduardo Rodriguez (43774730),Eduardo Rodriguez,43774730,P,7600,LAD@ARI 08/07/2026 09:40PM ET,ARI,15.1,,
SP,Michael Soroka (43774830),Michael Soroka,43774830,P,7600,LAD@ARI 08/07/2026 09:40PM ET,ARI,17.5,IL,
SP,Brandon Pfaadt (43774998),Brandon Pfaadt,43774998,P,7600,LAD@ARI 08/07/2026 09:40PM ET,ARI,8.8,,
SP,Jack Flaherty (43774798),Jack Flaherty,43774798,P,7500,DET@SF 08/07/2026 10:15PM ET,DET,12.9,IL,
RP,Framber Valdez (43774817),Framber Valdez,43774817,P,7500,DET@SF 08/07/2026 10:15PM ET,DET,12.7,,
SP,Keider Montero (43774896),Keider Montero,43774896,P,7500,DET@SF 08/07/2026 10:15PM ET,DET,12.6,,P
RP,Landen Roupp (43775005),Landen Roupp,43775005,P,7500,DET@SF 08/07/2026 10:15PM ET,SF,14.8,,
SP,Roki Sasaki (43775010),Roki Sasaki,43775010,P,7300,LAD@ARI 08/07/2026 09:40PM ET,LAD,13.8,,P
SP,Emmet Sheehan (43775040),Emmet Sheehan,43775040,P,7300,LAD@ARI 08/07/2026 09:40PM ET,LAD,12.8,,
SP,Lucas Giolito (43774755),Lucas Giolito,43774755,P,7000,HOU@SD 08/07/2026 09:40PM ET,SD,6.2,IL,
SP,Walker Buehler (43774758),Walker Buehler,43774758,P,7000,HOU@SD 08/07/2026 09:40PM ET,SD,10.4,,
