Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Tarik Skubal (43794110),Tarik Skubal,43794110,P,10500,LAD@ARI 08/09/2026 04:10PM ET,LAD,22.4,,
SP,Tyler Glasnow (43794111),Tyler Glasnow,43794111,P,10400,LAD@ARI 08/09/2026 04:10PM ET,LAD,22.2,IL,
SP,Logan Gilbert (43794112),Logan Gilbert,43794112,P,10200,TB@SEA 08/09/2026 04:10PM ET,SEA,19.3,,
SP,Yoshinobu Yamamoto (43794113),Yoshinobu Yamamoto,43794113,P,10000,LAD@ARI 08/09/2026 04:10PM ET,LAD,21.7,,
SP,Drew Rasmussen (43794114),Drew Rasmussen,43794114,P,9900,TB@SEA 08/09/2026 04:10PM ET,TB,19.9,,
SP,Bryan Woo (43794115),Bryan Woo,43794115,P,9400,TB@SEA 08/09/2026 04:10PM ET,SEA,16.4,,
SP,Bryce Miller (43794116),Bryce Miller,43794116,P,9300,TB@SEA 08/09/2026 04:10PM ET,SEA,18,,
SP,George Kirby (43794117),George Kirby,43794117,P,9200,TB@SEA 08/09/2026 04:10PM ET,SEA,15.7,,
SP,Shane McClanahan (43794118),Shane McClanahan,43794118,P,9100,TB@SEA 08/09/2026 04:10PM ET,TB,15.2,IL,
SP,Troy Melton (43793957),Troy Melton,43793957,P,9000,DET@SF 08/09/2026 04:05PM ET,DET,21.3,,P
SP,Corbin Burnes (43794119),Corbin Burnes,43794119,P,8600,LAD@ARI 08/09/2026 04:10PM ET,ARI,0,IL,
SP,Logan Webb (43793958),Logan Webb,43793958,P,8500,DET@SF 08/09/2026 04:05PM ET,SF,16,,P
RP,Griffin Jax (43794120),Griffin Jax,43794120,P,8200,TB@SEA 08/09/2026 04:10PM ET,TB,9.9,DTD,
SP,Blake Snell (43794121),Blake Snell,43794121,P,8200,LAD@ARI 08/09/2026 04:10PM ET,LAD,4,IL,
RP,Joe Boyle (43794122),Joe Boyle,43794122,P,8200,TB@SEA 08/09/2026 04:10PM ET,TB,13,,
SP,Freddy Peralta (43794123),Freddy Peralta,43794123,P,8100,TB@SEA 08/09/2026 04:10PM ET,TB,11.8,,
RP,Nick Martinez (43794124),Nick Martinez,43794124,P,8100,TB@SEA 08/09/2026 04:10PM ET,TB,14.4,,
SP,Kris Bubic (43794125),Kris Bubic,43794125,P,7900,LAD@ARI 08/09/2026 04:10PM ET,LAD,15.9,IL,
SP,Justin Wrobleski (43793959),Justin Wrobleski,43793959,P,7800,LAD@ARI 08/09/2026 04:10PM ET,LAD,17.2,,P
RP,Framber Valdez (43794126),Framber Valdez,43794126,P,7700,DET@SF 08/09/2026 04:05PM ET,DET,12.7,,
SP,Jack Flaherty (43794127),Jack Flaherty,43794127,P,7700,DET@SF 08/09/2026 04:05PM ET,DET,12.9,IL,
SP,Logan Evans (43794128),Logan Evans,43794128,P,7600,TB@SEA 08/09/2026 04:10PM ET,SEA,0,IL,
RP,Cooper Criswell (43794129),Cooper Criswell,43794129,P,7600,TB@SEA 08/09/2026 04:10PM ET,SEA,3,IL,
SP,Keider Montero (43794130),Keider Montero,43794130,P,7600,DET@SF 08/09/2026 04:05PM ET,DET,12.4,,
SP,Michael Soroka (43794131),Michael Soroka,43794131,P,7600,LAD@ARI 08/09/2026 04:10PM ET,ARI,17.5,IL,
SP,Emerson Hancock (43793960),Emerson Hancock,43793960,P,7500,TB@SEA 08/09/2026 04:10PM ET,SEA,16.1,,P
SP,Tyler Wells (43794132),Tyler Wells,43794132,P,7300,TB@SEA 08/09/2026 04:10PM ET,TB,4.2,,
SP,Steven Matz (43794133),Steven Matz,43794133,P,7300,TB@SEA 08/09/2026 04:10PM ET,TB,6.4,,
RP,Jesse Scholtens (43794134),Jesse Scholtens,43794134,P,7300,TB@SEA 08/09/2026 04:10PM ET,TB,11.4,,
RP,Landen Roupp (43794135),Landen Roupp,43794135,P,7300,DET@SF 08/09/2026 04:05PM ET,SF,14.7,,
RP,Mason Englert (43794136),Mason Englert,43794136,P,7300,TB@SEA 08/09/2026 04:10PM ET,TB,5.5,,
SP,Ryan Pepiot (43794137),Ryan Pepiot,43794137,P,7300,TB@SEA 08/09/2026 04:10PM ET,TB,0,IL,
SP,Emmet Sheehan (43794138),Emmet Sheehan,43794138,P,7300,LAD@ARI 08/09/2026 04:10PM ET,LAD,12.8,,
SP,Roki Sasaki (43794139),Roki Sasaki,43794139,P,7200,LAD@ARI 08/09/2026 04:10PM ET,LAD,13.9,,
SP,Eduardo Rodriguez (43793961),Eduardo Rodriguez,43793961,P,7000,LAD@ARI 08/09/2026 04:10PM ET,ARI,15.1,,P
SP,Reese Olson (43794140),Reese Olson,43794140,P,7000,DET@SF 08/09/2026 04:05PM ET,DET,0,IL,
SP,Jackson Jobe (43794141),Jackson Jobe,43794141,P,7000,DET@SF 08/09/2026 04:05PM ET,DET,22.1,,
SP,Brandon Pfaadt (43794142),Brandon Pfaadt,43794142,P,6900,LAD@ARI 08/09/2026 04:10PM ET,ARI,9.2,,
SP,Justin Verlander (43794143),Justin Verlander,43794143,P,6800,DET@SF 08/09/2026 04:05PM ET,DET,-4.6,IL,
SP,Ryne Nelson (43794144),Ryne Nelson,43794144,P,6800,LAD@ARI 08/09/2026 04:10PM ET,ARI,11.1,IL,
RP,Ian Seymour (43793962),Ian Seymour,43793962,P,6700,TB@SEA 08/09/2026 04:10PM ET,TB,7.6,,P
RP,Drew Anderson (43794145),Drew Anderson,43794145,P,6700,DET@SF 08/09/2026 04:05PM ET,DET,5.1,,
RP,Kohl Drake (43794146),Kohl Drake,43794146,P,6700,LAD@ARI 08/09/2026 04:10PM ET,ARI,6.5,,
1B/OF,Shohei Ohtani (43793963),Shohei Ohtani,43793963,1B/OF,6600,LAD@ARI 08/09/2026 04:10PM ET,LAD,9.6,,
SP,Merrill Kelly (43794147),Merrill Kelly,43794147,P,6600,LAD@ARI 08/09/2026 04:10PM ET,ARI,10.8,DTD,
SP,Mitch Bratt (43794148),Mitch Bratt,43794148,P,6600,LAD@ARI 08/09/2026 04:10PM ET,ARI,9.7,,
SP,Gavin Stone (43794149),Gavin Stone,43794149,P,6300,LAD@ARI 08/09/2026 04:10PM ET,LAD,0,IL,
SP,Bobby Miller (43794150),Bobby Miller,43794150,P,6300,LAD@ARI 08/09/2026 04:10PM ET,LAD,0,IL,
SP,Landon Knack (43794151),Landon Knack,43794151,P,6300,LAD@ARI 08/09/2026 04:10PM ET,LAD,1.9,,
SP,Carson Whisenhunt (43794152),Carson Whisenhunt,43794152,P,6300,DET@SF 08/09/2026 04:05PM ET,SF,7.5,,
RP,Eric Lauer (43794153),Eric Lauer,43794153,P,6300,LAD@ARI 08/09/2026 04:10PM ET,LAD,9.6,,
SP,Miguel Mendez (43794154),Miguel Mendez,43794154,P,6200,DET@SF 08/09/2026 04:05PM ET,SF,0,IL,
RP,Jose Butto (43794155),Jose Butto,43794155,P,6200,DET@SF 08/09/2026 04:05PM ET,SF,-0.5,IL,
RP,Carson Seymour (43794156),Carson Seymour,43794156,P,6200,DET@SF 08/09/2026 04:05PM ET,SF,-0.4,,
RP,Tristan Beck (43794157),Tristan Beck,43794157,P,6200,DET@SF 08/09/2026 04:05PM ET,SF,0.7,,
SP,Keaton Winn (43794158),Keaton Winn,43794158,P,6200,DET@SF 08/09/2026 04:05PM ET,SF,2.6,,
RP,Dylan Smith (43794159),Dylan Smith,43794159,P,6200,DET@SF 08/09/2026 04:05PM ET,SF,2.7,,
SP,Adrian Houser (43794160),Adrian Houser,43794160,P,6200,DET@SF 08/09/2026 04:05PM ET,SF,7.8,,
