Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Chase Burns (43824049),Chase Burns,43824049,P,10800,CIN@CWS 08/13/2026 02:10PM ET,CIN,21,,
SP,Dylan Cease (43823863),Dylan Cease,43823863,P,10500,BOS@TOR 08/13/2026 03:07PM ET,TOR,25.2,,
SP,Ranger Suarez (43823844),Ranger Suarez,43823844,P,9500,BOS@TOR 08/13/2026 03:07PM ET,BOS,15.4,,
SP,Garrett Crochet (43823947),Garrett Crochet,43823947,P,9500,BOS@TOR 08/13/2026 03:07PM ET,BOS,13.8,IL,
SP,Payton Tolle (43824109),Payton Tolle,43824109,P,9500,BOS@TOR 08/13/2026 03:07PM ET,BOS,19.1,,P
SP,Sean Burke (43824052),Sean Burke,43824052,P,8700,CIN@CWS 08/13/2026 02:10PM ET,CWS,18.9,,
SP,Sonny Gray (43823809),Sonny Gray,43823809,P,8500,BOS@TOR 08/13/2026 03:07PM ET,BOS,17.8,,
SP,Cody Ponce (43823868),Cody Ponce,43823868,P,8500,BOS@TOR 08/13/2026 03:07PM ET,TOR,8.1,IL,
SP,Jose Soriano (43823905),Jose Soriano,43823905,P,8500,BOS@TOR 08/13/2026 03:07PM ET,TOR,16.9,,
SP,Trey Yesavage (43824108),Trey Yesavage,43824108,P,8500,BOS@TOR 08/13/2026 03:07PM ET,TOR,15.1,IL,
SP,Hunter Greene (43823939),Hunter Greene,43823939,P,8300,CIN@CWS 08/13/2026 02:10PM ET,CIN,14.3,IL,
SP,Kevin Gausman (43823824),Kevin Gausman,43823824,P,8000,CHC@WSH 08/13/2026 04:05PM ET,CHC,14.8,,P
RP,Clay Holmes (43823831),Clay Holmes,43823831,P,8000,CHC@WSH 08/13/2026 04:05PM ET,CHC,15.9,,
SP,Matthew Boyd (43823833),Matthew Boyd,43823833,P,8000,CHC@WSH 08/13/2026 04:05PM ET,CHC,15.7,,
SP,Shota Imanaga (43823898),Shota Imanaga,43823898,P,8000,CHC@WSH 08/13/2026 04:05PM ET,CHC,16.3,,
RP,Ben Brown (43823946),Ben Brown,43823946,P,8000,CHC@WSH 08/13/2026 04:05PM ET,CHC,11.6,IL,
RP,David Sandlin (43824087),David Sandlin,43824087,P,7700,CIN@CWS 08/13/2026 02:10PM ET,CWS,10.5,,
SP,Jose Berrios (43823836),Jose Berrios,43823836,P,7500,BOS@TOR 08/13/2026 03:07PM ET,TOR,0,IL,
SP,Cade Cavalli (43823945),Cade Cavalli,43823945,P,7500,CHC@WSH 08/13/2026 04:05PM ET,WSH,15.9,,P
SP,Jake Bennett (43824018),Jake Bennett,43824018,P,7500,BOS@TOR 08/13/2026 03:07PM ET,BOS,15.9,,
SP,Spencer Arrighetti (43824061),Spencer Arrighetti,43824061,P,7500,BOS@TOR 08/13/2026 03:07PM ET,TOR,13.6,IL,
SP,Connelly Early (43824102),Connelly Early,43824102,P,7500,CHC@WSH 08/13/2026 04:05PM ET,WSH,16.2,IL,
SP,Brady Singer (43823881),Brady Singer,43823881,P,7300,CIN@CWS 08/13/2026 02:10PM ET,CIN,11.6,,
SP,Nick Lodolo (43823910),Nick Lodolo,43823910,P,7300,CIN@CWS 08/13/2026 02:10PM ET,CIN,10.5,,
SP,Rhett Lowder (43824095),Rhett Lowder,43824095,P,7300,CIN@CWS 08/13/2026 02:10PM ET,CIN,8.9,,
RP,Colin Rea (43823828),Colin Rea,43823828,P,7000,CHC@WSH 08/13/2026 04:05PM ET,CHC,10.7,,
SP,Justin Steele (43823862),Justin Steele,43823862,P,7000,CHC@WSH 08/13/2026 04:05PM ET,CHC,0,IL,
SP,David Peterson (43823866),David Peterson,43823866,P,7000,CHC@WSH 08/13/2026 04:05PM ET,CHC,9.6,,
SP,Javier Assad (43823930),Javier Assad,43823930,P,7000,CHC@WSH 08/13/2026 04:05PM ET,CHC,9.1,,
SP,Edward Cabrera (43823931),Edward Cabrera,43823931,P,7000,CHC@WSH 08/13/2026 04:05PM ET,CHC,12.1,IL,
SP,Cade Horton (43824033),Cade Horton,43824033,P,7000,CHC@WSH 08/13/2026 04:05PM ET,CHC,10.5,IL,
SP,Andrew Abbott (43823948),Andrew Abbott,43823948,P,6800,CIN@CWS 08/13/2026 02:10PM ET,CIN,12.3,,P
SP,Erick Fedde (43823832),Erick Fedde,43823832,P,6700,CIN@CWS 08/13/2026 02:10PM ET,CWS,8.9,,
SP,Luis Castillo (43823834),Luis Castillo,43823834,P,6700,CIN@CWS 08/13/2026 02:10PM ET,CWS,11.5,,
RP,Anthony Kay (43823854),Anthony Kay,43823854,P,6700,CIN@CWS 08/13/2026 02:10PM ET,CWS,11.5,,
SP,Davis Martin (43823901),Davis Martin,43823901,P,6700,CIN@CWS 08/13/2026 02:10PM ET,CWS,13.6,,P
RP,Mike Vasil (43824025),Mike Vasil,43824025,P,6700,CIN@CWS 08/13/2026 02:10PM ET,CWS,0,IL,
SP,Jonathan Cannon (43824057),Jonathan Cannon,43824057,P,6700,CIN@CWS 08/13/2026 02:10PM ET,CWS,-3.8,,
RP,Shane Smith (43824076),Shane Smith,43824076,P,6700,CIN@CWS 08/13/2026 02:10PM ET,CWS,2.5,,
SP,Noah Schultz (43824082),Noah Schultz,43824082,P,6700,CIN@CWS 08/13/2026 02:10PM ET,CWS,8.6,,
OF,Pete Crow-Armstrong (43824029),Pete Crow-Armstrong,43824029,OF,6600,CHC@WSH 08/13/2026 04:05PM ET,CHC,10.6,,
SP,Max Scherzer (43823808),Max Scherzer,43823808,P,6500,BOS@TOR 08/13/2026 03:07PM ET,TOR,5.3,,P
SP,Tanner Houck (43823864),Tanner Houck,43823864,P,6500,BOS@TOR 08/13/2026 03:07PM ET,BOS,0,IL,
SP,Shane Bieber (43823875),Shane Bieber,43823875,P,6500,BOS@TOR 08/13/2026 03:07PM ET,TOR,8.6,,
SP,Patrick Sandoval (43823889),Patrick Sandoval,43823889,P,6500,BOS@TOR 08/13/2026 03:07PM ET,BOS,12.7,,
SP,Jake Irvin (43823892),Jake Irvin,43823892,P,6500,CHC@WSH 08/13/2026 04:05PM ET,WSH,10.5,,
SP,Kutter Crawford (43823940),Kutter Crawford,43823940,P,6500,BOS@TOR 08/13/2026 03:07PM ET,BOS,0,IL,
RP,Andrew Alvarez (43824069),Andrew Alvarez,43824069,P,6500,CHC@WSH 08/13/2026 04:05PM ET,WSH,10.4,,
SP,Brandon Williamson (43823990),Brandon Williamson,43823990,P,6300,CIN@CWS 08/13/2026 02:10PM ET,CIN,6.9,IL,
SS,CJ Abrams (43823998),CJ Abrams,43823998,SS,6300,CHC@WSH 08/13/2026 04:05PM ET,WSH,10.1,,
SP,Connor Phillips (43824017),Connor Phillips,43824017,P,6300,CIN@CWS 08/13/2026 02:10PM ET,CIN,2.3,,
RP,Jose Franco (43824035),Jose Franco,43824035,P,6300,CIN@CWS 08/13/2026 02:10PM ET,CIN,3.9,IL,
SP,Chase Petty (43824047),Chase Petty,43824047,P,6300,CIN@CWS 08/13/2026 02:10PM ET,CIN,2.7,,
OF,James Wood (43824048),James Wood,43824048,OF,6200,CHC@WSH 08/13/2026 04:05PM ET,WSH,10.8,IL,
SS,Elly De La Cruz (43824038),Elly De La Cruz,43824038,SS,6100,CIN@CWS 08/13/2026 02:10PM ET,CIN,9.7,,
OF,Seiya Suzuki (43823849),Seiya Suzuki,43823849,OF,5700,CHC@WSH 08/13/2026 04:05PM ET,CHC,8.8,,
RP,Jose Urquidy (43823896),Jose Urquidy,43823896,P,5700,CIN@CWS 08/13/2026 02:10PM ET,CWS,0.8,,
RP,Trevor Richards (43823932),Trevor Richards,43823932,P,5700,CIN@CWS 08/13/2026 02:10PM ET,CWS,4,,
RP,Joe Rock (43824028),Joe Rock,43824028,P,5700,CIN@CWS 08/13/2026 02:10PM ET,CWS,6.2,,
RP,Grant Taylor (43824098),Grant Taylor,43824098,P,5700,CIN@CWS 08/13/2026 02:10PM ET,CWS,5.6,,
SP,Patrick Corbin (43823812),Patrick Corbin,43823812,P,5500,BOS@TOR 08/13/2026 03:07PM ET,TOR,7.5,IL,
SP,Miles Mikolas (43823813),Miles Mikolas,43823813,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,5.6,,
SP,Jameson Taillon (43823823),Jameson Taillon,43823823,P,5500,BOS@TOR 08/13/2026 03:07PM ET,TOR,10,IL,
SP,Trevor Williams (43823845),Trevor Williams,43823845,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,6.5,,
RP,Aaron Civale (43823877),Aaron Civale,43823877,P,5500,CHC@WSH 08/13/2026 04:05PM ET,CHC,7.8,,
SP,Braxton Garrett (43823909),Braxton Garrett,43823909,P,5500,CHC@WSH 08/13/2026 04:05PM ET,CHC,-1.6,,
RP,Bowden Francis (43823916),Bowden Francis,43823916,P,5500,BOS@TOR 08/13/2026 03:07PM ET,TOR,0,IL,
RP,Max Kranick (43823928),Max Kranick,43823928,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,-0.3,,
SP,Johan Oviedo (43823933),Johan Oviedo,43823933,P,5500,BOS@TOR 08/13/2026 03:07PM ET,BOS,1.5,IL,
SP,Josiah Gray (43823960),Josiah Gray,43823960,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,0,IL,
SP,Brayan Bello (43823965),Brayan Bello,43823965,P,5500,BOS@TOR 08/13/2026 03:07PM ET,BOS,9.4,,
RP,Simeon Woods Richardson (43823974),Simeon Woods Richardson,43823974,P,5500,BOS@TOR 08/13/2026 03:07PM ET,TOR,3.9,,
RP,Ethan Roberts (43823976),Ethan Roberts,43823976,P,5500,CHC@WSH 08/13/2026 04:05PM ET,CHC,1.9,,
SP,Mitchell Parker (43823987),Mitchell Parker,43823987,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,3.4,IL,
SP,DJ Herz (43824004),DJ Herz,43824004,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,0,IL,
RP,Zak Kent (43824005),Zak Kent,43824005,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,1.9,,
SP,Matt Waldron (43824013),Matt Waldron,43824013,P,5500,BOS@TOR 08/13/2026 03:07PM ET,TOR,3.8,,
SP,Jordan Wicks (43824043),Jordan Wicks,43824043,P,5500,CHC@WSH 08/13/2026 04:05PM ET,CHC,0.7,,
RP,Eduardo Rivera (43824068),Eduardo Rivera,43824068,P,5500,BOS@TOR 08/13/2026 03:07PM ET,BOS,5,,
SP,Luis Perales (43824081),Luis Perales,43824081,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,0,,
RP,Carson Palmquist (43824086),Carson Palmquist,43824086,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,1.8,,
RP,Spencer Miles (43824090),Spencer Miles,43824090,P,5500,BOS@TOR 08/13/2026 03:07PM ET,TOR,6.5,,
RP,Mason Fluharty (43824091),Mason Fluharty,43824091,P,5500,BOS@TOR 08/13/2026 03:07PM ET,TOR,2.5,,
RP,Brad Lord (43824092),Brad Lord,43824092,P,5500,CHC@WSH 08/13/2026 04:05PM ET,WSH,5.9,,
1B,Munetaka Murakami (43823955),Munetaka Murakami,43823955,1B,5300,CIN@CWS 08/13/2026 02:10PM ET,CWS,9.3,,
1B,Sal Stewart (43824085),Sal Stewart,43824085,1B,5100,CIN@CWS 08/13/2026 02:10PM ET,CIN,8.7,,
OF,Wilyer Abreu (43823952),Wilyer Abreu,43823952,OF,5000,BOS@TOR 08/13/2026 03:07PM ET,BOS,8.2,,
1B,Willson Contreras (43823820),Willson Contreras,43823820,1B,4900,BOS@TOR 08/13/2026 03:07PM ET,BOS,8.7,,
3B,Miguel Vargas (43823992),Miguel Vargas,43823992,3B,4800,CIN@CWS 08/13/2026 02:10PM ET,CWS,8.9,,
OF,Dylan Crews (43824094),Dylan Crews,43824094,OF,4800,CHC@WSH 08/13/2026 04:05PM ET,WSH,6.8,,
3B,Alex Bregman (43823842),Alex Bregman,43823842,3B,4700,CHC@WSH 08/13/2026 04:05PM ET,CHC,7.9,,
OF,JJ Bleday (43823922),JJ Bleday,43823922,OF,4600,CIN@CWS 08/13/2026 02:10PM ET,CIN,7.8,,
OF,Ceddanne Rafaela (43823968),Ceddanne Rafaela,43823968,OF,4500,BOS@TOR 08/13/2026 03:07PM ET,BOS,8.2,,
2B/3B,Curtis Mead (43823993),Curtis Mead,43823993,2B/3B,4500,BOS@TOR 08/13/2026 03:07PM ET,BOS,7.8,IL,
1B,Michael Busch (43823996),Michael Busch,43823996,1B,4500,CHC@WSH 08/13/2026 04:05PM ET,CHC,7.4,,
OF,Ian Happ (43823858),Ian Happ,43823858,OF,4400,CHC@WSH 08/13/2026 04:05PM ET,CHC,7.5,,
OF,Roman Anthony (43824083),Roman Anthony,43824083,OF,4400,BOS@TOR 08/13/2026 03:07PM ET,BOS,6.1,IL,
2B,Nico Hoerner (43823938),Nico Hoerner,43823938,2B,4300,CHC@WSH 08/13/2026 04:05PM ET,CHC,7.4,,
SS,Colson Montgomery (43824046),Colson Montgomery,43824046,SS,4300,CIN@CWS 08/13/2026 02:10PM ET,CWS,7.5,,
OF,Daylen Lile (43824055),Daylen Lile,43824055,OF,4300,CHC@WSH 08/13/2026 04:05PM ET,WSH,7.4,,
OF,George Springer (43823822),George Springer,43823822,OF,4200,BOS@TOR 08/13/2026 03:07PM ET,TOR,7.2,,
SS,Dansby Swanson (43823841),Dansby Swanson,43823841,SS,4200,CHC@WSH 08/13/2026 04:05PM ET,CHC,7.7,,
C,Adley Rutschman (43823921),Adley Rutschman,43823921,C,4100,BOS@TOR 08/13/2026 03:07PM ET,BOS,7.4,,
RP,Shelby Miller (43823810),Shelby Miller,43823810,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,0,IL,
RP,Pierce Johnson (43823814),Pierce Johnson,43823814,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,2.2,,
RP,Caleb Thielbar (43823815),Caleb Thielbar,43823815,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,2.6,,
RP,Hoby Milner (43823816),Hoby Milner,43823816,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,1.7,IL,
RP,Joe Mantiply (43823817),Joe Mantiply,43823817,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,3.2,IL,
RP,Yimi Garcia (43823819),Yimi Garcia,43823819,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,0,IL,
RP,Aroldis Chapman (43823821),Aroldis Chapman,43823821,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,3.6,,
RP,Tyron Guerrero (43823827),Tyron Guerrero,43823827,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,3.2,,
RP,Tyler Beede (43823830),Tyler Beede,43823830,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,0,,
RP,Huascar Brazoban (43823835),Huascar Brazoban,43823835,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,3.7,,
RP,Tejay Antone (43823839),Tejay Antone,43823839,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,2.9,,
RP,Tyler Ferguson (43823840),Tyler Ferguson,43823840,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,2.8,,
RP,Sam Moll (43823846),Sam Moll,43823846,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,2.2,,
RP,Sean Newcomb (43823848),Sean Newcomb,43823848,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,4.2,,
RP,Hunter Harvey (43823850),Hunter Harvey,43823850,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,1.9,IL,
RP,Emilio Pagan (43823853),Emilio Pagan,43823853,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,3.2,,
RP,Tyler Rogers (43823857),Tyler Rogers,43823857,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,2.3,,
RP,Brock Burke (43823861),Brock Burke,43823861,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,3,,
RP,Jacob Webb (43823865),Jacob Webb,43823865,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,3.6,,
RP,Trent Thornton (43823869),Trent Thornton,43823869,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,2.7,,
SP,Tony Santillan (43823880),Tony Santillan,43823880,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,2,IL,
RP,Bryan Hudson (43823883),Bryan Hudson,43823883,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,2.7,,
RP,Jordan Hicks (43823884),Jordan Hicks,43823884,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,2.7,,
RP,Tyler Gilbert (43823885),Tyler Gilbert,43823885,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,-1.6,,
RP,Jovani Moran (43823886),Jovani Moran,43823886,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,4.8,,
RP,Phil Maton (43823888),Phil Maton,43823888,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,1.7,IL,
RP,Brendon Little (43823893),Brendon Little,43823893,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,1.4,,
RP,Tom Cosgrove (43823899),Tom Cosgrove,43823899,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,2.2,,
RP,Jake Bird (43823900),Jake Bird,43823900,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,1.9,,
RP,Julian Garcia (43823911),Julian Garcia,43823911,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,4.3,,
RP,Richard Lovelady (43823912),Richard Lovelady,43823912,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,2.1,IL,
RP,Graham Ashcraft (43823913),Graham Ashcraft,43823913,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,3.4,IL,
RP,Seth Martinez (43823914),Seth Martinez,43823914,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,0.5,,
RP,Wyatt Mills (43823915),Wyatt Mills,43823915,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,1.1,,
RP,Raymond Burgos (43823917),Raymond Burgos,43823917,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,8.2,,
RP,Greg Weissert (43823918),Greg Weissert,43823918,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,2.7,,
RP,Ryan Rolison (43823924),Ryan Rolison,43823924,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,4.1,,
RP,Ryan Zeferjahn (43823925),Ryan Zeferjahn,43823925,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,4.2,,
1B,Vladimir Guerrero Jr. (43823929),Vladimir Guerrero Jr.,43823929,1B,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,6.8,,
RP,Garrett Whitlock (43823936),Garrett Whitlock,43823936,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,3.9,DTD,
RP,Yovanny Cruz (43823937),Yovanny Cruz,43823937,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,2.5,,
RP,Ron Marinaccio (43823941),Ron Marinaccio,43823941,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,2.6,,
RP,CJ Van Eyk (43823942),CJ Van Eyk,43823942,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,0.3,,
RP,Zack Kelly (43823951),Zack Kelly,43823951,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,2.2,IL,
RP,Prelander Berroa (43823953),Prelander Berroa,43823953,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,0,IL,
RP,Gavin Hollowell (43823956),Gavin Hollowell,43823956,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,2.7,IL,
SP,Ken Waldichuk (43823958),Ken Waldichuk,43823958,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,2.8,IL,
RP,Chris Murphy (43823959),Chris Murphy,43823959,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,2.8,IL,
RP,Joe La Sorsa (43823962),Joe La Sorsa,43823962,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,0.2,OUT,
RP,Lazaro Estrada (43823964),Lazaro Estrada,43823964,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,3.7,,
RP,Braydon Fisher (43823977),Braydon Fisher,43823977,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,2.9,,
RP,PJ Poulin (43823981),PJ Poulin,43823981,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,2.7,IL,
RP,Antoine Kelly (43823982),Antoine Kelly,43823982,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,4.4,,
RP,Gus Varland (43823983),Gus Varland,43823983,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,1.6,,
RP,Cole Henry (43823988),Cole Henry,43823988,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,1.9,,
RP,Eddy Yean (43823989),Eddy Yean,43823989,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,3.7,,
SP,Ky Bush (43823991),Ky Bush,43823991,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,0,IL,
RP,Erik Miller (43823997),Erik Miller,43823997,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,3.5,,
RP,Justin Slaten (43824001),Justin Slaten,43824001,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,2.7,,
RP,Alec Gamboa (43824006),Alec Gamboa,43824006,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,4.9,,
RP,Orlando Ribalta (43824007),Orlando Ribalta,43824007,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,2.4,,
RP,Porter Hodge (43824010),Porter Hodge,43824010,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,0,IL,
RP,Paxton Schultz (43824011),Paxton Schultz,43824011,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,2.3,,
RP,Louis Varland (43824012),Louis Varland,43824012,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,4.5,,
RP,Chase Solesky (43824014),Chase Solesky,43824014,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,6.6,,
RP,Jayden Murray (43824015),Jayden Murray,43824015,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,1,,
RP,Zach Maxwell (43824016),Zach Maxwell,43824016,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,0.4,,
RP,Luis Mey (43824019),Luis Mey,43824019,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,4.8,,
RP,Kyle Nicolas (43824021),Kyle Nicolas,43824021,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,1.1,,
RP,Zach McCambley (43824022),Zach McCambley,43824022,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,2,,
RP,Clayton Beeter (43824030),Clayton Beeter,43824030,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,3.1,,
SP,Ricky Tiedemann (43824031),Ricky Tiedemann,43824031,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,0,,
RP,Daniel Palencia (43824036),Daniel Palencia,43824036,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,3.1,IL,
C,Harry Ford (43824042),Harry Ford,43824042,C,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,7,,
RP,Chad Dallas (43824045),Chad Dallas,43824045,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,3.2,,
RP,Hagen Smith (43824051),Hagen Smith,43824051,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,9.9,,
RP,Tanner McDougal (43824058),Tanner McDougal,43824058,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,0,,
RP,Riley Cornelio (43824059),Riley Cornelio,43824059,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,4.3,,
RP,Chase Lee (43824060),Chase Lee,43824060,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,1.9,,
RP,Riley Martin (43824062),Riley Martin,43824062,P,4000,CHC@WSH 08/13/2026 04:05PM ET,CHC,3.8,IL,
RP,Will Dion (43824067),Will Dion,43824067,P,4000,CHC@WSH 08/13/2026 04:05PM ET,WSH,5,,
SP,Julian Aguiar (43824070),Julian Aguiar,43824070,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CIN,0,IL,
RP,Tyler Samaniego (43824071),Tyler Samaniego,43824071,P,4000,BOS@TOR 08/13/2026 03:07PM ET,BOS,2.4,,
RP,Jordan Leasure (43824073),Jordan Leasure,43824073,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,2.6,IL,
SP,Drew Thorpe (43824084),Drew Thorpe,43824084,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,0,IL,
RP,Tyler Schweitzer (43824088),Tyler Schweitzer,43824088,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,4.1,,
RP,John Klein (43824093),John Klein,43824093,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,1.9,,
SP,Jake Bloss (43824099),Jake Bloss,43824099,P,4000,BOS@TOR 08/13/2026 03:07PM ET,TOR,0,IL,
RP,Tyler Davis (43824107),Tyler Davis,43824107,P,4000,CIN@CWS 08/13/2026 02:10PM ET,CWS,2.8,,
