Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Tyler Glasnow (43815365),Tyler Glasnow,43815365,P,10500,KC@LAD 08/12/2026 10:10PM ET,LAD,22.2,IL,
SP,Tarik Skubal (43815437),Tarik Skubal,43815437,P,10500,KC@LAD 08/12/2026 10:10PM ET,LAD,21.8,,
SP,Yoshinobu Yamamoto (43815422),Yoshinobu Yamamoto,43815422,P,10000,KC@LAD 08/12/2026 10:10PM ET,LAD,21.7,,
SP,Blake Snell (43815363),Blake Snell,43815363,P,9500,KC@LAD 08/12/2026 10:10PM ET,LAD,16.5,,
SP,Nathan Eovaldi (43815343),Nathan Eovaldi,43815343,P,9200,TEX@LAA 08/12/2026 10:10PM ET,TEX,17.7,IL,
SP,Jacob deGrom (43815356),Jacob deGrom,43815356,P,9200,TEX@LAA 08/12/2026 10:10PM ET,TEX,18.4,,
SP,Michael Wacha (43815371),Michael Wacha,43815371,P,8500,KC@LAD 08/12/2026 10:10PM ET,KC,15.4,,
SP,Cole Ragans (43815412),Cole Ragans,43815412,P,8500,KC@LAD 08/12/2026 10:10PM ET,KC,13.2,IL,
SP,Kris Bubic (43815431),Kris Bubic,43815431,P,8500,KC@LAD 08/12/2026 10:10PM ET,LAD,15.9,IL,
SP,Justin Wrobleski (43815465),Justin Wrobleski,43815465,P,8500,KC@LAD 08/12/2026 10:10PM ET,LAD,16.4,,
SP,Roki Sasaki (43815493),Roki Sasaki,43815493,P,8500,KC@LAD 08/12/2026 10:10PM ET,LAD,13.9,,
RP,Jacob Latz (43815391),Jacob Latz,43815391,P,8200,TEX@LAA 08/12/2026 10:10PM ET,TEX,4.7,,
SP,MacKenzie Gore (43815433),MacKenzie Gore,43815433,P,8200,TEX@LAA 08/12/2026 10:10PM ET,TEX,15.5,,
SP,Reid Detmers (43815438),Reid Detmers,43815438,P,8000,TEX@LAA 08/12/2026 10:10PM ET,LAA,17.2,,
RP,Cody Bradford (43815449),Cody Bradford,43815449,P,7700,TEX@LAA 08/12/2026 10:10PM ET,TEX,11.6,,
RP,Randy Dobnak (43815443),Randy Dobnak,43815443,P,7500,KC@LAD 08/12/2026 10:10PM ET,KC,11.7,,
SP,Emmet Sheehan (43815518),Emmet Sheehan,43815518,P,7500,KC@LAD 08/12/2026 10:10PM ET,LAD,12.8,,
SP,Noah Cameron (43815519),Noah Cameron,43815519,P,7500,KC@LAD 08/12/2026 10:10PM ET,KC,14,,
SP,Yusei Kikuchi (43815355),Yusei Kikuchi,43815355,P,7000,TEX@LAA 08/12/2026 10:10PM ET,LAA,9.4,IL,
RP,Walbert Urena (43815524),Walbert Urena,43815524,P,7000,TEX@LAA 08/12/2026 10:10PM ET,LAA,14.4,,
RP,Seth Lugo (43815369),Seth Lugo,43815369,P,6500,KC@LAD 08/12/2026 10:10PM ET,KC,11.9,,
1B/OF,Shohei Ohtani (43815380),Shohei Ohtani,43815380,1B/OF,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,9.5,,
SP,Eric Lauer (43815384),Eric Lauer,43815384,P,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,9.6,,P
SP,Bobby Miller (43815440),Bobby Miller,43815440,P,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,0,IL,
RP,Stephen Kolek (43815458),Stephen Kolek,43815458,P,6500,KC@LAD 08/12/2026 10:10PM ET,KC,11.5,IL,
SP,Landon Knack (43815496),Landon Knack,43815496,P,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,1.9,,
SP,Gavin Stone (43815500),Gavin Stone,43815500,P,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,0,IL,
SP,Cal Quantrill (43815387),Cal Quantrill,43815387,P,6200,TEX@LAA 08/12/2026 10:10PM ET,TEX,6.2,,P
SP,Kumar Rocker (43815466),Kumar Rocker,43815466,P,6200,TEX@LAA 08/12/2026 10:10PM ET,TEX,12.2,,
SP,Jack Leiter (43815485),Jack Leiter,43815485,P,6200,TEX@LAA 08/12/2026 10:10PM ET,TEX,12.7,IL,
SP,Grayson Rodriguez (43815453),Grayson Rodriguez,43815453,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,7.6,,
SS,Bobby Witt Jr. (43815472),Bobby Witt Jr.,43815472,SS,6000,KC@LAD 08/12/2026 10:10PM ET,KC,9.2,,
SP,Jack Kochanowicz (43815475),Jack Kochanowicz,43815475,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,7.3,IL,
RP,Sam Aldegheri (43815502),Sam Aldegheri,43815502,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,7.2,,
RP,Ryan Johnson (43815515),Ryan Johnson,43815515,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,5.9,,
RP,Brett Kerry (43815516),Brett Kerry,43815516,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,11.7,,
SP,Caden Dana (43815528),Caden Dana,43815528,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,0,,
SP,George Klassen (43815539),George Klassen,43815539,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,2.8,,P
RP,Mitch Farris (43815540),Mitch Farris,43815540,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,4.6,,
1B,Freddie Freeman (43815338),Freddie Freeman,43815338,1B,5500,KC@LAD 08/12/2026 10:10PM ET,LAD,8,,
SP,Daniel Lynch IV (43815432),Daniel Lynch IV,43815432,P,5500,KC@LAD 08/12/2026 10:10PM ET,KC,3,,PO
