Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5211314764,BaltimoreBomberz,0,146.75,1B Bryce Harper 2B Jose Tena 3B Brady House C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Cade Cavalli P Zac Thornton SS CJ Abrams,,Zack Wheeler,P,75.44%,8.8
2,5210632383,hasco (1/3),0,144.9,1B Bryce Harper 2B Marcus Semien 3B Nick Gonzales C Luis Torrens OF Daylen Lile OF Esmerlyn Valdez OF A.J. Ewing P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,Cade Cavalli,P,51.81%,22.1
3,5211224573,Runninrebel02 (2/4),0,143.9,1B Jared Young 2B Marcus Semien 3B Brady House C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS CJ Abrams,,CJ Abrams,SS,33.60%,5
3,5211298679,Choker12 (1/4),0,143.9,1B Jared Young 2B Marcus Semien 3B Brady House C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS CJ Abrams,,Zac Thornton,P,30.19%,17.65
3,5211337891,jnwallen (9/20),0,143.9,1B Jared Young 2B Marcus Semien 3B Brady House C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS CJ Abrams,,Kyle Schwarber,OF,29.86%,7
6,5211350964,produceman09 (6/9),0,142.1,1B Jared Young 2B Matt McLain 3B Bo Bichette C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Zack Wheeler P Jose Soriano SS Francisco Lindor,,Luis Arraez,2B,29.10%,2
7,5211337884,jnwallen (2/20),0,140.9,1B Abimelec Ortiz 2B Marcus Semien 3B Brady House C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS CJ Abrams,,Tyler Stephenson,C,27.63%,0
8,5210994119,mbrummy1,0,139.45,1B Spencer Horwitz 2B Marcus Semien 3B Bo Bichette C Harry Ford OF Bryce Harper OF Daylen Lile OF A.J. Ewing P Zack Wheeler P Zac Thornton SS Andres Gimenez,,Daylen Lile,OF,26.87%,25
9,5211001173,rambito (12/20),0,138.9,1B Bryce Harper 2B Ronny Simon 3B Jorge Polanco C Harry Ford OF Kyle Schwarber OF Daylen Lile OF A.J. Ewing P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,Elly De La Cruz,SS,25.69%,18
10,5210619191,melvincali (9/20),0,138.75,1B Bryce Harper 2B Josh Smith 3B Kazuma Okamoto C Alejandro Kirk OF A.J. Ewing OF George Springer OF Brandon Marsh P Cade Cavalli P Zac Thornton SS Francisco Lindor,,Sal Stewart,1B,24.98%,0
11,5211143406,Dubbzz (7/20),0,137.4,1B Spencer Horwitz 2B Josh Smith 3B Brady House C Harry Ford OF Daylen Lile OF Nathan Lukes OF Jesus Sanchez P Jose Soriano P Cade Cavalli SS CJ Abrams,,Jose Soriano,P,24.64%,10.3
12,5211279380,Dilbert29 (9/19),0,136.9,1B Bryce Harper 2B Marcus Semien 3B Bryson Stott C Luis Torrens OF Bryan Reynolds OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,JJ Bleday,OF,23.76%,2
13,5211230337,kozy6813 (18/20),0,135.9,1B Bryce Harper 2B Marcus Semien 3B Jorge Polanco C Harry Ford OF Esmerlyn Valdez OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,Abimelec Ortiz,1B,22.37%,2
14,5211317815,Skralph (4/20),0,134.4,1B Bryce Harper 2B Marcus Semien 3B Bo Bichette C Alejandro Kirk OF A.J. Ewing OF George Springer OF Carson Benge P Jose Soriano P Cade Cavalli SS Francisco Lindor,,Carson Benge,OF,21.40%,17
15,5211001174,rambito (13/20),0,133.9,1B Bryce Harper 2B Ronny Simon 3B Jorge Polanco C Harry Ford OF Kyle Schwarber OF Daylen Lile OF Carson Benge P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,Bryce Harper,OF,20.23%,12
15,5211233579,sportsfan14 (19/20),0,133.9,1B Jared Young 2B Marcus Semien 3B Jorge Polanco C Harry Ford OF Daylen Lile OF Carson Benge OF Jake Mangum P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,Esmerlyn Valdez,OF,19.72%,4
15,5211297953,Chesublimino,0,133.9,1B Abimelec Ortiz 2B Nasim Nunez 3B Brady House C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,Harry Ford,C,19.60%,16
18,5211079215,thesportsfan (14/20),0,131.9,1B Abimelec Ortiz 2B Nasim Nunez 3B Bo Bichette C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,A.J. Ewing,OF,18.97%,22
18,5211095018,SpeedRacer101 (9/20),0,131.9,1B Jared Young 2B Nasim Nunez 3B Jorge Polanco C Harry Ford OF Daylen Lile OF A.J. Ewing OF Carson Benge P Zack Wheeler P Cade Cavalli SS Francisco Lindor,,Bryce Harper,1B,18.25%,12
