Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5215661935,mikecapp12,0,156.6,1B Jonathan Aranda 2B Ketel Marte 3B Junior Caminero C Austin Wynns OF Victor Mesa Jr. OF Corbin Carroll OF Chandler Simpson P Blake Snell P Mitch Bratt SS Taylor Walls,,Hunter Brown,P,56.52%,8.45
2,5215610933,rizzogizmo,0,153.45,1B Yandy Diaz 2B Ketel Marte 3B Junior Caminero C Gabriel Moreno OF Lars Nootbaar OF Victor Mesa Jr. OF Chandler Simpson P Nick Martinez P Mitch Bratt SS Taylor Walls,,Corey Seager,SS,38.69%,0
3,5215747466,smk5430,0,152.5,1B Yandy Diaz 2B Ketel Marte 3B Nolan Arenado C Liam Hicks OF Victor Mesa Jr. OF Jackson Merrill OF Chandler Simpson P Nick Martinez P Cody Bradford SS Taylor Walls,,Brandon Nimmo,OF,29.77%,8
4,5215694757,Jonnyrose,0,151.54999,1B Joc Pederson 2B Ketel Marte 3B Nolan Arenado C Liam Hicks OF Corbin Carroll OF Tim Tawa OF Ryan Waldschmidt P Blake Snell P Hunter Brown SS Taylor Walls,,Kyle Harrison,P,29.44%,-7.3
5,5215690617,sportsfan14,0,146.65,1B Yandy Diaz 2B Richie Palacios 3B Junior Caminero C Austin Wynns OF Brandon Nimmo OF Victor Mesa Jr. OF Wyatt Langford P Blake Snell P Cody Bradford SS Taylor Walls,,Mitch Bratt,P,29.02%,14.5
6,5215545793,morganelizabeth2,0,144.95,1B Liam Hicks 2B Ketel Marte 3B Junior Caminero C James McCann OF Victor Mesa Jr. OF Corbin Carroll OF Tim Tawa P Hunter Brown P Mitch Bratt SS Taylor Walls,,Cody Bradford,P,27.25%,7.55
7,5215601138,largonan,0,144.85,1B Yandy Diaz 2B Jose Altuve 3B Junior Caminero C Carter Jensen OF Jose Siri OF Victor Mesa Jr. OF Chandler Simpson P Nick Martinez P Walker Buehler SS Taylor Walls,,Corbin Carroll,OF,27.00%,14
8,5215251517,Wanna_Square_Up1567,0,143.6,1B Jonathan Aranda 2B Jose Altuve 3B Junior Caminero C Liam Hicks OF Lawrence Butler OF Zack Gelof OF Victor Mesa Jr. P Blake Snell P Mitch Bratt SS Taylor Walls,,Jeff McNeil,2B,24.47%,3
8,5215490356,jeffvanz,0,143.6,1B Jonathan Aranda 2B Ketel Marte 3B Junior Caminero C James McCann OF Kyle Tucker OF Victor Mesa Jr. OF Chandler Simpson P Blake Snell P Mitch Bratt SS Taylor Walls,,Ketel Marte,2B,24.22%,17
10,5215697727,artistlife,0,141.05,1B Freddie Freeman 2B Jake Cronenworth 3B Isaac Paredes C Ben Rortvedt OF Fernando Tatis Jr. OF Victor Mesa Jr. OF Chandler Simpson P Blake Snell P Nick Martinez SS Mookie Betts,,Junior Caminero,3B,24.22%,20
11,5215222243,mljoney8,0,139.65,1B Yandy Diaz 2B Ildemaro Vargas 3B Junior Caminero C James McCann OF Lars Nootbaar OF Victor Mesa Jr. OF Tim Tawa P Blake Snell P Cody Bradford SS Taylor Walls,,Chandler Simpson,OF,23.80%,8
12,5215379712,mnmranch2011,0,137.95,1B Joc Pederson 2B Ketel Marte 3B Yandy Diaz C Gabriel Moreno OF Victor Mesa Jr. OF Chandler Simpson OF Wyatt Langford P Hunter Brown P Mitch Bratt SS Taylor Walls,,Blake Snell,P,23.38%,29.1
13,5215714695,Jedi_Pred,0,136.6,1B Freddie Freeman 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Kyle Tucker OF Corbin Carroll OF Tim Tawa P Blake Snell P Mitch Bratt SS Mookie Betts,,Jonathan Aranda,1B,23.38%,2
14,5214873823,ShaidyAdvice,0,135.6,1B Tim Tawa 2B Ketel Marte 3B Junior Caminero C James McCann OF Lars Nootbaar OF Corbin Carroll OF Chandler Simpson P Blake Snell P Mitch Bratt SS Zach Neto,,Lars Nootbaar,OF,22.29%,0
14,5215673302,JMHurst82,0,135.6,1B Liam Hicks 2B Ketel Marte 3B Junior Caminero C Gabriel Moreno OF Brandon Nimmo OF Chandler Simpson OF Ryan Waldschmidt P Blake Snell P Mitch Bratt SS Taylor Walls,,James McCann,C,21.19%,0
16,5215634882,cons26,0,135.54999,1B Joc Pederson 2B Ketel Marte 3B Junior Caminero C Gabriel Moreno OF Kyle Isbel OF Victor Bericoto OF Chandler Simpson P Blake Snell P Hunter Brown SS Taylor Walls,,Liam Hicks,C,19.60%,6
16,5215743474,dukedog71,0,135.54999,1B Jonathan Aranda 2B Ketel Marte 3B Nolan Arenado C Liam Hicks OF Jihwan Bae OF Corbin Carroll OF Tim Tawa P Blake Snell P Hunter Brown SS Taylor Walls,,Gabriel Moreno,C,19.01%,3
18,5215045065,SeanDre,0,134,1B Yandy Diaz 2B Oswald Peraza 3B Junior Caminero C Yainer Diaz OF Cedric Mullins OF Cam Smith OF Chandler Simpson P Blake Snell P Walker Buehler SS Taylor Walls,,Nick Martinez,P,18.00%,23.95
19,5215039652,Satch65,0,133.65,1B Jonathan Aranda 2B Richie Palacios 3B Junior Caminero C James McCann OF Lars Nootbaar OF Victor Mesa Jr. OF Corbin Carroll P Blake Snell P Cody Bradford SS Taylor Walls,,Joc Pederson,1B,16.06%,20
20,5215566379,Hockeytown007bond,0,133.35,1B Yandy Diaz 2B Ketel Marte 3B Nick Loftin C Gabriel Moreno OF Brandon Nimmo OF Victor Mesa Jr. OF Chandler Simpson P Walker Buehler P Hunter Brown SS Mookie Betts,,Wyatt Langford,OF,15.48%,0
21,5215548608,TT8607,0,131.65,1B Liam Hicks 2B Richie Palacios 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Chandler Simpson OF Cole Carrigg P Blake Snell P Cody Bradford SS Taylor Walls,,Nolan Arenado,3B,13.29%,11
22,5215724216,awilhite,0,131.25,1B Yandy Diaz 2B Tommy Edman 3B Junior Caminero C James McCann OF Shohei Ohtani OF Victor Mesa Jr. OF Corbin Carroll P Mitch Bratt P Ryan Johnson SS Mookie Betts,,Isaac Paredes,3B,13.12%,6
23,5215713797,Dylanh167,0,130.95,1B Tim Tawa 2B Ketel Marte 3B Junior Caminero C Liam Hicks OF Cedric Mullins OF Lars Nootbaar OF Victor Mesa Jr. P Hunter Brown P Mitch Bratt SS Taylor Walls,,Shohei Ohtani,OF,12.45%,2
24,5215166935,gators070,0,129.54999,1B Yandy Diaz 2B Jeff McNeil 3B Junior Caminero C Liam Hicks OF Victor Mesa Jr. OF Jordan Beck OF Tim Tawa P Blake Snell P Hunter Brown SS Ezequiel Tovar,,Cam Smith,OF,12.11%,5
25,5214941854,cfraijo89,0,129.05,1B Joc Pederson 2B Brice Turang 3B Nolan Arenado C Yainer Diaz OF Brandon Nimmo OF Shohei Ohtani OF Jose Siri P Blake Snell P Nick Martinez SS Mookie Betts,,Victor Mesa Jr.,OF,10.85%,19
26,5215641263,RipPepStall,0,129,1B Shohei Ohtani 2B Donovan Walton 3B Manny Machado C Gabriel Moreno OF Austin Hays OF Fernando Tatis Jr. OF Tim Tawa P Blake Snell P Walker Buehler SS Willy Adames,,Ezequiel Duran,3B,10.68%,5
27,5215724533,Lucasj42o,0,128.6,1B Jeff McNeil 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Shohei Ohtani OF Zack Gelof OF Corbin Carroll P Blake Snell P Mitch Bratt SS Taylor Walls,,Yandy Diaz,3B,10.43%,18
28,5215629919,bhess777,0,128.35,1B Joc Pederson 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF Tim Tawa OF Wyatt Langford P Walker Buehler P Hunter Brown SS Zach Neto,,Jackson Chourio,OF,10.26%,2
29,5215158328,73pd2x,0,127.9,1B Jeff McNeil 2B Richie Palacios 3B Junior Caminero C Liam Hicks OF Lars Nootbaar OF Zack Gelof OF Chandler Simpson P Blake Snell P Michael Wacha SS Taylor Walls,,Taylor Walls,SS,10.26%,30
30,5215544718,wtfbra97,0,127.6,1B Jonathan Aranda 2B Jeff McNeil 3B Junior Caminero C Liam Hicks OF Lawrence Butler OF Zack Gelof OF Jackson Chourio P Blake Snell P Mitch Bratt SS Taylor Walls,,Yordan Alvarez,OF,9.67%,6
