Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5218570695,Cubsin2300,0,166.9,1B Jake Burger 2B Jeff McNeil 3B Ezequiel Duran C Francisco Alvarez OF Jac Caglianone OF Wyatt Langford OF Isaac Collins P Yoshinobu Yamamoto P Kyle Freeland SS Bobby Witt Jr.,,Gavin Williams,P,41.93%,3.15
2,5218328920,mdbette,0,163.05,1B Jac Caglianone 2B Jeff McNeil 3B Ezequiel Duran C Carter Jensen OF Mike Trout OF Wyatt Langford OF Andy Pages P Shane Bieber P Robert Stock SS Bobby Witt Jr.,,Abimelec Ortiz,1B,37.93%,0
3,5217642502,kreller17,0,161.4,1B Jeff McNeil 2B Jake Cronenworth 3B Christian Koss C Luis Campusano OF Tyler Soderstrom OF Henry Bolte OF Lawrence Butler P Chris Sale P Yoshinobu Yamamoto SS Xander Bogaerts,,CJ Abrams,SS,27.10%,13
4,5218559665,texansl,0,160,1B Josh Naylor 2B Jeff McNeil 3B Brendan Donovan C Drake Baldwin OF Jac Caglianone OF Wyatt Langford OF Jonah Cox P Chris Sale P Shane Bieber SS Bobby Witt Jr.,,Daylen Lile,OF,26.38%,3
5,5218153589,blnielson63,0,157.1,1B Jake Burger 2B Jeff McNeil 3B Ezequiel Duran C Carter Jensen OF Fernando Tatis Jr. OF Jac Caglianone OF Chandler Simpson P Michael King P Grayson Rodriguez SS Zach Neto,,Chris Sale,P,26.16%,26.5
6,5218213199,preeves4,0,156.3,1B Jeff McNeil 2B Michael Massey 3B Bo Bichette C Carter Jensen OF Jac Caglianone OF Zack Gelof OF Isaac Collins P Gerrit Cole P Kyle Freeland SS Bobby Witt Jr.,,Gerrit Cole,P,21.48%,17.3
7,5218607839,jmays1202,0,156,1B Jeff McNeil 2B Zack Gelof 3B Christian Encarnacion-Strand C Francisco Alvarez OF Tyler Soderstrom OF Lawrence Butler OF Tyler O'Neill P Chris Sale P Shane Bieber SS Gunnar Henderson,,Gage Jump,P,19.19%,3.8
8,5218401367,jayb1022,0,155.6,1B Jake Burger 2B Jeff McNeil 3B Junior Caminero C Carter Jensen OF Jac Caglianone OF Wyatt Langford OF Jonah Cox P Michael King P Shane Bieber SS Corey Seager,,Yoshinobu Yamamoto,P,18.34%,29.9
9,5218649214,FlyingBurritos,0,155.5,1B Jonathan Aranda 2B Richie Palacios 3B Junior Caminero C Liam Hicks OF Jac Caglianone OF Victor Mesa Jr. OF Zac Veen P Chris Sale P Kyle Freeland SS Francisco Lindor,,Drake Baldwin,C,18.11%,3
10,5218489030,carlitoxpkb,0,155.4,1B Jake Burger 2B Jeff McNeil 3B Ezequiel Duran C Luis Campusano OF Wyatt Langford OF Brandon Nimmo OF Carlos Cortes P Yoshinobu Yamamoto P Shane Bieber SS Corey Seager,,Landen Roupp,P,17.57%,9.35
