Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5221532243,stingerz22,0,212.4,1B Salvador Perez 2B Nick Sogard 3B Caleb Durbin C Mickey Gasper OF Shohei Ohtani OF Ceddanne Rafaela OF Eli White P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Blake Snell,P,52.22%,22.5
2,5221686581,LOCNOTM,0,197.4,1B Willson Contreras 2B Nick Sogard 3B Nick Yorke C Mickey Gasper OF Shohei Ohtani OF Andy Pages OF Ceddanne Rafaela P Blake Snell P Shota Imanaga SS Jared Triolo,,Shota Imanaga,P,37.52%,23.9
3,5221957229,Nitram99,0,190.85,1B Willson Contreras 2B Chase Meidroth 3B Caleb Durbin C Mickey Gasper OF Shohei Ohtani OF Pete Crow-Armstrong OF Brett Callahan P Blake Snell P Framber Valdez SS Andruw Monasterio,,Framber Valdez,P,29.11%,13.35
4,5221663503,slipperywhendry,0,187.4,1B Jac Caglianone 2B Alika Williams 3B Tommy White C Brian Serven OF Pete Crow-Armstrong OF Lawrence Butler OF Henry Bolte P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Shohei Ohtani,OF,26.70%,40
5,5221905861,coopjs23,0,183.4,1B Willson Contreras 2B Nick Sogard 3B Caleb Durbin C Mickey Gasper OF Shohei Ohtani OF Ceddanne Rafaela OF Luke Keaschall P Nolan McLean P Blake Snell SS Jared Triolo,,Max Muncy,3B,26.53%,25
6,5221476752,nickmoran,0,183,1B Josh Bell 2B Jeff McNeil 3B Tommy White C Carter Jensen OF Shohei Ohtani OF Tommy Edman OF Henry Bolte P Shota Imanaga P Walker Buehler SS Bobby Witt Jr.,,Brett Callahan,OF,25.86%,7
7,5221791407,Cocopuff001,0,182.4,1B Willson Contreras 2B Nick Sogard 3B Caleb Durbin C Mickey Gasper OF Shohei Ohtani OF Teoscar Hernandez OF Ceddanne Rafaela P Blake Snell P Shota Imanaga SS Alika Williams,,Hunter Feduccia,C,21.09%,2
8,5221465738,OussyMoosy,0,182.25,1B Nick Sogard 2B Hao-Yu Lee 3B Alex Bregman C Salvador Perez OF Shohei Ohtani OF Pete Crow-Armstrong OF Carlos Cortes P Shota Imanaga P Framber Valdez SS Mauricio Dubon,,Mookie Betts,SS,19.35%,9
9,5221754569,greatko,0,181.4,1B Nick Sogard 2B Jorge Polanco 3B Max Muncy C Mickey Gasper OF Shohei Ohtani OF Ceddanne Rafaela OF Eli White P Blake Snell P Shota Imanaga SS Mookie Betts,,Matt Olson,1B,18.12%,7
10,5221893918,OrangeNBlackATTack,0,178.4,1B Willson Contreras 2B Nick Sogard 3B Max Muncy C Hunter Feduccia OF Shohei Ohtani OF Ceddanne Rafaela OF Brett Callahan P Blake Snell P Shota Imanaga SS Jared Triolo,,Nolan McLean,P,18.12%,14.9
11,5221706371,Mrhelo,0,178.25,1B Shohei Ohtani 2B Jeff McNeil 3B Caleb Durbin C Salvador Perez OF Kyle Tucker OF Mike Yastrzemski OF Zach McKinstry P Shota Imanaga P Framber Valdez SS Bobby Witt Jr.,,Michael Wacha,P,17.61%,9.65
11,5221853086,LunaticMonkey77,0,178.25,1B Freddie Freeman 2B Jeff McNeil 3B Jorge Polanco C Salvador Perez OF Shohei Ohtani OF Luke Keaschall OF Kyle Isbel P Shota Imanaga P Framber Valdez SS Bobby Witt Jr.,,Kyle Tucker,OF,16.66%,0
13,5221721141,Scobra1111,0,178,1B Willson Contreras 2B Nick Gonzales 3B Caleb Durbin C Luis Campusano OF Pete Crow-Armstrong OF Wilyer Abreu OF Ceddanne Rafaela P Blake Snell P Brayan Bello SS Andruw Monasterio,,Andy Pages,OF,16.43%,21
14,5221183544,drunkonpappy,0,177.25,1B Shohei Ohtani 2B Hao-Yu Lee 3B Max Muncy C Hunter Feduccia OF Andy Pages OF Zach McKinstry OF Brett Callahan P Shota Imanaga P Framber Valdez SS Mookie Betts,,Shohei Ohtani,1B,14.47%,40
15,5221901486,jaybone81,0,176.75,1B Salvador Perez 2B Michael Massey 3B Maikel Garcia C Hunter Feduccia OF Shohei Ohtani OF Pete Crow-Armstrong OF Kyle Isbel P Martin Perez P Walker Buehler SS Bobby Witt Jr.,,Drake Baldwin,C,14.19%,10
16,5221806828,salcorral13,0,176.4,1B Willson Contreras 2B Nick Sogard 3B Caleb Durbin C Adley Rutschman OF Shohei Ohtani OF Ceddanne Rafaela OF Brett Callahan P Nolan McLean P Blake Snell SS Jared Triolo,,Salvador Perez,C,13.97%,7
16,5221947336,ShaneCain3,0,176.4,1B Willson Contreras 2B Ozzie Albies 3B Willi Castro C Adley Rutschman OF Pete Crow-Armstrong OF Alan Roden OF Eli White P Shota Imanaga P Brayan Bello SS Bobby Witt Jr.,,Jorge Polanco,2B,13.46%,3
18,5221160197,uheameboi23,0,175.4,1B Freddie Freeman 2B Nick Sogard 3B Max Muncy C Salvador Perez OF Shohei Ohtani OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Jared Triolo,,Jared Triolo,SS,13.40%,0
18,5221429242,bonif4cio,0,175.4,1B Vinnie Pasquantino 2B Hao-Yu Lee 3B Maikel Garcia C Salvador Perez OF Shohei Ohtani OF Isaac Collins OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Michael Massey,2B,13.24%,7
18,5221792823,danichello,0,175.4,1B Freddie Freeman 2B Nick Sogard 3B Max Muncy C Salvador Perez OF Shohei Ohtani OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Jared Triolo,,Francisco Lindor,SS,13.18%,6
18,5221830362,neterka,0,175.4,1B Freddie Freeman 2B Nick Sogard 3B Max Muncy C Salvador Perez OF Shohei Ohtani OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Jared Triolo,,Michael Harris II,OF,12.79%,3
22,5221588193,mdbette,0,174.4,1B Jared Young 2B Jake Cronenworth 3B Jorge Polanco C Drake Baldwin OF Shohei Ohtani OF Ceddanne Rafaela OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Bobby Witt Jr.,SS,12.62%,39
23,5221509620,milligolf,0,173.4,1B Freddie Freeman 2B Hao-Yu Lee 3B Kevin McGonigle C Hunter Feduccia OF Shohei Ohtani OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Javier Baez,,Martin Perez,P,12.51%,2.65
23,5221924932,romirome2005,0,173.4,1B Jared Young 2B Jorge Polanco 3B Max Muncy C Mickey Gasper OF Shohei Ohtani OF Luis Robert Jr. OF Mike Yastrzemski P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Jac Caglianone,1B,12.23%,15
25,5221937586,VAphin,0,173,1B Willson Contreras 2B Gleyber Torres 3B Max Muncy C Hunter Feduccia OF Andy Pages OF Eli White OF Brett Callahan P Blake Snell P Brayan Bello SS Bobby Witt Jr.,,Freddie Freeman,1B,11.95%,19
26,5221912853,mremis,0,172.6,1B Willson Contreras 2B Nick Sogard 3B Maikel Garcia C Carter Jensen OF Wilyer Abreu OF Ceddanne Rafaela OF Eli White P Blake Snell P Walker Buehler SS Bobby Witt Jr.,,Ceddanne Rafaela,OF,11.83%,21
26,5221980199,humanzee99,0,172.6,1B Freddie Freeman 2B Hao-Yu Lee 3B Max Muncy C Salvador Perez OF Shohei Ohtani OF Kyle Isbel OF Brett Callahan P Blake Snell P Walker Buehler SS Mookie Betts,,Ronald Acuna Jr.,OF,11.55%,7
28,5221945868,wrabl,0,172.4,1B Tim Tawa 2B Jake Cronenworth 3B Max Muncy C Salvador Perez OF Shohei Ohtani OF Andy Pages OF Zach McKinstry P Blake Snell P Shota Imanaga SS Jared Triolo,,Esmerlyn Valdez,OF,9.98%,0
29,5221727615,jordanh415,0,172.25,1B Shohei Ohtani 2B Nick Sogard 3B Max Muncy C Hunter Feduccia OF Andy Pages OF Zach McKinstry OF Brett Callahan P Shota Imanaga P Framber Valdez SS Mookie Betts,,Lawrence Butler,OF,9.76%,5
30,5221979001,fsufarmer2,0,171.85,1B Shohei Ohtani 2B Hao-Yu Lee 3B Jorge Polanco C Salvador Perez OF Andy Pages OF Teoscar Hernandez OF Brett Callahan P Blake Snell P Framber Valdez SS Bobby Witt Jr.,,Tommy Edman,2B,9.70%,7
31,5221646382,zwack222,0,170.4,1B Shohei Ohtani 2B Nick Sogard 3B Max Muncy C Salvador Perez OF Andy Pages OF Luke Keaschall OF Brett Callahan P Blake Snell P Shota Imanaga SS Jared Triolo,,Walker Buehler,P,9.37%,15.1
31,5221923905,tharris2023,0,170.4,1B Tommy White 2B Jeff McNeil 3B Max Muncy C Brian Serven OF Shohei Ohtani OF Lawrence Butler OF Brett Callahan P Nolan McLean P Blake Snell SS Maikel Garcia,,Caleb Durbin,3B,9.31%,22
31,5221982363,johnnybravo01,0,170.4,1B Jared Young 2B Nick Sogard 3B Jorge Polanco C Adley Rutschman OF Shohei Ohtani OF Byron Buxton OF Eli White P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Jared Young,1B,8.58%,0
34,5221452496,adavison,0,169.85,1B Shohei Ohtani 2B Hao-Yu Lee 3B Miguel Vargas C Dillon Dingler OF Randal Grichuk OF Zach McKinstry OF Brett Callahan P Blake Snell P Framber Valdez SS Kevin McGonigle,,Carson Benge,OF,8.47%,3
34,5221848673,omgrockst4r,0,169.85,1B Willson Contreras 2B Nick Sogard 3B Max Muncy C Hunter Feduccia OF Shohei Ohtani OF Ceddanne Rafaela OF Brett Callahan P Blake Snell P Framber Valdez SS Andruw Monasterio,,Carter Jensen,C,8.24%,7
36,5221026211,Dybdahl21,0,169.6,1B Freddie Freeman 2B Nick Sogard 3B Caleb Durbin C Carter Jensen OF Shohei Ohtani OF Ceddanne Rafaela OF Eli White P Blake Snell P Walker Buehler SS Andruw Monasterio,,Rafael Flores Jr.,C,8.24%,4
37,5221910007,sbdking12,0,169.4,1B Jared Young 2B Nick Sogard 3B Jorge Polanco C Mickey Gasper OF Shohei Ohtani OF Byron Buxton OF Luis Robert Jr. P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Luke Keaschall,OF,8.13%,10
38,5221820156,sapadon,0,168.85,1B Matt Olson 2B Jorge Polanco 3B Jared Triolo C Mickey Gasper OF Shohei Ohtani OF Andy Pages OF Eli White P Blake Snell P Framber Valdez SS Bobby Witt Jr.,,Jared Triolo,3B,7.96%,0
