Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5220067708,dfs_ads,0,131.55,1B Jake Burger 2B Jeff McNeil 3B Ezequiel Duran C Salvador Perez OF Evan Carter OF Henry Bolte OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Corey Seager,,Reid Detmers,P,80.00%,42.8
2,5220119401,ricallwal,0,122.55,1B Joc Pederson 2B Nick Loftin 3B Ezequiel Duran C Jonah Heim OF Jac Caglianone OF Henry Bolte OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Zach Neto,,Wyatt Langford,OF,73.33%,22
3,5220124947,Powerhouse354,0,115.5,1B Nolan Schanuel 2B Zack Gelof 3B Tommy White C Jonah Heim OF Mike Trout OF Jac Caglianone OF Wyatt Langford P Reid Detmers P J.T. Ginn SS Zach Neto,,Joc Pederson,1B,66.67%,0
4,5220090273,eharig09,0,113.95,1B Joc Pederson 2B Zack Gelof 3B Ezequiel Duran C Jonah Heim OF Starling Marte OF Brandon Nimmo OF Henry Bolte P Reid Detmers P Randy Dobnak SS Corey Seager,,MacKenzie Gore,P,66.67%,14.75
5,5220096476,ivymoose,0,110.55,1B Joc Pederson 2B Adam Frazier 3B Denzer Guzman C Austin Wynns OF Mike Trout OF Brandon Nimmo OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Corey Seager,,Mike Trout,OF,60.00%,3
6,5220108263,Atl282,0,109.55,1B Joc Pederson 2B Adam Frazier 3B Ezequiel Duran C Moises Ballesteros OF Mike Trout OF Brandon Nimmo OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Corey Seager,,Corey Seager,SS,53.33%,10
6,5220141346,MileHighCity303,0,109.55,1B Joc Pederson 2B Adam Frazier 3B Ezequiel Duran C Moises Ballesteros OF Mike Trout OF Brandon Nimmo OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Corey Seager,,Ezequiel Duran,3B,53.33%,0
8,5220140573,mstupore,0,103.5,1B Joc Pederson 2B Zack Gelof 3B Denzer Guzman C Jonah Heim OF Mike Trout OF Jac Caglianone OF Henry Bolte P Reid Detmers P J.T. Ginn SS Zach Neto,,Brandon Nimmo,OF,46.67%,7
9,5220108027,Concreteviking,0,101.5,1B Nolan Schanuel 2B Jeff McNeil 3B Denzer Guzman C Salvador Perez OF Mike Trout OF Jac Caglianone OF Wyatt Langford P Reid Detmers P J.T. Ginn SS Bobby Witt Jr.,,Jac Caglianone,OF,46.67%,8
10,5220077129,Terper8,0,97.55,1B Joc Pederson 2B Zack Gelof 3B Ezequiel Duran C Austin Wynns OF Mike Trout OF Wade Meckler OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Corey Seager,,Zack Gelof,2B,40.00%,0
11,5220075195,cbizzle38,0,94.55,1B Joc Pederson 2B Zack Gelof 3B Denzer Guzman C Salvador Perez OF Mike Trout OF Wade Meckler OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Corey Seager,,Salvador Perez,C,33.33%,0
12,5220140587,mitchellmorse30,0,87.55,1B Joc Pederson 2B Adam Frazier 3B Denzer Guzman C Moises Ballesteros OF Mike Trout OF Brandon Nimmo OF Josh Lowe P MacKenzie Gore P Reid Detmers SS Corey Seager,,Denzer Guzman,3B,33.33%,0
13,5220069242,miamimobsters,0,72.9,1B Salvador Perez 2B Nick Loftin 3B Ezequiel Duran C Luke Maile OF Brandon Nimmo OF Jac Caglianone OF Wyatt Langford P MacKenzie Gore P Randy Dobnak SS Bobby Witt Jr.,,Henry Bolte,OF,33.33%,26
13,5220082719,Flatrockboy,0,72.9,1B Joc Pederson 2B Nick Loftin 3B Ezequiel Duran C Salvador Perez OF Brandon Nimmo OF Jac Caglianone OF Wyatt Langford P MacKenzie Gore P Randy Dobnak SS Bobby Witt Jr.,,Adam Frazier,2B,26.67%,8
15,5220105431,austino999,0,69.85,1B Jeff McNeil 2B Zack Gelof 3B Nick Loftin C Luke Maile OF Tyler Tolbert OF Jac Caglianone OF Henry Bolte P Randy Dobnak P J.T. Ginn SS Bobby Witt Jr.,,Jonah Heim,C,26.67%,7
,,,,,,,Randy Dobnak,P,26.67%,21.15
,,,,,,,J.T. Ginn,P,26.67%,14.7
,,,,,,,Bobby Witt Jr.,SS,26.67%,0
,,,,,,,Nick Loftin,2B,26.67%,0
,,,,,,,Jeff McNeil,1B,20.00%,0
,,,,,,,Moises Ballesteros,C,20.00%,2
,,,,,,,Zach Neto,SS,20.00%,2
,,,,,,,Luke Maile,C,13.33%,0
,,,,,,,Austin Wynns,C,13.33%,3
,,,,,,,Wade Meckler,OF,13.33%,2
,,,,,,,Nolan Schanuel,1B,13.33%,11
,,,,,,,Starling Marte,OF,6.67%,0
,,,,,,,Jake Burger,1B,6.67%,9
,,,,,,,Josh Lowe,OF,6.67%,0
,,,,,,,Tyler Tolbert,OF,6.67%,0
,,,,,,,Evan Carter,OF,6.67%,7
,,,,,,,Tommy White,3B,6.67%,5
