Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5212032126,Doubledizzle802,0,217.1,1B Jac Caglianone 2B Royce Lewis 3B Kevin McGonigle C Ivan Herrera OF Jackson Merrill OF Jake McCarthy OF Kyle Tucker P Gavin Williams P Brandon Pfaadt SS Kaelen Culpepper,,Gavin Williams,P,48.46%,19.75
2,5211801095,bonif4cio,0,178.6,1B TJ Rumfield 2B Willi Castro 3B Kyle Karros C Austin Wynns OF Jake McCarthy OF Cole Carrigg OF Jo Adell P Gavin Williams P Jacob deGrom SS Corey Seager,,Ivan Herrera,C,35.69%,19
2,5212342208,jbwilliams3,0,178.6,1B Andrew Vaughn 2B Jake Cronenworth 3B Kyle Karros C Luis Campusano OF Jake McCarthy OF Cole Carrigg OF Brandon Nimmo P Gavin Williams P Jacob deGrom SS Corey Seager,,Pete Crow-Armstrong,OF,34.99%,4
4,5212396045,RTR_Hope,0,177,1B Alec Burleson 2B JJ Wetherholt 3B Kyle Karros C Ivan Herrera OF Jordan Walker OF Jake McCarthy OF Jose Fermin P Kyle Bradish P Michael King SS Colson Montgomery,,Jacob deGrom,P,25.67%,28.85
5,5212091797,tomasricardos,0,170.45,1B Jac Caglianone 2B Jackson Holliday 3B Kyle Karros C Ivan Herrera OF Pete Crow-Armstrong OF Jordan Walker OF Jordan Beck P Michael King P Brandon Pfaadt SS Bobby Witt Jr.,,Michael Busch,1B,25.25%,3
6,5211879196,Drewski9090,0,169.6,1B TJ Rumfield 2B Jake Cronenworth 3B Blaze Jordan C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Ian Happ P Gavin Williams P Jacob deGrom SS Eddys Leonard,,Blaze Jordan,3B,19.99%,3
7,5212181096,pinkandbrown44,0,169.45,1B Alec Burleson 2B Willi Castro 3B Kyle Karros C Ivan Herrera OF Jordan Walker OF Jake McCarthy OF Cole Carrigg P Gavin Williams P Anthony Kay SS Masyn Winn,,Jordan Walker,OF,19.85%,14
8,5211994771,kidzero,0,165.6,1B Joc Pederson 2B Nicky Lopez 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Gavin Williams P Jacob deGrom SS Corey Seager,,Jo Adell,OF,18.44%,5
9,5211875676,Ant330,0,165.55,1B Josh Naylor 2B Willi Castro 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Chase DeLauter P George Kirby P Kyle Bradish SS Brayan Rocchio,,Matthew Liberatore,P,18.09%,0.05
10,5212352763,sheiraas,0,164.95,1B Alec Burleson 2B Royce Lewis 3B Jose Fermin C Ivan Herrera OF Jordan Walker OF Riley Greene OF Max Clark P Jacob deGrom P Michael King SS Javier Baez,,Masyn Winn,SS,18.02%,5
11,5212353358,Vinnymoore,0,163.1,1B Joc Pederson 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Wyatt Langford OF Cole Carrigg P George Kirby P Taj Bradley SS Corey Seager,,Alex Bregman,3B,17.32%,2
11,5212428576,ShowboatKing,0,163.1,1B TJ Rumfield 2B Royce Lewis 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jo Adell P Gavin Williams P Kyle Freeland SS Kevin McGonigle,,Ian Happ,OF,14.66%,19
13,5212314068,ThaBadGuy1906,0,161.6,1B Josh Bell 2B Royce Lewis 3B Kevin McGonigle C Ivan Herrera OF Jake McCarthy OF Steven Kwan OF Austin Martin P Gavin Williams P Jacob deGrom SS Kaelen Culpepper,,Kyle Tucker,OF,14.59%,16
14,5212077097,GRMays33,0,160.85,1B Bryce Eldridge 2B Brice Turang 3B Kyle Karros C Ivan Herrera OF Jackson Merrill OF Ian Happ OF Jo Adell P Gavin Williams P Michael King SS Geraldo Perdomo,,Kaelen Culpepper,SS,14.10%,8
15,5212180069,Airliner34,0,160.6,1B Royce Lewis 2B Willi Castro 3B Kyle Karros C Ivan Herrera OF Cole Carrigg OF Jo Adell OF Jose Fermin P Gavin Williams P Jacob deGrom SS Masyn Winn,,Shohei Ohtani,OF,13.81%,5
16,5212035125,House868,0,158.9,1B Jac Caglianone 2B Royce Lewis 3B Kyle Karros C Ivan Herrera OF Yordan Alvarez OF Pete Crow-Armstrong OF Kyle Isbel P Jacob deGrom P Jackson Jobe SS Kaelen Culpepper,,Seiya Suzuki,OF,13.74%,0
17,5212350486,Treball,0,154.25,1B Michael Busch 2B Willi Castro 3B Kyle Karros C Carson Kelly OF Jake McCarthy OF Cole Carrigg OF Ian Happ P Gavin Williams P Steven Matz SS Dansby Swanson,,Yoshinobu Yamamoto,P,13.46%,20.55
18,5212230563,cyndi199,0,154.2,1B Josh Naylor 2B Jake Cronenworth 3B Kyle Karros C James McCann OF Shohei Ohtani OF Jordan Walker OF Cole Carrigg P Gavin Williams P Taj Bradley SS Ezequiel Tovar,,Casey Legumina,P,13.32%,4.4
19,5212074332,broncos21,0,154.15,1B Rhys Hoskins 2B Tyler Freeman 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Angel Martinez P Gavin Williams P Casey Legumina SS Brayan Rocchio,,Osleivis Basabe,2B,13.25%,0
