Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5223574667,thirlbyM14,0,115.2,1B Jared Young 2B Brandon Lowe 3B Bo Bichette C Henry Davis OF Oneil Cruz OF Carson Benge OF A.J. Ewing P Paul Skenes P Taj Bradley SS Francisco Lindor,,Paul Skenes,P,50.63%,8.95
2,5223526652,gymdoortee,0,114.45,1B Josh Bell 2B Kody Clemens 3B Kevin McGonigle C Dillon Dingler OF Fernando Tatis Jr. OF Carson Benge OF Max Clark P Taj Bradley P Jackson Jobe SS Xander Bogaerts,,Michael King,P,47.93%,15.4
3,5223349933,8dub,0,109.7,1B Munetaka Murakami 2B Brandon Lowe 3B Miguel Vargas C Henry Davis OF Oneil Cruz OF Bryan Reynolds OF Sam Antonacci P Michael King P Jose Urquidy SS Colson Montgomery,,Fernando Tatis Jr.,OF,44.89%,9
4,5223623858,mbeeman5,0,109.65,1B Royce Lewis 2B Brandon Lowe 3B Miguel Vargas C Henry Davis OF Oneil Cruz OF Bryan Reynolds OF Jackson Merrill P Taj Bradley P Michael King SS Kaelen Culpepper,,Jake Cronenworth,2B,38.48%,2
5,5223234273,jbwilliams3,0,108.65,1B Miguel Vargas 2B Brandon Lowe 3B Nick Gonzales C Henry Davis OF Oneil Cruz OF Byron Buxton OF Sam Antonacci P Taj Bradley P Michael King SS Jacob Gonzalez,,Clay Holmes,P,37.64%,7.2
6,5223286688,ImaDonk11,0,105.2,1B Jared Young 2B Brandon Lowe 3B Nick Gonzales C Luis Torrens OF Fernando Tatis Jr. OF Kody Clemens OF A.J. Ewing P Paul Skenes P Taj Bradley SS Francisco Lindor,,Jackson Merrill,OF,34.09%,0
7,5223400314,jsimene1210,0,104.2,1B Josh Bell 2B Kody Clemens 3B Miguel Vargas C Jake Rogers OF Byron Buxton OF Sam Antonacci OF Luke Keaschall P Paul Skenes P Taj Bradley SS Kaelen Culpepper,,Manny Machado,3B,30.89%,0
8,5223602236,endlessmike03,0,103.65,1B Spencer Horwitz 2B Brandon Lowe 3B Nick Gonzales C Henry Davis OF Oneil Cruz OF Seiya Suzuki OF Fernando Tatis Jr. P Taj Bradley P Michael King SS Kaelen Culpepper,,Drake Baldwin,C,30.13%,0
9,5223448920,NoThought,0,103.2,1B Spencer Horwitz 2B Brandon Lowe 3B Nick Gonzales C Francisco Alvarez OF Oneil Cruz OF Carson Benge OF A.J. Ewing P Paul Skenes P Taj Bradley SS Jacob Gonzalez,,Francisco Lindor,SS,27.51%,3
10,5223605157,maknmoney,0,102.65,1B Ty France 2B Brandon Lowe 3B Miguel Vargas C Luis Campusano OF Ronald Acuna Jr. OF Byron Buxton OF Gabriel Gonzalez P Taj Bradley P Michael King SS Xander Bogaerts,,Pete Crow-Armstrong,OF,24.64%,0
11,5223559148,mkpullano,0,101.65,1B Royce Lewis 2B Brandon Lowe 3B Manny Machado C Henry Davis OF Fernando Tatis Jr. OF Kody Clemens OF Jackson Merrill P Taj Bradley P Michael King SS Xander Bogaerts,,Taj Bradley,P,24.64%,20.25
12,5223647069,MYSTERIO10,0,99.65,1B Ty France 2B Hao-Yu Lee 3B Miguel Vargas C Luis Campusano OF Oneil Cruz OF Jackson Merrill OF Luis Rengifo P Taj Bradley P Michael King SS Xander Bogaerts,,Spencer Horwitz,1B,21.94%,0
13,5223134386,Peteysixteen,0,98.6,1B Josh Bell 2B Kody Clemens 3B Kevin McGonigle C Luis Campusano OF Oneil Cruz OF Fernando Tatis Jr. OF A.J. Ewing P Clay Holmes P Michael King SS Jacob Gonzalez,,Luis Campusano,C,21.18%,4
14,5223429306,MrPredetermine,0,98.35,1B Josh Bell 2B Brandon Lowe 3B Bo Bichette C Drake Baldwin OF Oneil Cruz OF Fernando Tatis Jr. OF A.J. Ewing P Clay Holmes P Robert Stock SS Francisco Lindor,,Oneil Cruz,OF,20.34%,12
15,5223604296,jjcioffi,0,98.25,1B Spencer Horwitz 2B Brandon Lowe 3B Manny Machado C Henry Davis OF Oneil Cruz OF Fernando Tatis Jr. OF Bryan Reynolds P Paul Skenes P Jose Urquidy SS Xander Bogaerts,,Xander Bogaerts,SS,18.73%,9
16,5223374755,Rjhardman24,0,97.65,1B Josh Bell 2B Gleyber Torres 3B Nick Gonzales C Drake Baldwin OF Fernando Tatis Jr. OF Kody Clemens OF Luke Keaschall P Taj Bradley P Michael King SS Colson Montgomery,,AJ Smith-Shawver,P,17.97%,2.95
17,5223448499,Mucci193,0,97.55,1B Munetaka Murakami 2B Gleyber Torres 3B Hao-Yu Lee C Dillon Dingler OF Oneil Cruz OF Byron Buxton OF Brett Callahan P Taj Bradley P Jose Urquidy SS Kevin McGonigle,,Brandon Lowe,2B,15.70%,20
18,5223520242,beenjammin98,0,97.2,1B Josh Bell 2B Kody Clemens 3B Nick Gonzales C Victor Caratini OF Oneil Cruz OF Byron Buxton OF Luke Keaschall P Paul Skenes P Taj Bradley SS Jacob Gonzalez,,Ty France,1B,15.53%,7
19,5223375115,magicpower,0,97.1,1B Miguel Vargas 2B Brandon Lowe 3B Colson Montgomery C Henry Davis OF Seiya Suzuki OF Bryan Reynolds OF Carson Benge P Paul Skenes P Robert Stock SS Francisco Lindor,,Byron Buxton,OF,14.77%,6
20,5223581462,betszilla9897,0,96.6,1B Matt Olson 2B Brandon Lowe 3B Colt Keith C Luis Campusano OF Fernando Tatis Jr. OF Carson Benge OF Tristan Peters P Clay Holmes P Michael King SS Colson Montgomery,,Josh Bell,1B,14.35%,11
