Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5211516363,mktall40,0,144.85,1B Jonathan Aranda 2B Tommy Edman 3B Isaac Paredes C Liam Hicks OF Jung Hoo Lee OF Jonny DeLuca OF Victor Mesa Jr. P Drew Rasmussen P Roki Sasaki SS Willy Adames,,Drew Rasmussen,P,50.63%,33.35
2,5211537773,cwhiteheart,0,144.55,1B Christian Walker 2B Jake Cronenworth 3B Kevin McGonigle C Hunter Feduccia OF Kyle Tucker OF Andy Pages OF Cam Smith P Drew Rasmussen P Logan Gilbert SS Mookie Betts,,Roki Sasaki,P,44.83%,16.5
3,5211269399,bamnuel93,0,142.04999,1B Jonathan Aranda 2B Tommy Edman 3B Kevin McGonigle C Gabriel Moreno OF Jake Meyers OF Andy Pages OF Ryan Waldschmidt P Drew Rasmussen P Keider Montero SS Geraldo Perdomo,,Jake Cronenworth,2B,30.28%,5
4,5211400774,macyfan,0,137.55,1B Rafael Devers 2B Jake Cronenworth 3B Kevin McGonigle C Daniel Susac OF Teoscar Hernandez OF Riley Greene OF Cam Smith P Drew Rasmussen P Logan Gilbert SS Willy Adames,,Kyle Tucker,OF,30.19%,5
5,5211462677,USCkv,0,136.5,1B Christian Walker 2B Ketel Marte 3B Isaac Paredes C Gabriel Moreno OF Yordan Alvarez OF Daulton Varsho OF Cam Smith P Merrill Kelly P Drew Rasmussen SS Geraldo Perdomo,,Robbie Ray,P,28.68%,0.05
6,5211381575,cantfademe,0,135.85,1B Christian Walker 2B Jake Cronenworth 3B Manny Machado C Luis Campusano OF Yordan Alvarez OF Jake Meyers OF Cam Smith P Drew Rasmussen P Roki Sasaki SS Jeremy Pena,,Logan Gilbert,P,28.34%,18.2
7,5211571176,elcroupier,0,135.55,1B Rafael Devers 2B Jake Cronenworth 3B Kevin McGonigle C Hunter Feduccia OF Jung Hoo Lee OF Andy Pages OF Drew Gilbert P Drew Rasmussen P Logan Gilbert SS Willy Adames,,Keider Montero,P,27.75%,8.7
8,5211476676,Dollarsigns,0,135.04999,1B Jonathan Aranda 2B Jose Altuve 3B Isaac Paredes C Hunter Feduccia OF Jonny DeLuca OF Corbin Carroll OF Cam Smith P Drew Rasmussen P Keider Montero SS Jeremy Pena,,Max Clark,OF,27.67%,3
9,5211437660,mtlhawk33,0,133.85,1B Rafael Devers 2B Osleivis Basabe 3B Kevin McGonigle C Dillon Dingler OF Kyle Tucker OF Cam Smith OF Max Clark P Drew Rasmussen P Roki Sasaki SS Jeremy Pena,,Colt Keith,3B,26.91%,0
9,5211570856,OldManDeF,0,133.85,1B Rafael Devers 2B Jake Cronenworth 3B Max Muncy C Dillon Dingler OF Gavin Sheets OF Jung Hoo Lee OF Cam Smith P Drew Rasmussen P Roki Sasaki SS Kevin McGonigle,,Riley Greene,OF,24.98%,5
11,5211182068,roberts2525,0,133.55,1B Tim Tawa 2B Jose Altuve 3B Nolan Arenado C Yainer Diaz OF Yordan Alvarez OF Lars Nootbaar OF Cam Smith P Drew Rasmussen P Logan Gilbert SS Javier Baez,,Shohei Ohtani,OF,23.97%,4
12,5211547822,Bentoni,0,132.85,1B Jonathan Aranda 2B Jose Altuve 3B Colt Keith C Liam Hicks OF Zach McKinstry OF Yordan Alvarez OF Cam Smith P Drew Rasmussen P Roki Sasaki SS Jeremy Pena,,Hunter Feduccia,C,23.30%,5
13,5211499634,codyewell,0,130.55,1B Shohei Ohtani 2B Jose Altuve 3B Isaac Paredes C Hunter Feduccia OF Daulton Varsho OF Jake Meyers OF Cam Smith P Drew Rasmussen P Logan Gilbert SS Mookie Betts,,Shohei Ohtani,1B,22.71%,4
14,5211474745,Profanity,0,129.55,1B Christian Walker 2B Jose Altuve 3B Sung-Mun Song C Gabriel Moreno OF Jung Hoo Lee OF Tim Tawa OF Jackson Merrill P Drew Rasmussen P Logan Gilbert SS Geraldo Perdomo,,Jose Altuve,2B,22.29%,9
15,5211414446,jjland,0,129.5,1B Christian Walker 2B Jose Altuve 3B Nolan Arenado C Liam Hicks OF Yordan Alvarez OF Cam Smith OF Chandler Simpson P Merrill Kelly P Drew Rasmussen SS Xander Bogaerts,,Dillon Dingler,C,21.03%,4
16,5211475468,Nolamamack,0,128.04999,1B Jonathan Aranda 2B Jose Altuve 3B Junior Caminero C Daniel Susac OF Yordan Alvarez OF Tim Tawa OF Cam Smith P Drew Rasmussen P Keider Montero SS Taylor Walls,,Mookie Betts,SS,19.18%,5
17,5211446126,zeusy24kk,0,127.5,1B Christian Walker 2B Ketel Marte 3B Isaac Paredes C Liam Hicks OF Corbin Carroll OF Cam Smith OF Chandler Simpson P Merrill Kelly P Drew Rasmussen SS Geraldo Perdomo,,Kevin McGonigle,SS,19.09%,13
18,5211576247,Tall_Texan,0,127.2,1B Jonathan Aranda 2B Jose Altuve 3B Kevin McGonigle C Liam Hicks OF Andy Pages OF Julio Rodriguez OF Riley Greene P Keider Montero P Roki Sasaki SS Geraldo Perdomo,,Max Muncy,3B,19.01%,0
19,5210874609,tracymcceo,0,126.85,1B Christian Walker 2B Jose Altuve 3B Colt Keith C Liam Hicks OF Zach McKinstry OF Yordan Alvarez OF Cam Smith P Drew Rasmussen P Roki Sasaki SS Jeremy Pena,,Osleivis Basabe,2B,17.91%,8
19,5211542078,verdineka,0,126.85,1B Shohei Ohtani 2B Tommy Edman 3B Kevin McGonigle C Liam Hicks OF Jonny DeLuca OF Grant McCray OF Cam Smith P Drew Rasmussen P Roki Sasaki SS Javier Baez,,Teoscar Hernandez,OF,17.33%,0
21,5211555826,HyVoltage,0,126.7,1B Shohei Ohtani 2B Jose Altuve 3B Isaac Paredes C Hunter Feduccia OF Jake Meyers OF Andy Pages OF Cam Smith P Logan Gilbert P Roki Sasaki SS Jeremy Pena,,Freddie Freeman,1B,16.82%,2
22,5211229790,Russeljune83,0,126.399994,1B Jonathan Aranda 2B Cole Young 3B Nolan Arenado C Gabriel Moreno OF Andy Pages OF Victor Mesa Jr. OF Tim Tawa P Robbie Ray P Drew Rasmussen SS Kevin McGonigle,,Kevin McGonigle,3B,16.48%,13
23,5211531877,blakemoore15,0,125.85,1B Freddie Freeman 2B Jose Altuve 3B Isaac Paredes C Hunter Feduccia OF Kyle Tucker OF Yordan Alvarez OF Cam Smith P Drew Rasmussen P Roki Sasaki SS Xander Bogaerts,,Andy Pages,OF,16.32%,16
24,5211052801,grrrrmonsta,0,125.55,1B Christian Walker 2B Jose Altuve 3B Colt Keith C Yainer Diaz OF Riley Greene OF Cam Smith OF Max Clark P Drew Rasmussen P Logan Gilbert SS Kevin McGonigle,,Jackson Merrill,OF,15.05%,12
24,5211492771,scoobydaniels,0,125.55,1B Christian Walker 2B Jose Altuve 3B Nolan Arenado C Gabriel Moreno OF Lars Nootbaar OF Tim Tawa OF Ryan Waldschmidt P Drew Rasmussen P Logan Gilbert SS Jeremy Pena,,Zach McKinstry,OF,13.96%,8
26,5211273674,sikwitit317,0,124.85,1B Christian Walker 2B Jose Altuve 3B Kevin McGonigle C Dillon Dingler OF Daulton Varsho OF Cam Smith OF Max Clark P Drew Rasmussen P Roki Sasaki SS Jeremy Pena,,Javier Baez,SS,13.04%,0
