Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5200782746,wproff (3/20),0,192.9,1B Michael Busch 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Pete Crow-Armstrong OF A.J. Ewing OF Jasson Dominguez P Payton Tolle P Walbert Urena SS Francisco Lindor,,Tatsuya Imai,P,47.62%,-3.5
2,5200743863,scuba03 (5/20),0,189.95,1B Jared Young 2B Marcus Semien 3B Alex Bregman C Francisco Alvarez OF Yordan Alvarez OF Seiya Suzuki OF A.J. Ewing P Payton Tolle P Max Fried SS Francisco Lindor,,Payton Tolle,P,40.45%,22.4
3,5200440802,edgelesscart (2/20),0,186.5,1B Munetaka Murakami 2B Marcus Semien 3B Miguel Vargas C Francisco Alvarez OF Michael Harris II OF A.J. Ewing OF Tyrone Taylor P Payton Tolle P Brandon Sproat SS Francisco Lindor,,Max Fried,P,29.60%,4.55
4,5200831229,mahaa507 (17/20),0,181.4,1B Paul Goldschmidt 2B Jazz Chisholm Jr. 3B Bo Bichette C Luis Torrens OF A.J. Ewing OF Jasson Dominguez OF Tyrone Taylor P Chase Burns P Payton Tolle SS Francisco Lindor,,Willson Contreras,1B,24.68%,6
5,5200715860,ggriggcubsfan (4/4),0,180.45,1B Willson Contreras 2B Marcus Semien 3B Alex Bregman C Francisco Alvarez OF Mike Trout OF Jo Adell OF Luis Robert Jr. P Payton Tolle P Zac Thornton SS Francisco Lindor,,Wilyer Abreu,OF,23.45%,4
6,5200831851,tharris2023 (12/20),0,178.9,1B Paul Goldschmidt 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Pete Crow-Armstrong OF Seiya Suzuki OF JJ Bleday P Payton Tolle P Tyler Mahle SS Francisco Lindor,,Seiya Suzuki,OF,22.14%,7
7,5200179718,jeffylube (15/20),0,177.6,1B Willson Contreras 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Pete Crow-Armstrong OF Wilyer Abreu OF Tyler Soderstrom P Tyler Mahle P Noah Schultz SS Francisco Lindor,,Carson Kelly,C,20.64%,8
8,5200617032,j-wolf05 (12/20),0,177.45,1B Jared Young 2B Nico Hoerner 3B Bo Bichette C Francisco Alvarez OF Pete Crow-Armstrong OF Seiya Suzuki OF A.J. Ewing P Payton Tolle P Zac Thornton SS Francisco Lindor,,Chase Burns,P,19.70%,0
9,5200602942,thebumpsta,0,177.4,1B Willson Contreras 2B Marcus Semien 3B Alex Bregman C Francisco Alvarez OF Jarren Duran OF Luis Robert Jr. OF Tyrone Taylor P Chase Burns P Payton Tolle SS Francisco Lindor,,Caleb Durbin,2B,19.41%,5
10,5200368729,Thegoldcobra (16/20),0,175.4,1B Michael Busch 2B Marcus Semien 3B Alex Bregman C Carson Kelly OF Seiya Suzuki OF Luis Robert Jr. OF Tyrone Taylor P Chase Burns P Payton Tolle SS Francisco Lindor,,Curtis Mead,3B,19.26%,2
11,5200679345,lostories (6/20),0,175.25,1B Michael Busch 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Yordan Alvarez OF Seiya Suzuki OF Ronald Acuna Jr. P Tyler Mahle P Jack Perkins SS Francisco Lindor,,Masataka Yoshida,OF,18.76%,5
12,5200862676,DigitalDreams (12/12),0,174.9,1B Ben Rice 2B Jazz Chisholm Jr. 3B Bo Bichette C Francisco Alvarez OF Michael Harris II OF A.J. Ewing OF Luis Robert Jr. P Payton Tolle P Tyler Mahle SS Francisco Lindor,,Ceddanne Rafaela,OF,18.54%,20
13,5200776200,EagleEye3434 (2/5),0,173.45,1B Willson Contreras 2B Jazz Chisholm Jr. 3B Bo Bichette C Francisco Alvarez OF A.J. Ewing OF Luis Robert Jr. OF Jasson Dominguez P Payton Tolle P Zac Thornton SS Francisco Lindor,,Pete Crow-Armstrong,OF,18.49%,4
14,5200412846,DLP4412 (12/20),0,172.9,1B Michael Busch 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Wilyer Abreu OF Seiya Suzuki OF Luis Robert Jr. P Payton Tolle P Walbert Urena SS Francisco Lindor,,Jarren Duran,OF,16.70%,0
15,5200205176,davis2543 (13/20),0,172,1B Ben Rice 2B Jazz Chisholm Jr. 3B Bo Bichette C Francisco Alvarez OF Mike Trout OF A.J. Ewing OF Luis Robert Jr. P Walbert Urena P Tyler Mahle SS Francisco Lindor,,Yordan Alvarez,OF,15.85%,11
16,5200669491,Amenrabuck (8/20),0,171.9,1B Michael Busch 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Jordan Walker OF Seiya Suzuki OF Dane Myers P Payton Tolle P Walbert Urena SS Francisco Lindor,,Ivan Herrera,C,15.16%,3
17,5200513719,Rjburba (8/20),0,171,1B Jonah Heim 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Yordan Alvarez OF Pete Crow-Armstrong OF Seiya Suzuki P Tyler Mahle P Tatsuya Imai SS Francisco Lindor,,Nico Hoerner,2B,14.75%,31
18,5200731584,ravensrule22 (2/10),0,169.05,1B Willson Contreras 2B Marcus Semien 3B Bo Bichette C Francisco Alvarez OF Wilyer Abreu OF Ceddanne Rafaela OF A.J. Ewing P Walbert Urena P Max Fried SS Francisco Lindor,,Brandon Sproat,P,14.70%,12.1
19,5200642870,HarrisSmithIsHere (1/3),0,168.15,1B Michael Busch 2B Nico Hoerner 3B Alex Bregman C Tyler Heineman OF Yordan Alvarez OF Mike Trout OF Ronald Acuna Jr. P Payton Tolle P David Peterson SS Francisco Lindor,,Paul Goldschmidt,1B,14.65%,7
20,5200751875,awen419 (18/20),0,167.9,1B Ben Rice 2B Marcus Semien 3B Alex Bregman C Ali Sanchez OF Pete Crow-Armstrong OF Jordan Walker OF Spencer Jones P Payton Tolle P Tatsuya Imai SS Francisco Lindor,,Alex Bregman,3B,14.05%,33
