Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5213392994,Schlaurizzle (1/5),0,169.55,1B Pete Alonso 2B Jackson Holliday 3B Alex Bregman C Salvador Perez OF Ian Happ OF Leody Taveras OF Dylan Beavers P Connor Prielipp P Jacob Misiorowski SS Gunnar Henderson,,Jacob Misiorowski,P,73.06%,22.5
2,5213481517,Mangey4232 (2/2),0,164.29999,1B Pete Alonso 2B Nico Hoerner 3B Ezequiel Duran C Miguel Amaya OF Jake Bauers OF Jordan Walker OF Jackson Chourio P Matthew Boyd P Kumar Rocker SS Masyn Winn,,Pete Crow-Armstrong,OF,32.66%,11
3,5213489745,Choker12 (1/2),0,163.45,1B Alec Burleson 2B JJ Wetherholt 3B Ezequiel Duran C Ivan Herrera OF Tyler O'Neill OF Leody Taveras OF Colton Cowser P Matthew Boyd P Jacob Misiorowski SS Jackson Holliday,,Kumar Rocker,P,30.64%,-0.65
4,5213400503,Raiderfanatic2195 (3/8),0,157.25,1B Pete Alonso 2B Jackson Holliday 3B Ezequiel Duran C Miguel Amaya OF Leody Taveras OF Pete Crow-Armstrong OF Dylan Beavers P Jacob Misiorowski P Michael McGreevy SS Gunnar Henderson,,Matthew Boyd,P,23.23%,16.95
5,5213487913,Emac (7/8),0,153.55,1B Michael Busch 2B Jackson Holliday 3B Coby Mayo C Ivan Herrera OF Starling Marte OF Tyler O'Neill OF Pete Crow-Armstrong P Connor Prielipp P Jacob Misiorowski SS Gunnar Henderson,,Jake McCarthy,OF,21.55%,10
6,5213487911,Emac (5/8),0,153.2,1B Pete Alonso 2B JJ Wetherholt 3B Alex Bregman C Ivan Herrera OF Tyrone Taylor OF Ian Happ OF Pete Crow-Armstrong P Connor Prielipp P Cade Povich SS Dansby Swanson,,Steven Kwan,OF,20.88%,8
7,5213483276,smitch7821 (1/5),0,153.09999,1B Pete Alonso 2B Willi Castro 3B Coby Mayo C Ivan Herrera OF Ian Happ OF Jake McCarthy OF Pete Crow-Armstrong P Matthew Boyd P Cade Povich SS Masyn Winn,,Ivan Herrera,C,19.87%,16
7,5213483283,smitch7821 (2/5),0,153.09999,1B Pete Alonso 2B Willi Castro 3B Coby Mayo C Ivan Herrera OF Ian Happ OF Jake McCarthy OF Pete Crow-Armstrong P Matthew Boyd P Cade Povich SS Masyn Winn,,Michael McGreevy,P,19.19%,8.75
7,5213490523,smitch7821 (3/5),0,153.09999,1B Pete Alonso 2B Willi Castro 3B Coby Mayo C Ivan Herrera OF Ian Happ OF Jake McCarthy OF Pete Crow-Armstrong P Matthew Boyd P Cade Povich SS Masyn Winn,,Ezequiel Duran,3B,18.18%,6
7,5213490601,smitch7821 (4/5),0,153.09999,1B Pete Alonso 2B Willi Castro 3B Coby Mayo C Ivan Herrera OF Ian Happ OF Jake McCarthy OF Pete Crow-Armstrong P Matthew Boyd P Cade Povich SS Masyn Winn,,Ian Happ,OF,16.84%,24
7,5213490616,smitch7821 (5/5),0,153.09999,1B Pete Alonso 2B Willi Castro 3B Coby Mayo C Ivan Herrera OF Ian Happ OF Jake McCarthy OF Pete Crow-Armstrong P Matthew Boyd P Cade Povich SS Masyn Winn,,Angel Genao,2B,16.16%,4
12,5213400506,Raiderfanatic2195 (6/8),0,149.95,1B Pete Alonso 2B JJ Wetherholt 3B Coby Mayo C Ivan Herrera OF Bryan Torres OF Dylan Beavers OF Nathan Church P Joey Cantillo P Jacob Misiorowski SS Masyn Winn,,Alec Burleson,1B,16.16%,18
13,5213480949,Emac (1/8),0,148.95,1B Pete Alonso 2B Jackson Holliday 3B Nick Loftin C Ivan Herrera OF Colton Cowser OF Dylan Beavers OF Wyatt Langford P Joey Cantillo P Jacob Misiorowski SS Gunnar Henderson,,Michael Busch,1B,15.82%,15
14,5213487912,Emac (6/8),0,148.55,1B Pete Alonso 2B Jackson Holliday 3B Jose Ramirez C Patrick Bailey OF Steven Kwan OF Chase DeLauter OF Dylan Beavers P Connor Prielipp P Jacob Misiorowski SS Gunnar Henderson,,Jackson Holliday,2B,15.82%,17
15,5213454578,Dhawkins270,0,147.45,1B Michael Busch 2B Nico Hoerner 3B Coby Mayo C Miguel Amaya OF Starling Marte OF Michael Conforto OF Pete Crow-Armstrong P Matthew Boyd P Jacob Misiorowski SS Tyler Tolbert,,JJ Wetherholt,2B,15.82%,20
16,5213415056,jdcatman,0,142.7,1B Alec Burleson 2B Nico Hoerner 3B Jose Ramirez C Miguel Amaya OF Tyrone Taylor OF Ian Happ OF Pete Crow-Armstrong P Matthew Boyd P Michael McGreevy SS Ezequiel Duran,,Kyle Karros,3B,15.49%,3
17,5213479414,Mangey4232 (1/2),0,142.25,1B Alec Burleson 2B Nico Hoerner 3B Coby Mayo C Gary Sanchez OF Ian Happ OF Nathan Church OF Wyatt Langford P Jacob Misiorowski P Michael McGreevy SS Masyn Winn,,Andrew Vaughn,1B,15.15%,0
18,5213487159,dolan21,0,141.85,1B Alec Burleson 2B Nico Hoerner 3B Alex Bregman C Miguel Amaya OF Randal Grichuk OF Tyrone Taylor OF Ian Happ P Kumar Rocker P Jacob Misiorowski SS Gunnar Henderson,,Jordan Walker,OF,15.15%,8
19,5213489746,Choker12 (2/2),0,141.45,1B Michael Busch 2B Nico Hoerner 3B Alex Bregman C Carlos Narvaez OF Tyler O'Neill OF Pete Crow-Armstrong OF Colton Cowser P Matthew Boyd P Jacob Misiorowski SS Ezequiel Tovar,,Joey Cantillo,P,14.81%,4.45
20,5213476631,mbosse1970 (2/2),0,140.45,1B Michael Busch 2B Nico Hoerner 3B David Hamilton C Brett Sullivan OF Michael Conforto OF Jordan Walker OF Braden Montgomery P Matthew Boyd P Jacob Misiorowski SS Jackson Holliday,,Jackson Chourio,OF,14.81%,18
