Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5217271302,DodgeStratus,0,196.85,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF JJ Bleday OF Brenton Doyle OF Randal Grichuk P Logan Gilbert P Braxton Ashcraft SS Elly De La Cruz,,Max Fried,P,59.57%,13.05
2,5217230409,mikekahn87,0,174.2,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF Wilyer Abreu OF Masataka Yoshida OF Randal Grichuk P Parker Messick P Max Fried SS Elly De La Cruz,,Wilyer Abreu,OF,37.59%,11
3,5217264080,PLATEDADDY,0,164.4,1B Michael Busch 2B Chase Meidroth 3B Caleb Durbin C Tyler Stephenson OF Pete Crow-Armstrong OF Ian Happ OF Chase DeLauter P Max Fried P Braxton Ashcraft SS Jacob Gonzalez,,Payton Tolle,P,36.52%,27.6
4,5217085233,WpgJet204,0,162.5,1B Sal Stewart 2B Ernie Clement 3B Eugenio Suarez C Tyler Stephenson OF JJ Bleday OF Jarren Duran OF Masataka Yoshida P Parker Messick P Braxton Ashcraft SS Elly De La Cruz,,Chase Meidroth,2B,32.62%,20
5,5217231432,nickmoran,0,161.25,1B Sal Stewart 2B Chase Meidroth 3B Angel Genao C Tyler Stephenson OF JJ Bleday OF Ceddanne Rafaela OF Chase DeLauter P Max Fried P Cade Cavalli SS Elly De La Cruz,,Miguel Vargas,3B,31.56%,0
6,5217265886,monroeatc,0,156.85,1B Spencer Horwitz 2B Brandon Lowe 3B Nick Gonzales C Tyler Stephenson OF Pete Crow-Armstrong OF Esmerlyn Valdez OF Hector Rodriguez P Logan Gilbert P Braxton Ashcraft SS Jared Triolo,,Logan Gilbert,P,28.37%,28.5
7,5216879655,westy1322,0,156.55,1B Willson Contreras 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF Wilyer Abreu OF Ceddanne Rafaela OF Randal Grichuk P Logan Gilbert P Max Fried SS Colson Montgomery,,Parker Messick,P,27.66%,17.15
8,5217132559,rybutts13,0,156.45,1B Sal Stewart 2B Chase Meidroth 3B Miguel Vargas C Tyler Stephenson OF JJ Bleday OF Randal Grichuk OF Dane Myers P Payton Tolle P Keider Montero SS Elly De La Cruz,,Pete Crow-Armstrong,OF,27.30%,0
9,5217136445,flatliners2134,0,155.85,1B Spencer Horwitz 2B Brandon Lowe 3B Caleb Durbin C Connor Wong OF Wilyer Abreu OF Bryan Reynolds OF Esmerlyn Valdez P Logan Gilbert P Braxton Ashcraft SS Jacob Gonzalez,,Elly De La Cruz,SS,25.89%,7
10,5217288789,eharig09,0,153.85,1B Willson Contreras 2B Chase Meidroth 3B Miguel Vargas C Tyler Stephenson OF Wilyer Abreu OF Brenton Doyle OF Masataka Yoshida P Logan Gilbert P Braxton Ashcraft SS Andruw Monasterio,,Tyler Stephenson,C,24.11%,27
