Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5217302436,srohde001 (9/20),0,211.4,1B Sal Stewart 2B Brandon Lowe 3B Eugenio Suarez C Rafael Flores Jr. OF Bryan Reynolds OF Trent Grisham OF Jake Mangum P Max Fried P Braxton Ashcraft SS Jared Triolo,,Max Fried,P,43.30%,13.05
2,5217296623,SilversurferVII (20/20),0,204.4,1B Abimelec Ortiz 2B Brandon Lowe 3B Jared Triolo C Rafael Flores Jr. OF Dylan Crews OF Esmerlyn Valdez OF Daylen Lile P Max Fried P Braxton Ashcraft SS Jacob Gonzalez,,Logan Gilbert,P,35.28%,28.5
3,5217252991,jnwallen (5/10),0,193.8,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF JJ Bleday OF Braden Montgomery OF Randal Grichuk P Payton Tolle P Cade Cavalli SS Colson Montgomery,,Pete Crow-Armstrong,OF,32.93%,0
4,5217325675,jeffmorris007 (4/20),0,191.85,1B Spencer Horwitz 2B Brandon Lowe 3B Jared Triolo C Rafael Flores Jr. OF Julio Rodriguez OF Jake Mangum OF Dane Myers P Logan Gilbert P Braxton Ashcraft SS CJ Abrams,,Payton Tolle,P,31.83%,27.6
5,5217358354,mb725016 (14/20),0,189.85,1B Sal Stewart 2B Gleyber Torres 3B Caleb Durbin C Tyler Stephenson OF JJ Bleday OF Masataka Yoshida OF Dane Myers P Logan Gilbert P Braxton Ashcraft SS Elly De La Cruz,,Parker Messick,P,25.76%,17.15
6,5217306777,ThrillerT (4/5),0,188.95,1B Nathaniel Lowe 2B Chase Meidroth 3B Nick Gonzales C Rafael Flores Jr. OF Wilyer Abreu OF JJ Bleday OF Esmerlyn Valdez P Payton Tolle P Braxton Ashcraft SS Jared Triolo,,Wilyer Abreu,OF,24.08%,11
7,5217365119,rhallgonnaball (1/6),0,188.85,1B Sal Stewart 2B Chase Meidroth 3B Ke'Bryan Hayes C Tyler Stephenson OF JJ Bleday OF Ceddanne Rafaela OF Randal Grichuk P Logan Gilbert P Braxton Ashcraft SS Elly De La Cruz,,Elly De La Cruz,SS,24.08%,7
8,5217252995,jnwallen (9/10),0,188.8,1B Sal Stewart 2B Chase Meidroth 3B Miguel Vargas C Tyler Stephenson OF Braden Montgomery OF Randal Grichuk OF Dane Myers P Payton Tolle P Cade Cavalli SS Elly De La Cruz,,Chase Meidroth,2B,23.38%,20
9,5217308657,ChokeHoldem1 (7/20),0,188.4,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF JJ Bleday OF Braden Montgomery OF Randal Grichuk P Max Fried P Braxton Ashcraft SS Elly De La Cruz,,Braxton Ashcraft,P,22.16%,42.35
10,5217323016,jrancor22 (5/20),0,187.85,1B Spencer Horwitz 2B Brandon Lowe 3B Miguel Vargas C Rafael Flores Jr. OF Randy Arozarena OF Chase DeLauter OF Jake Mangum P Logan Gilbert P Braxton Ashcraft SS Jared Triolo,,Masataka Yoshida,OF,21.06%,12
11,5217288991,ManCity35 (1/8),0,187.8,1B Sal Stewart 2B Nick Sogard 3B Caleb Durbin C Tyler Stephenson OF Wilyer Abreu OF Jarren Duran OF Masataka Yoshida P Payton Tolle P Cade Cavalli SS Elly De La Cruz,,Miguel Vargas,3B,20.56%,0
12,5217252992,jnwallen (6/10),0,186.8,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF JJ Bleday OF Brenton Doyle OF Randal Grichuk P Payton Tolle P Cade Cavalli SS Colson Montgomery,,Kevin Gausman,P,17.89%,7.7
13,5217323022,jrancor22 (11/20),0,186.4,1B Spencer Horwitz 2B Brandon Lowe 3B Caleb Durbin C Rafael Flores Jr. OF Pete Crow-Armstrong OF Jake Mangum OF Jarren Duran P Max Fried P Braxton Ashcraft SS Jared Triolo,,Tyler Stephenson,C,17.42%,27
