Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5211896834,A.Burgos930 (16/20),0,198.6,1B TJ Rumfield 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Max Clark P Gavin Williams P Jacob deGrom SS Javier Baez,,Gavin Williams,P,44.09%,19.75
2,5212285130,FunkyKong (15/20),0,193.25,1B Jac Caglianone 2B Jake Cronenworth 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Riley Greene P Jacob deGrom P Casey Legumina SS Ezequiel Tovar,,Jacob deGrom,P,38.57%,28.85
3,5211700155,Sammy.Boy (2/20),0,192.6,1B Royce Lewis 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Austin Martin P Gavin Williams P Jacob deGrom SS Kaelen Culpepper,,Pete Crow-Armstrong,OF,24.76%,4
4,5211993041,cmalas (12/20),0,191.1,1B Rhys Hoskins 2B Brice Turang 3B Kyle Karros C Hunter Goodman OF Jake Bauers OF Jake McCarthy OF Cole Carrigg P Gavin Williams P Kyle Freeland SS Jackson Holliday,,Michael Busch,1B,22.99%,3
5,5212040713,statedogg (15/20),0,185.85,1B Rhys Hoskins 2B Jackson Holliday 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Gavin Williams P Michael King SS Gunnar Henderson,,Matthew Liberatore,P,22.91%,0.05
6,5211940871,wendell123456789 (5/10),0,185.65,1B Jac Caglianone 2B Tyler Freeman 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Kyle Isbel P Jacob deGrom P Landen Roupp SS Bobby Witt Jr.,,Ivan Herrera,C,22.79%,19
7,5211944928,ewingoakley (13/20),0,185.3,1B Josh Bell 2B Jake Cronenworth 3B Kyle Karros C Ivan Herrera OF Jordan Walker OF Jake McCarthy OF Cole Carrigg P Jacob deGrom P Taj Bradley SS Masyn Winn,,Jo Adell,OF,20.35%,5
8,5212244822,cardog24,0,184.75,1B Shohei Ohtani 2B Royce Lewis 3B Blaze Jordan C Ivan Herrera OF Jordan Walker OF Jake McCarthy OF Jose Fermin P Jacob deGrom P Seth Lugo SS Masyn Winn,,Alex Bregman,3B,18.05%,2
9,5212032490,jnwallen (1/20),0,184.7,1B Jac Caglianone 2B Willi Castro 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF John Rave P Kyle Bradish P Landen Roupp SS Bobby Witt Jr.,,Carson Kelly,C,17.46%,9
10,5212177745,24jack (1/20),0,181.75,1B Alec Burleson 2B JJ Wetherholt 3B Kyle Karros C Ivan Herrera OF Jake McCarthy OF Cole Carrigg OF Jose Fermin P Jacob deGrom P Robert Gasser SS Ezequiel Tovar,,Ian Happ,OF,15.98%,19
11,5212186108,csurunnerccr (16/20),0,181.65,1B TJ Rumfield 2B Michael Massey 3B Kyle Karros C Ivan Herrera OF Jordan Walker OF Jake McCarthy OF Cole Carrigg P Gavin Williams P Kyle Bradish SS Ezequiel Tovar,,Nico Hoerner,2B,15.59%,5
12,5211759499,nlowejr (9/20),0,181.6,1B TJ Rumfield 2B Willi Castro 3B Kyle Karros C Ivan Herrera OF Jake McCarthy OF Cole Carrigg OF Jo Adell P Gavin Williams P Jacob deGrom SS Kaelen Culpepper,,Dansby Swanson,SS,15.27%,0
13,5212280654,blooketmane (12/20),0,181.55,1B Shohei Ohtani 2B Tyler Freeman 3B Kyle Karros C Ivan Herrera OF Jordan Walker OF Jake McCarthy OF Cole Carrigg P Jacob deGrom P Anthony Kay SS Ezequiel Tovar,,Seiya Suzuki,OF,14.77%,0
14,5212053247,ceebajay (17/20),0,179.95,1B TJ Rumfield 2B Gleyber Torres 3B Kyle Karros C Dillon Dingler OF Jake McCarthy OF Max Clark OF Zach McKinstry P Jacob deGrom P Michael King SS Kevin McGonigle,,Jordan Walker,OF,13.99%,14
15,5212269535,slpendy (9/20),0,179.6,1B Rhys Hoskins 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Angel Martinez OF Jo Adell P Gavin Williams P Jacob deGrom SS Brayan Rocchio,,Shohei Ohtani,OF,13.56%,5
16,5211821298,TheChamp74 (12/20),0,178.95,1B Rafael Devers 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Jacob deGrom P Michael King SS Bobby Witt Jr.,,Tyrone Taylor,OF,13.04%,5
17,5212192650,rdixon13 (6/20),0,178.6,1B Joc Pederson 2B Royce Lewis 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Zach McKinstry P Gavin Williams P Jacob deGrom SS Kaelen Culpepper,,Blaze Jordan,3B,13.00%,3
18,5212308848,mustafael (6/20),0,176.6,1B TJ Rumfield 2B Angel Genao 3B Kyle Karros C Nick Fortes OF Jake McCarthy OF Cole Carrigg OF Jo Adell P Gavin Williams P Jacob deGrom SS Brayan Rocchio,,Angel Genao,2B,12.90%,19
19,5212398955,KILLANADZ24 (3/20),0,175.8,1B Jac Caglianone 2B Willi Castro 3B Kyle Karros C Carter Jensen OF Jake McCarthy OF Cole Carrigg OF John Rave P Robert Gasser P Kyle Bradish SS Bobby Witt Jr.,,Kyle Bradish,P,12.50%,15.9
20,5212297515,monkey520 (5/8),0,175.25,1B Shohei Ohtani 2B Royce Lewis 3B Kyle Karros C Ivan Herrera OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Jacob deGrom P Casey Legumina SS Ezequiel Tovar,,Kyle Tucker,OF,12.13%,16
21,5212177574,wh0red0zer9 (16/16),0,174.85,1B TJ Rumfield 2B Nico Hoerner 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Taylor Trammell P Gavin Williams P Michael King SS Masyn Winn,,Masyn Winn,SS,11.99%,5
22,5212282022,yazsarmy (14/20),0,174.6,1B TJ Rumfield 2B Tyler Freeman 3B Blaze Jordan C Ivan Herrera OF Jordan Walker OF Jake McCarthy OF Jose Fermin P Gavin Williams P Jacob deGrom SS Masyn Winn,,Yoshinobu Yamamoto,P,11.64%,20.55
23,5212040700,statedogg (2/20),0,174,1B TJ Rumfield 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Shohei Ohtani OF Jake McCarthy OF Cole Carrigg P Kyle Bradish P Michael King SS Colson Montgomery,,Mookie Betts,SS,10.80%,2
24,5212292440,TheFH (9/20),0,173.95,1B Joc Pederson 2B Nicky Lopez 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Wyatt Langford OF Cole Carrigg P Jacob deGrom P Michael King SS Corey Seager,,Max Muncy,3B,10.55%,2
25,5212210424,cashmoneymob420 (2/3),0,173.8,1B TJ Rumfield 2B Jake Cronenworth 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Kyle Tucker P Gavin Williams P Jackson Jobe SS Mookie Betts,,Kyle Karros,3B,9.79%,18
26,5212282018,yazsarmy (10/20),0,173.6,1B TJ Rumfield 2B Jake Cronenworth 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Teoscar Hernandez P Gavin Williams P Jacob deGrom SS Kaelen Culpepper,,Casey Legumina,P,9.72%,4.4
27,5211876581,whoisjohngalt420 (8/20),0,173.3,1B Josh Bell 2B Royce Lewis 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Austin Martin P Jacob deGrom P Taj Bradley SS Kaelen Culpepper,,Shohei Ohtani,1B,9.49%,5
28,5212282195,JornViggo (4/5),0,172.75,1B Joc Pederson 2B Royce Lewis 3B Kyle Karros C Hunter Goodman OF Shohei Ohtani OF Jake McCarthy OF Cole Carrigg P Jacob deGrom P Seth Lugo SS Kaelen Culpepper,,Hunter Feduccia,C,8.80%,5
29,5212146685,Wanna_Square_Up1567 (12/20),0,172.65,1B Rhys Hoskins 2B Cole Young 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jo Adell P Jacob deGrom P Landen Roupp SS Ezequiel Tovar,,Andy Pages,OF,8.41%,13
30,5211790591,Anthonykorobellis (1/20),0,172.6,1B Bryce Eldridge 2B Royce Lewis 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Gavin Williams P Jacob deGrom SS Kaelen Culpepper,,Kaelen Culpepper,SS,8.38%,8
30,5211896823,A.Burgos930 (5/20),0,172.6,1B Josh Bell 2B Royce Lewis 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Gavin Williams P Jacob deGrom SS Eddys Leonard,,Royce Lewis,2B,8.33%,17
32,5211966613,sbslaughter (12/20),0,172.2,1B Rhys Hoskins 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jo Adell P Gavin Williams P Peter Lambert SS Brayan Rocchio,,Bobby Witt Jr.,SS,8.24%,7
33,5212320396,kbpeters32 (15/20),0,171.65,1B TJ Rumfield 2B Royce Lewis 3B Kyle Karros C Ryan Jeffers OF Jake McCarthy OF Cole Carrigg OF Austin Martin P Gavin Williams P Kyle Bradish SS Ezequiel Tovar,,JJ Wetherholt,2B,8.07%,3
34,5211758949,tbjones2121 (12/20),0,171.6,1B Rhys Hoskins 2B Travis Bazzana 3B Kyle Karros C Austin Hedges OF Jake McCarthy OF Cole Carrigg OF Jo Adell P Gavin Williams P Jacob deGrom SS Brayan Rocchio,,Hunter Goodman,C,7.86%,5
34,5211989645,rsumrall (7/20),0,171.6,1B Joc Pederson 2B JJ Wetherholt 3B Kyle Karros C Ivan Herrera OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Gavin Williams P Jacob deGrom SS Ezequiel Tovar,,Michael King,P,7.74%,25.1
34,5212150526,caldwelltylerusng94 (1/20),0,171.6,1B Joc Pederson 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Gavin Williams P Jacob deGrom SS Ezequiel Duran,,Teoscar Hernandez,OF,7.59%,3
34,5212150538,caldwelltylerusng94 (13/20),0,171.6,1B Jac Caglianone 2B Tyler Freeman 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Isaac Collins OF Jordan Beck P Gavin Williams P Jacob deGrom SS Mookie Betts,,Jake Cronenworth,2B,7.55%,8
38,5212050089,neuens7 (15/20),0,171.2,1B Josh Naylor 2B Tyler Freeman 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Austin Martin P Yoshinobu Yamamoto P George Kirby SS Ryan Kreidler,,Taj Bradley,P,7.33%,14.45
39,5212362167,RuthlessVillain (3/3),0,170.95,1B Joc Pederson 2B Willi Castro 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jac Caglianone P Yoshinobu Yamamoto P Casey Legumina SS Kaelen Culpepper,,Anthony Kay,P,7.32%,16.7
40,5212389020,cwthrow24 (16/20),0,170.75,1B Jake Bauers 2B Brice Turang 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Jacob deGrom P Seth Lugo SS Cooper Pratt,,Freddie Freeman,1B,7.10%,0
41,5211932943,drunkonpappy (13/20),0,170.6,1B Rhys Hoskins 2B Tyler Freeman 3B Kyle Karros C Ivan Herrera OF Pete Crow-Armstrong OF Jake McCarthy OF Jordan Beck P Gavin Williams P Jacob deGrom SS Ezequiel Tovar,,Steven Kwan,OF,6.85%,3
42,5211882403,TwoHearted (15/20),0,169.6,1B Jake Burger 2B Willi Castro 3B Kyle Karros C Austin Wynns OF Jake McCarthy OF Cole Carrigg OF Brandon Nimmo P Gavin Williams P Jacob deGrom SS Corey Seager,,Brice Turang,2B,6.78%,22
42,5212114591,mattmoss12 (5/20),0,169.6,1B Royce Lewis 2B Tyler Freeman 3B Kyle Karros C Ryan Jeffers OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Gavin Williams P Jacob deGrom SS Ryan Kreidler,,Griffin Jax,P,6.54%,0
42,5212144133,bryanbigbets (6/20),0,169.6,1B Josh Bell 2B Royce Lewis 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Jordan Beck P Gavin Williams P Jacob deGrom SS Joey Ortiz,,Isaac Collins,OF,6.32%,3
45,5211927294,HahamHanukah (1/20),0,169.2,1B TJ Rumfield 2B Royce Lewis 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Austin Martin P Gavin Williams P Taj Bradley SS Kaelen Culpepper,,George Kirby,P,6.24%,9.65
46,5212114587,mattmoss12 (1/20),0,168.6,1B TJ Rumfield 2B Nico Hoerner 3B Kyle Karros C Carson Kelly OF Jake McCarthy OF Cole Carrigg OF Tyrone Taylor P Gavin Williams P Jacob deGrom SS Dansby Swanson,,Cole Carrigg,OF,6.12%,23
46,5212320384,kbpeters32 (3/20),0,168.6,1B Royce Lewis 2B Angel Genao 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Jo Adell OF Steven Kwan P Gavin Williams P Jacob deGrom SS Brayan Rocchio,,Rhys Hoskins,1B,6.12%,21
