Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5214543690,AaronCosta,0,175.6,1B Josh Bell 2B Royce Lewis 3B Bryson Stott C Ryan Jeffers OF Wilyer Abreu OF Luke Keaschall OF Austin Martin P Tarik Skubal P Dean Kremer SS Francisco Lindor,,Tarik Skubal,P,59.79%,13.05
2,5214456960,supremexjp,0,162.6,1B Yandy Diaz 2B Jeff McNeil 3B Junior Caminero C Hunter Feduccia OF Jonny DeLuca OF Chandler Simpson OF Lawrence Butler P Tarik Skubal P Dean Kremer SS Taylor Walls,,Ivan Herrera,C,24.63%,14
3,5214497595,berzaj23,0,152.45,1B Yandy Diaz 2B Royce Lewis 3B Brooks Lee C Ryan Jeffers OF Ryan Vilade OF Luke Keaschall OF Austin Martin P Tarik Skubal P MacKenzie Gore SS Carson Williams,,Junior Caminero,3B,24.42%,18
4,5214580489,opbabored,0,150.85,1B Alec Burleson 2B Jackson Holliday 3B Bo Bichette C Ivan Herrera OF Carson Benge OF Jose Fermin OF Brett Baty P Logan Henderson P Trevor Rogers SS Francisco Lindor,,Reid Detmers,P,23.16%,19.3
5,5214533516,mackman1995,0,148.85,1B Yandy Diaz 2B Ketel Marte 3B Junior Caminero C Elias Diaz OF Corbin Carroll OF Chandler Simpson OF Ryan Vilade P Freddy Peralta P Dean Kremer SS Geraldo Perdomo,,Wilyer Abreu,OF,22.53%,2
6,5214493248,philjay82,0,148.5,1B Jared Young 2B Ozzie Albies 3B Nolan Arenado C Gabriel Moreno OF Shohei Ohtani OF Michael Harris II OF A.J. Ewing P Trevor Rogers P Freddy Peralta SS Francisco Lindor,,Tyler O'Neill,OF,20.21%,0
7,5214568214,bhess777,0,148.35,1B Jared Young 2B Marcus Semien 3B Yandy Diaz C Francisco Alvarez OF A.J. Ewing OF Ryan Vilade OF Austin Martin P Tarik Skubal P Casey Mize SS Francisco Lindor,,MacKenzie Gore,P,18.95%,24.4
8,5214482854,Daddy-Dango,0,144,1B Yandy Diaz 2B Jackson Holliday 3B Junior Caminero C Gabriel Moreno OF Chandler Simpson OF Max Kepler OF Ryan Waldschmidt P MacKenzie Gore P Christian Scott SS Taylor Walls,,Jackson Holliday,2B,17.26%,8
9,5214526107,frquis,0,143.6,1B Yandy Diaz 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Lawrence Butler OF Carlos Cortes OF Lars Nootbaar P MacKenzie Gore P Trevor Rogers SS Jacob Wilson,,Yandy Diaz,1B,16.21%,26
10,5214597136,ryanjagnew19761,0,142.7,1B Jeff McNeil 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF Jake McCarthy OF Brett Bateman P Reid Detmers P MacKenzie Gore SS Geraldo Perdomo,,Caleb Durbin,3B,16.00%,0
11,5214598614,NYGFan56,0,141.6,1B Yandy Diaz 2B Jeff McNeil 3B Junior Caminero C Jonah Heim OF Chandler Simpson OF Lawrence Butler OF Ryan Vilade P Tarik Skubal P Dean Kremer SS Taylor Walls,,Logan Henderson,P,15.16%,18.65
12,5214551681,az350z,0,140.6,1B Jared Young 2B Jose Altuve 3B Bo Bichette C Francisco Alvarez OF Yordan Alvarez OF Carson Benge OF Cam Smith P Tarik Skubal P Dean Kremer SS Francisco Lindor,,Masataka Yoshida,OF,15.16%,4
13,5214460755,gilbertformvp,0,137.7,1B Yandy Diaz 2B Carson Williams 3B Junior Caminero C Ivan Herrera OF Jonny DeLuca OF Lawrence Butler OF Ryan Vilade P Reid Detmers P MacKenzie Gore SS Jackson Holliday,,Jackson Holliday,SS,14.32%,8
14,5214493871,one-eyedBelle,0,136.85,1B Yandy Diaz 2B Carson Williams 3B Junior Caminero C Drake Baldwin OF Tyler Soderstrom OF Lawrence Butler OF Ryan Vilade P Reid Detmers P Dean Kremer SS Jacob Wilson,,Trevor Rogers,P,14.11%,8.2
15,5214517422,MoneyCometh2MeNow,0,136.1,1B Jonathan Aranda 2B Carson Williams 3B Yandy Diaz C Nick Fortes OF Chandler Simpson OF Carlos Cortes OF Zack Gelof P Sonny Gray P MacKenzie Gore SS Jacob Wilson,,Sonny Gray,P,13.68%,12.7
16,5214463449,jst2408,0,134.85,1B Yandy Diaz 2B Carson Williams 3B Junior Caminero C Ivan Herrera OF Shohei Ohtani OF Andy Pages OF Ryan Vilade P Reid Detmers P Dean Kremer SS Kaelen Culpepper,,Kaelen Culpepper,SS,13.26%,2
17,5214509220,sasmallen,0,134.35,1B Yandy Diaz 2B Jeff McNeil 3B Junior Caminero C Carlos Narvaez OF Tyler Soderstrom OF Tyler O'Neill OF Brett Bateman P Tarik Skubal P Reid Detmers SS Francisco Lindor,,Ryan Vilade,OF,13.26%,4
