Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5209257422,ATR27 (2/2),0,171.65,1B Tim Tawa 2B Nick Sogard 3B Miguel Vargas C Gabriel Moreno OF Corbin Carroll OF Wilyer Abreu OF Lars Nootbaar P Kyle Harrison P Noah Cameron SS Bobby Witt Jr.,,Paul Skenes,P,37.91%,13.65
2,5208857027,Thegoldcobra (9/20),0,161.5,1B Andrew Vaughn 2B JJ Wetherholt 3B David Hamilton C William Contreras OF Fernando Tatis Jr. OF Christian Yelich OF Julio Rodriguez P Sonny Gray P Noah Cameron SS Cooper Pratt,,Bryan Woo,P,36.97%,25.55
3,5209080264,JLong456 (8/20),0,160.95,1B Willson Contreras 2B Nick Sogard 3B Caleb Durbin C Dillon Dingler OF Wilyer Abreu OF Heriberto Hernandez OF Tim Tawa P Sonny Gray P Kyle Harrison SS Andruw Monasterio,,Kyle Harrison,P,36.87%,34.05
4,5209062408,HahamHanukah (14/20),0,160.6,1B Alec Burleson 2B JJ Wetherholt 3B Blaze Jordan C William Contreras OF Corbin Carroll OF Lars Nootbaar OF Tim Tawa P Bryan Woo P Kyle Harrison SS Geraldo Perdomo,,Bobby Witt Jr.,SS,25.53%,2
5,5209177048,jsamtoy (16/20),0,159.65,1B Andrew Vaughn 2B Brice Turang 3B Miguel Vargas C William Contreras OF Jackson Chourio OF Julio Rodriguez OF Garrett Mitchell P Kyle Harrison P Noah Cameron SS Colt Emerson,,Noah Cameron,P,22.94%,35.6
6,5209307171,fatboy788 (14/20),0,158.9,1B Tim Tawa 2B Ildemaro Vargas 3B Brendan Donovan C Gabriel Moreno OF Corbin Carroll OF Julio Rodriguez OF Lars Nootbaar P Kyle Harrison P Eury Perez SS Kevin McGonigle,,Manny Machado,3B,21.90%,2
7,5209367638,PhatStarr (13/20),0,155.65,1B Alec Burleson 2B JJ Wetherholt 3B Jose Fermin C Ivan Herrera OF Wilyer Abreu OF Julio Rodriguez OF Nathan Church P Kyle Harrison P Noah Cameron SS Bobby Witt Jr.,,Fernando Tatis Jr.,OF,20.84%,14
8,5209270978,rills (10/20),0,155.6,1B Josh Naylor 2B Ildemaro Vargas 3B Manny Machado C Cal Raleigh OF Randy Arozarena OF Julio Rodriguez OF Tim Tawa P Bryan Woo P Kyle Harrison SS Colt Emerson,,Sean Burke,P,18.08%,9.55
9,5208887230,dwilliamsmma (1/2),0,154.6,1B Tim Tawa 2B Cole Young 3B Caleb Durbin C Gabriel Moreno OF Corbin Carroll OF Julio Rodriguez OF Lars Nootbaar P Bryan Woo P Kyle Harrison SS Geraldo Perdomo,,Otto Lopez,SS,15.88%,0
10,5209323658,woodreb5 (2/20),0,153.65,1B Andrew Vaughn 2B Brice Turang 3B Austin Riley C William Contreras OF Ceddanne Rafaela OF Garrett Mitchell OF Jarren Duran P Kyle Harrison P Noah Cameron SS Andruw Monasterio,,Royce Lewis,2B,13.94%,3
11,5208988652,GameOnLetsGo (3/20),0,150.65,1B Munetaka Murakami 2B Gleyber Torres 3B Caleb Durbin C Gabriel Moreno OF Corbin Carroll OF Lars Nootbaar OF Tim Tawa P Kyle Harrison P Noah Cameron SS Geraldo Perdomo,,George Lombard Jr.,SS,13.64%,3
12,5208948823,MiamiSKC (17/20),0,150.6,1B Alec Burleson 2B JJ Wetherholt 3B Caleb Durbin C Ivan Herrera OF Wilyer Abreu OF Jarren Duran OF Nathan Church P Bryan Woo P Kyle Harrison SS Andruw Monasterio,,Austin Martin,OF,13.32%,2
13,5208835912,kreller17 (1/20),0,149.6,1B Josh Naylor 2B Ildemaro Vargas 3B Brendan Donovan C Gabriel Moreno OF Julio Rodriguez OF Dominic Canzone OF Tim Tawa P Bryan Woo P Kyle Harrison SS Geraldo Perdomo,,Kyle Stowers,1B,13.25%,0
13,5208959634,Mucci193 (18/20),0,149.6,1B Josh Naylor 2B Ildemaro Vargas 3B Brendan Donovan C Gabriel Moreno OF Corbin Carroll OF Julio Rodriguez OF Lars Nootbaar P Bryan Woo P Kyle Harrison SS Geraldo Perdomo,,Jazz Chisholm Jr.,2B,13.00%,6
13,5209036598,nlowejr (16/20),0,149.6,1B Josh Bell 2B Ildemaro Vargas 3B Caleb Durbin C Ryan Jeffers OF Corbin Carroll OF Lars Nootbaar OF Tim Tawa P Bryan Woo P Kyle Harrison SS Geraldo Perdomo,,Ceddanne Rafaela,OF,12.95%,2
16,5208714096,colbyhornet (9/20),0,148.65,1B Munetaka Murakami 2B Michael Massey 3B Miguel Vargas C Drew Romo OF Wilyer Abreu OF Sam Antonacci OF Jarren Duran P Kyle Harrison P Noah Cameron SS Colson Montgomery,,Trent Grisham,OF,12.94%,0
