Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5217342774,theelderlee,0,189.95,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF Julio Rodriguez OF Steven Kwan OF Dane Myers P Payton Tolle P Braxton Ashcraft SS Elly De La Cruz,,Max Fried,P,55.62%,13.05
2,5217273915,DrNickIsIn,0,187.8,1B Ben Rice 2B Sam Antonacci 3B Caleb Durbin C Rafael Flores Jr. OF Wilyer Abreu OF JJ Bleday OF Jake Mangum P Payton Tolle P Cade Cavalli SS Luisangel Acuna,,Wilyer Abreu,OF,36.80%,11
3,5217334537,jmays1202,0,174.05,1B Sal Stewart 2B Nick Sogard 3B Eugenio Suarez C Tyler Stephenson OF Wilyer Abreu OF Ceddanne Rafaela OF Masataka Yoshida P Braxton Ashcraft P Kevin Gausman SS Elly De La Cruz,,Pete Crow-Armstrong,OF,33.99%,0
4,5217312856,impeccablycomingup,0,168.65,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF Wilyer Abreu OF Masataka Yoshida OF Hector Rodriguez P Payton Tolle P Max Fried SS Elly De La Cruz,,Payton Tolle,P,33.15%,27.6
5,5217354298,SnowGoon99,0,167.55,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Tyler Stephenson OF JJ Bleday OF Brenton Doyle OF Randal Grichuk P Logan Gilbert P Max Fried SS Elly De La Cruz,,Chase Meidroth,2B,29.78%,20
6,5217359963,krisnegus,0,163.95,1B Sal Stewart 2B Nick Sogard 3B Caleb Durbin C Connor Wong OF Wilyer Abreu OF Trent Grisham OF Masataka Yoshida P Payton Tolle P Braxton Ashcraft SS Elly De La Cruz,,Parker Messick,P,29.49%,17.15
7,5217358929,mathyewjoeza,0,159.85,1B Spencer Horwitz 2B Brandon Lowe 3B Hao-Yu Lee C Eduardo Valencia OF Bryan Reynolds OF Julio Rodriguez OF Jake Mangum P Logan Gilbert P Braxton Ashcraft SS Jared Triolo,,Logan Gilbert,P,28.09%,28.5
8,5217349180,joses2,0,157.65,1B Sal Stewart 2B Chase Meidroth 3B Eugenio Suarez C Connor Wong OF Wilyer Abreu OF Masataka Yoshida OF Randal Grichuk P Payton Tolle P Max Fried SS Elly De La Cruz,,Miguel Vargas,3B,21.63%,0
9,5217356544,jbenne03,0,156.8,1B Abimelec Ortiz 2B Jorbit Vivas 3B Angel Genao C Eduardo Valencia OF Wilyer Abreu OF Dylan Crews OF Daylen Lile P Payton Tolle P Cade Cavalli SS CJ Abrams,,Elly De La Cruz,SS,21.63%,7
10,5217362801,pickledeez,0,156.75,1B Sal Stewart 2B Nick Sogard 3B Eugenio Suarez C Tyler Stephenson OF Wilyer Abreu OF Masataka Yoshida OF Hector Rodriguez P Payton Tolle P Parker Messick SS Elly De La Cruz,,Braxton Ashcraft,P,20.79%,42.35
