Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5214729460,IBGOOD,0,165.7,1B Jonathan Aranda 2B Jeff McNeil 3B Yandy Diaz C Gabriel Moreno OF Jake McCarthy OF Jung Hoo Lee OF Cam Smith P MacKenzie Gore P Reid Detmers SS Geraldo Perdomo,,Tarik Skubal,P,68.20%,13.05
2,5214486878,jeffylube (16/20),0,162.7,1B Yandy Diaz 2B Jeff McNeil 3B Junior Caminero C Nick Fortes OF Jonny DeLuca OF Tyler Soderstrom OF Cam Smith P MacKenzie Gore P Reid Detmers SS Carson Williams,,MacKenzie Gore,P,33.28%,24.4
3,5214755990,BadMOFO55 (2/2),0,161.7,1B Yandy Diaz 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Lars Nootbaar OF Corbin Carroll OF Drew Gilbert P MacKenzie Gore P Reid Detmers SS Carson Williams,,Reid Detmers,P,31.29%,19.3
4,5214137691,jaakko (5/6),0,157.7,1B Yandy Diaz 2B Jeff McNeil 3B Junior Caminero C Christian Vazquez OF Jonny DeLuca OF Zack Gelof OF Tyler Soderstrom P MacKenzie Gore P Reid Detmers SS Carson Williams,,Junior Caminero,3B,23.25%,18
5,5214385414,Dubbzz (12/20),0,155.70001,1B Yandy Diaz 2B Carson Williams 3B Junior Caminero C Elias Diaz OF Shohei Ohtani OF Jonny DeLuca OF Chandler Simpson P Freddy Peralta P MacKenzie Gore SS Miguel Rojas,,Geraldo Perdomo,SS,22.85%,4
6,5214235074,DrNickIsIn (5/20),0,155.05,1B Yandy Diaz 2B Carson Williams 3B Junior Caminero C Gabriel Moreno OF Shohei Ohtani OF Tim Tawa OF Chandler Simpson P Reid Detmers P Blade Tidwell SS Taylor Walls,,Ryan Vilade,OF,22.54%,4
7,5214597282,Albino_Zebra (13/20),0,154.7,1B Yandy Diaz 2B Carson Williams 3B Nick Loftin C Salvador Perez OF Shohei Ohtani OF Jonny DeLuca OF Chandler Simpson P MacKenzie Gore P Reid Detmers SS Taylor Walls,,Gabriel Moreno,C,19.41%,19
8,5214734166,rybutts13,0,152.20001,1B Jeff McNeil 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Lars Nootbaar OF Zack Gelof OF Corbin Carroll P Tarik Skubal P Jacob Lopez SS Jacob Wilson,,Lars Nootbaar,OF,18.94%,4
9,5214699974,Hambone1927,0,151.70001,1B Yandy Diaz 2B Ketel Marte 3B Nolan Arenado C Nick Fortes OF Lars Nootbaar OF Jonny DeLuca OF Corbin Carroll P Freddy Peralta P MacKenzie Gore SS Taylor Walls,,Carson Williams,2B,17.77%,0
10,5214682987,Prparent (1/2),0,151.35,1B Jonathan Aranda 2B Jeff McNeil 3B Yandy Diaz C Hunter Feduccia OF Jonny DeLuca OF Chandler Simpson OF Ryan Waldschmidt P Tarik Skubal P Reid Detmers SS Taylor Walls,,Corbin Carroll,OF,17.16%,11
11,5214630283,brontoball (2/2),0,150.8,1B Bryce Eldridge 2B Jeff McNeil 3B Nolan Arenado C Gabriel Moreno OF Mike Trout OF Carlos Cortes OF Jung Hoo Lee P Michael Soroka P Logan Henderson SS Mookie Betts,,Jeff McNeil,2B,16.92%,15
