Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5212914408,AverageTuesday (2/20),0,227.1,1B Pete Alonso 2B Jackson Holliday 3B Coby Mayo C Jimmy Crooks OF Kyle Schwarber OF Bryce Harper OF Tyler O'Neill P Jesus Luzardo P Sean Manaea SS Gunnar Henderson,,Jacob Misiorowski,P,67.38%,22.5
2,5213333897,cantbstopped5deuce (8/20),0,218.45,1B Pete Alonso 2B Jackson Holliday 3B Bryson Stott C Ivan Herrera OF Kyle Schwarber OF Dylan Beavers OF Tyler O'Neill P Cam Schlittler P Grant Holmes SS Gunnar Henderson,,Jesus Luzardo,P,26.90%,32.75
3,5212889997,grantgoupil (12/20),0,213.85,1B Pete Alonso 2B Jackson Holliday 3B Nick Loftin C J.T. Realmuto OF Kyle Schwarber OF Tyler O'Neill OF Colton Cowser P Jacob Misiorowski P Sean Manaea SS Gunnar Henderson,,Pete Crow-Armstrong,OF,25.16%,11
4,5213173009,stupacjmu (16/20),0,208.55,1B Pete Alonso 2B Nico Hoerner 3B Alex Bregman C Miguel Amaya OF Pete Crow-Armstrong OF Ian Happ OF Tyler O'Neill P Cam Schlittler P Ryan Gusto SS Jackson Holliday,,Michael Busch,1B,20.00%,15
5,5213187652,Benski9 (1/3),0,204.2,1B Alec Burleson 2B JJ Wetherholt 3B Jose Fermin C Miguel Amaya OF Kyle Schwarber OF Griffin Conine OF Colton Cowser P Jesus Luzardo P Joey Cantillo SS Masyn Winn,,Ryan Gusto,P,18.90%,10.6
6,5213034192,Emac (11/20),0,202.3,1B Kyle Stowers 2B Jackson Holliday 3B Coby Mayo C Miguel Amaya OF Pete Crow-Armstrong OF Ian Happ OF Tyler O'Neill P Cam Schlittler P Sean Manaea SS Gunnar Henderson,,Wilyer Abreu,OF,17.40%,4
7,5213034190,Emac (9/20),0,199.7,1B Pete Alonso 2B Jackson Holliday 3B Jose Ramirez C Patrick Bailey OF Steven Kwan OF Tyler O'Neill OF Colton Cowser P Cam Schlittler P Jesus Luzardo SS Gunnar Henderson,,Alex Bregman,3B,17.19%,15
8,5212923587,jradesanmi (20/20),0,198.55,1B Pete Alonso 2B Jackson Holliday 3B Alex Bregman C Ivan Herrera OF Ian Happ OF Tyler O'Neill OF Colton Cowser P Jacob Misiorowski P Connor Prielipp SS Gunnar Henderson,,Kumar Rocker,P,16.46%,-0.65
9,5213261499,GreenTailShiner (2/20),0,195.8,1B Alec Bohm 2B Nico Hoerner 3B Bryson Stott C Miguel Amaya OF Kyle Schwarber OF Ian Happ OF Michael Conforto P Jesus Luzardo P Connor Prielipp SS Trea Turner,,Nick Sogard,2B,16.41%,0
10,5213167629,mattmoss12 (20/20),0,195.3,1B Pete Alonso 2B Jackson Holliday 3B Bryson Stott C J.T. Realmuto OF Jordan Walker OF Dylan Beavers OF Tyler O'Neill P Cam Schlittler P Sean Manaea SS Gunnar Henderson,,Ceddanne Rafaela,OF,15.69%,0
11,5213139778,j-wolf05 (10/20),0,193.85,1B Nathaniel Lowe 2B Jackson Holliday 3B Bryson Stott C Miguel Amaya OF Kyle Schwarber OF Ian Happ OF Tyrone Taylor P Jacob Misiorowski P Sean Manaea SS Dansby Swanson,,Ian Happ,OF,14.30%,24
12,5212766107,T41129130907 (11/20),0,193.1,1B Michael Busch 2B Jackson Holliday 3B Alex Bregman C Miguel Amaya OF Kyle Schwarber OF Ian Happ OF Tyler O'Neill P Cam Schlittler P Cade Povich SS Dansby Swanson,,Nick Loftin,3B,13.79%,0
13,5212735375,playahata1 (19/20),0,192,1B Pete Alonso 2B Jackson Holliday 3B Coby Mayo C Miguel Amaya OF Pete Crow-Armstrong OF Ian Happ OF Tyler O'Neill P Jacob Misiorowski P Grant Holmes SS Gunnar Henderson,,Jarren Duran,OF,13.68%,0
14,5213168804,rambito (19/20),0,190.55,1B Pete Alonso 2B Jackson Holliday 3B Alex Bregman C Brett Sullivan OF Pete Crow-Armstrong OF Ian Happ OF Michael Conforto P Cam Schlittler P Ryan Gusto SS Dansby Swanson,,Andruw Monasterio,SS,13.68%,0
15,5212999577,welchy81 (18/20),0,190.45,1B Pete Alonso 2B Jackson Holliday 3B Coby Mayo C Edgar Quero OF Brenton Doyle OF Randal Grichuk OF Colton Cowser P Jacob Misiorowski P Cam Schlittler SS Gunnar Henderson,,Cam Schlittler,P,12.88%,33.95
16,5213278924,Chapel517 (1/2),0,190.1,1B Pete Alonso 2B Jackson Holliday 3B Willi Castro C Ivan Herrera OF Jordan Walker OF Mickey Moniak OF Tyler O'Neill P Jesus Luzardo P Sean Manaea SS Masyn Winn,,Dansby Swanson,SS,12.50%,7
17,5213127380,lucas232 (9/20),0,187.7,1B Pete Alonso 2B Jackson Holliday 3B Coby Mayo C Jimmy Crooks OF Wyatt Langford OF Nathan Church OF Colton Cowser P Cam Schlittler P Jesus Luzardo SS Gunnar Henderson,,Michael Conforto,OF,11.80%,10
18,5213341990,andywxman (5/20),0,187.45,1B Michael Busch 2B Nico Hoerner 3B Coby Mayo C Carlos Narvaez OF Ian Happ OF Tyler O'Neill OF Colton Cowser P Jacob Misiorowski P Cam Schlittler SS Jackson Holliday,,Salvador Perez,C,11.59%,5
19,5213333902,cantbstopped5deuce (13/20),0,187,1B Jared Young 2B JJ Wetherholt 3B Bo Bichette C Ivan Herrera OF A.J. Ewing OF Luis Robert Jr. OF Colton Cowser P Jacob Misiorowski P Grant Holmes SS Francisco Lindor,,Bobby Witt Jr.,SS,11.56%,2
20,5212959106,wh0red0zer9 (3/17),0,185.1,1B Willson Contreras 2B Nico Hoerner 3B Bo Bichette C Jake Rogers OF A.J. Ewing OF Carson Benge OF Luis Robert Jr. P Jesus Luzardo P Sean Manaea SS Francisco Lindor,,Tyrone Taylor,OF,11.47%,3
21,5213205318,ceebajay (11/20),0,183.7,1B Pete Alonso 2B Nico Hoerner 3B Nick Loftin C Luke Maile OF Ian Happ OF Michael Conforto OF Tyrone Taylor P Cam Schlittler P Jesus Luzardo SS Jackson Holliday,,Miguel Amaya,C,11.21%,21
22,5212895063,isaakuerickson (7/20),0,182.7,1B Pete Alonso 2B Jackson Holliday 3B Bryson Stott C Salvador Perez OF Tyler O'Neill OF Starling Marte OF Kyle Isbel P Cam Schlittler P Jesus Luzardo SS Bobby Witt Jr.,,Jose Ramirez,3B,10.19%,15
23,5213333900,cantbstopped5deuce (11/20),0,182.1,1B Pete Alonso 2B Nico Hoerner 3B Coby Mayo C Ivan Herrera OF Pete Crow-Armstrong OF Tyler O'Neill OF Colton Cowser P Jacob Misiorowski P Ryan Gusto SS Gunnar Henderson,,Jimmy Crooks,C,9.77%,2
24,5212950856,ShdwHwk (1/20),0,181.4,1B Alec Burleson 2B Bryson Stott 3B Alec Bohm C Miguel Amaya OF Pete Crow-Armstrong OF Kyle Schwarber OF Justin Crawford P Sean Manaea P Connor Prielipp SS Trea Turner,,Jake Rogers,C,9.57%,5
25,5212749231,zandwich (15/20),0,181.25,1B Pete Alonso 2B Nico Hoerner 3B Alex Bregman C Carlos Narvaez OF Michael Conforto OF Tyrone Taylor OF Tyler O'Neill P Jacob Misiorowski P Jesus Luzardo SS Jackson Holliday,,Willson Contreras,1B,9.38%,6
25,5213342191,ac919 (13/20),0,181.25,1B Pete Alonso 2B Jackson Holliday 3B Nick Loftin C Ivan Herrera OF Dylan Beavers OF Tyler O'Neill OF Starling Marte P Jacob Misiorowski P Jesus Luzardo SS Gunnar Henderson,,Nico Hoerner,2B,9.20%,19
27,5213033974,vigiljp05 (10/20),0,181.1,1B Alec Burleson 2B JJ Wetherholt 3B Alex Bregman C Miguel Amaya OF Ian Happ OF Bryan Torres OF Tyrone Taylor P Jesus Luzardo P Sean Manaea SS Dansby Swanson,,George Lombard Jr.,SS,9.17%,0
28,5212830050,MJPSevens7,0,180.95,1B Alec Burleson 2B JJ Wetherholt 3B Bryson Stott C Jimmy Crooks OF Kyle Schwarber OF Bryce Harper OF Jordan Walker P Sean Manaea P Ryan Gusto SS Masyn Winn,,Ivan Herrera,C,8.97%,16
29,5213142499,floydian80 (19/20),0,180.5,1B Pete Alonso 2B Bryson Stott 3B Alex Bregman C J.T. Realmuto OF Ian Happ OF Brandon Marsh OF Griffin Conine P Jesus Luzardo P Michael McGreevy SS Trea Turner,,Alec Burleson,1B,8.92%,18
30,5212886427,tjames3221 (12/20),0,180.35,1B Pete Alonso 2B Bryson Stott 3B Ryan McMahon C J.T. Realmuto OF Kyle Schwarber OF Bryce Harper OF Tyler O'Neill P Jesus Luzardo P Ryan Gusto SS Trea Turner,,Ryan McMahon,3B,8.61%,2
31,5213147130,swier162 (16/20),0,180.1,1B Kyle Stowers 2B Xavier Edwards 3B Alex Bregman C Miguel Amaya OF Pete Crow-Armstrong OF Griffin Conine OF Tyrone Taylor P Jesus Luzardo P Sean Manaea SS Dansby Swanson,,Anthony Seigler,2B,8.40%,5
