Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5204301746,nhuvelle (2/4),0,172.45,1B Spencer Torkelson 2B Brice Turang 3B Hao-Yu Lee C Dillon Dingler OF Jackson Chourio OF Jake Bauers OF Max Clark P Hunter Brown P Shane Drohan SS Javier Baez,,Dylan Cease,P,57.52%,21.9
2,5204199960,DrNickIsIn,0,170.4,1B Jake Bauers 2B Brice Turang 3B David Hamilton C Dillon Dingler OF Garrett Mitchell OF Luis Lara OF Ben Malgeri P Dylan Cease P Shane Drohan SS Javier Baez,,Shane Drohan,P,32.28%,24.5
3,5204108285,willoc729 (3/5),0,169.8,1B Bryce Harper 2B Brice Turang 3B Hao-Yu Lee C Dillon Dingler OF Jake Bauers OF Ben Malgeri OF Max Clark P Dylan Cease P Tanner Bibee SS Javier Baez,,Hunter Brown,P,27.97%,17.95
4,5203946006,mitchellmorse30 (4/5),0,165.4,1B Spencer Torkelson 2B Brice Turang 3B David Hamilton C William Contreras OF Christian Yelich OF Jake Bauers OF Max Clark P Dylan Cease P Shane Drohan SS Javier Baez,,Jac Caglianone,OF,24.40%,0
5,5204075027,garnes222 (3/5),0,164.4,1B Spencer Torkelson 2B Brice Turang 3B Hao-Yu Lee C William Contreras OF Riley Greene OF Jake Bauers OF Max Clark P Dylan Cease P Shane Drohan SS Javier Baez,,Spencer Torkelson,1B,23.34%,17
6,5204380766,Goodfellas97 (2/3),0,163.9,1B Spencer Torkelson 2B Brice Turang 3B Luis Rengifo C Dillon Dingler OF Jac Caglianone OF Javier Baez OF Max Clark P Foster Griffin P Shane Drohan SS Kevin McGonigle,,Salvador Perez,1B,21.35%,6
7,5204257360,tinderella (3/4),0,157.85,1B Jake Bauers 2B Brice Turang 3B David Hamilton C William Contreras OF Riley Greene OF Ben Malgeri OF Max Clark P Dylan Cease P Hunter Brown SS Cooper Pratt,,Lane Thomas,OF,21.24%,5
8,5204600791,redskins1001 (4/5),0,157.4,1B Spencer Torkelson 2B Hao-Yu Lee 3B Jose Ramirez C Dillon Dingler OF Jake Bauers OF Dominic Canzone OF Dylan Beavers P Dylan Cease P Shane Drohan SS Javier Baez,,Hao-Yu Lee,3B,20.29%,0
9,5204387717,jasonwithaj (3/5),0,157,1B Josh Bell 2B Gleyber Torres 3B Manny Machado C Dillon Dingler OF Fernando Tatis Jr. OF Ben Malgeri OF Max Clark P Hunter Brown P Zebby Matthews SS Kevin McGonigle,,Carter Jensen,C,19.87%,14
10,5204319000,mouse8732 (3/5),0,155.4,1B Spencer Torkelson 2B Brice Turang 3B David Hamilton C Dillon Dingler OF Riley Greene OF Luis Lara OF Max Clark P Dylan Cease P Shane Drohan SS Javier Baez,,Gleyber Torres,2B,19.66%,2
10,5204454172,macataca (4/5),0,155.4,1B Spencer Torkelson 2B Gleyber Torres 3B Kyle Karros C Carter Jensen OF Lane Thomas OF Ben Malgeri OF Max Clark P Dylan Cease P Shane Drohan SS Kevin McGonigle,,Nathan Eovaldi,P,16.61%,2.05
12,5204319290,ceebajay (5/5),0,154.95,1B Spencer Torkelson 2B Brice Turang 3B Hao-Yu Lee C Dillon Dingler OF Jackson Chourio OF George Springer OF Max Clark P Dylan Cease P Zebby Matthews SS Javier Baez,,Max Clark,OF,16.19%,21
13,5204209490,Ponta01,0,154.4,1B Spencer Torkelson 2B Tyler Freeman 3B Austin Riley C Dillon Dingler OF Jake McCarthy OF Ben Malgeri OF Max Clark P Dylan Cease P Shane Drohan SS Kevin McGonigle,,Javier Baez,SS,15.67%,19
14,5204177177,jediyeti73 (5/5),0,153.85,1B Spencer Torkelson 2B Gleyber Torres 3B Manny Machado C Jonah Heim OF Luis Rengifo OF Javier Baez OF Ben Malgeri P Dylan Cease P Hunter Brown SS Kevin McGonigle,,Dillon Dingler,C,15.25%,23
15,5204075025,garnes222 (1/5),0,153.4,1B Salvador Perez 2B Gleyber Torres 3B Kyle Karros C Dillon Dingler OF Lane Thomas OF Ben Malgeri OF Max Clark P Dylan Cease P Shane Drohan SS Kevin McGonigle,,Isaac Collins,OF,13.99%,8
16,5204160025,philbou,0,152.95,1B Jonathan Aranda 2B Bryson Stott 3B Isaac Paredes C J.T. Realmuto OF Yordan Alvarez OF Shohei Ohtani OF Cam Smith P Hunter Brown P Tomoyuki Sugano SS Jeremy Pena,,Bryce Miller,P,13.99%,11
17,5204177175,jediyeti73 (3/5),0,151.85,1B Spencer Torkelson 2B Gleyber Torres 3B Miguel Vargas C Jonah Heim OF Henry Bolte OF Ben Malgeri OF Max Clark P Dylan Cease P Hunter Brown SS Kevin McGonigle,,Kyle Karros,3B,13.77%,8
18,5204183414,jonjonlegend,0,151.55,1B Spencer Torkelson 2B Brice Turang 3B David Hamilton C Dillon Dingler OF Shohei Ohtani OF Luis Lara OF Max Clark P Nathan Eovaldi P Shane Drohan SS Javier Baez,,Hao-Yu Lee,2B,13.25%,0
19,5204403824,AJSuperman,0,151.4,1B Salvador Perez 2B Hao-Yu Lee 3B Kyle Karros C Dillon Dingler OF Riley Greene OF Luis Rengifo OF Max Clark P Dylan Cease P Shane Drohan SS Kevin McGonigle,,Kevin McGonigle,SS,11.67%,22
20,5204329668,meyers2305 (1/5),0,150.95,1B Spencer Torkelson 2B Brice Turang 3B David Hamilton C William Contreras OF Jackson Chourio OF Ben Malgeri OF Max Clark P Dylan Cease P Zebby Matthews SS Cooper Pratt,,Jonah Heim,C,11.57%,9
20,5204329671,meyers2305 (4/5),0,150.95,1B Spencer Torkelson 2B Brice Turang 3B David Hamilton C William Contreras OF Jackson Chourio OF Ben Malgeri OF Max Clark P Dylan Cease P Zebby Matthews SS Cooper Pratt,,Brice Turang,2B,10.94%,20
20,5204329672,meyers2305 (5/5),0,150.95,1B Spencer Torkelson 2B Brice Turang 3B David Hamilton C William Contreras OF Jackson Chourio OF Ben Malgeri OF Max Clark P Dylan Cease P Zebby Matthews SS Cooper Pratt,,Riley Greene,OF,10.20%,7
23,5204098289,ShaidyAdvice (1/5),0,150.4,1B Jake Bauers 2B Brice Turang 3B Hao-Yu Lee C William Contreras OF Christian Yelich OF Luis Lara OF Max Clark P Dylan Cease P Shane Drohan SS Javier Baez,,Jose Ramirez,3B,9.88%,11
23,5204177512,cmoehn13,0,150.4,1B Spencer Torkelson 2B Gleyber Torres 3B David Hamilton C Dillon Dingler OF Jake Bauers OF Luis Lara OF Javier Baez P Dylan Cease P Shane Drohan SS Cooper Pratt,,William Contreras,C,8.83%,9
25,5204319286,ceebajay (1/5),0,150.15,1B TJ Rumfield 2B Gleyber Torres 3B Kyle Karros C Dillon Dingler OF Mickey Moniak OF Ben Malgeri OF Max Clark P Dylan Cease P Janson Junk SS Kevin McGonigle,,David Hamilton,3B,8.83%,0
26,5204603074,XYZee03 (3/5),0,149.95,1B Spencer Torkelson 2B Brice Turang 3B Hao-Yu Lee C William Contreras OF Riley Greene OF Jake Bauers OF Javier Baez P Dylan Cease P Mitch Bratt SS Kevin McGonigle,,Ben Malgeri,OF,8.62%,20
27,5204480381,cheeseisgood (1/5),0,147.15,1B Spencer Torkelson 2B Ketel Marte 3B Hao-Yu Lee C Dillon Dingler OF Julio Rodriguez OF Dominic Canzone OF Max Clark P Dylan Cease P Janson Junk SS Kevin McGonigle,,Cooper Pratt,SS,8.52%,16
28,5204416993,marcsnichols (4/5),0,144.4,1B Willson Contreras 2B Gleyber Torres 3B Caleb Durbin C Dillon Dingler OF Wilyer Abreu OF Ceddanne Rafaela OF Max Clark P Ranger Suarez P Michael Wacha SS Javier Baez,,Tanner Bibee,P,8.31%,14.9
29,5204329670,meyers2305 (3/5),0,143.9,1B Spencer Torkelson 2B Bryson Stott 3B Hao-Yu Lee C Dillon Dingler OF Brandon Marsh OF Javier Baez OF Max Clark P Dylan Cease P Bryce Miller SS Trea Turner,,Jake McCarthy,OF,8.20%,0
30,5204488292,Grnder_786 (4/5),0,143.4,1B Spencer Torkelson 2B Brice Turang 3B David Hamilton C William Contreras OF Jackson Chourio OF Riley Greene OF Ben Malgeri P Dylan Cease P Shane Drohan SS Javier Baez,,Dylan Beavers,OF,7.99%,9
30,5204529677,Gronkowski69 (3/3),0,143.4,1B Spencer Torkelson 2B Hao-Yu Lee 3B Kyle Karros C Carter Jensen OF Riley Greene OF Isaac Collins OF Max Clark P Dylan Cease P Shane Drohan SS Kevin McGonigle,,Dominic Canzone,OF,7.78%,7
