Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5206471548,jrpiiiusc,0,186.05,1B Sal Stewart 2B Luis Urias 3B Alec Bohm C Tyler Stephenson OF Yordan Alvarez OF Andrew Benintendi OF Mike Yastrzemski P Chase Burns P Gavin Williams SS Otto Lopez,,Tyler Stephenson,C,32.63%,25
2,5206459925,likenoah,0,173.05,1B Kyle Manzardo 2B Travis Bazzana 3B Kazuma Okamoto C Tyler Stephenson OF Yordan Alvarez OF George Springer OF Chase DeLauter P Gavin Williams P Max Scherzer SS Jeremy Pena,,Gerrit Cole,P,30.74%,20.55
3,5206429541,jlp4765,0,167.4,1B Matt Olson 2B Cam Cauley 3B Jose Ramirez C Tyler Stephenson OF Chase DeLauter OF JJ Bleday OF Brandon Nimmo P Gavin Williams P Griffin Jax SS Elly De La Cruz,,Zack Wheeler,P,28.84%,9.9
4,5206451953,tmcbrew21,0,164.4,1B Nathaniel Lowe 2B Luis Urias 3B Jose Ramirez C Tyler Stephenson OF Yordan Alvarez OF JJ Bleday OF Griffin Conine P Gavin Williams P Griffin Jax SS Elly De La Cruz,,Luis Urias,2B,28.63%,9
4,5206459436,legggggggggy,0,164.4,1B Matt Olson 2B Bryson Stott 3B Kazuma Okamoto C Tyler Stephenson OF Dylan Crews OF Chase DeLauter OF Steven Kwan P Gavin Williams P Griffin Jax SS Jeremy Pena,,Gavin Williams,P,26.32%,35.55
6,5206461600,barrow930,0,159.3,1B Ryan Vilade 2B Luis Urias 3B Jose Ramirez C Tyler Stephenson OF Yordan Alvarez OF Chase DeLauter OF Dylan Beavers P Gavin Williams P Peter Lambert SS Elly De La Cruz,,Elly De La Cruz,SS,24.21%,9
7,5206448607,hoodsfromthewood,0,158.45,1B Christian Walker 2B Bryson Stott 3B Isaac Paredes C Tyler Stephenson OF Yordan Alvarez OF Taylor Trammell OF Dylan Beavers P Gavin Williams P Sandy Alcantara SS Jeremy Pena,,Griffin Jax,P,24.00%,22.85
8,5206480732,jimed27,0,154.25,1B Kyle Stowers 2B Xavier Edwards 3B Jose Ramirez C Tyler Stephenson OF Chase DeLauter OF Steven Kwan OF Mike Yastrzemski P Chase Burns P Peter Lambert SS Jeremy Pena,,JJ Bleday,OF,23.79%,11
9,5206463206,BleedPurple41,0,152.8,1B Bryce Harper 2B Bryson Stott 3B Alec Bohm C Tyler Stephenson OF Kyle Schwarber OF Chase DeLauter OF Bryan De La Cruz P Zack Wheeler P Sandy Alcantara SS Jose Caballero,,Yordan Alvarez,OF,21.68%,24
10,5206455477,IChuckUpDaDeuces,0,151.3,1B Sal Stewart 2B Luis Urias 3B Ke'Bryan Hayes C Endy Rodriguez OF Yordan Alvarez OF JJ Bleday OF Dane Myers P Gavin Williams P Peter Lambert SS Elly De La Cruz,,Kazuma Okamoto,3B,21.26%,3
11,5206470078,OSULegends,0,150.4,1B Alec Burleson 2B Luis Urias 3B Kazuma Okamoto C Tyler Stephenson OF Yordan Alvarez OF JJ Bleday OF Lars Nootbaar P Gerrit Cole P Griffin Jax SS Jeremy Pena,,Sandy Alcantara,P,19.16%,23.9
12,5206467525,keppermills,0,150.3,1B Bryce Harper 2B Travis Bazzana 3B Alec Bohm C Patrick Bailey OF George Springer OF Chase DeLauter OF Steven Kwan P Gavin Williams P Peter Lambert SS Trea Turner,,Kyle Stowers,1B,17.89%,0
13,5206462227,jordanh415,0,149.05,1B Christian Walker 2B Luis Urias 3B Amed Rosario C Patrick Bailey OF Yordan Alvarez OF Lars Nootbaar OF Taylor Trammell P Chase Burns P Gerrit Cole SS Jeremy Pena,,George Springer,OF,17.89%,8
14,5206465002,TheCompletePackage,0,148.4,1B Matt Olson 2B Matt McLain 3B Austin Riley C Tyler Stephenson OF Ronald Acuna Jr. OF JJ Bleday OF Mike Yastrzemski P Gavin Williams P Griffin Jax SS Elly De La Cruz,,Lars Nootbaar,OF,17.47%,9
15,5206432274,SJStrauss,0,147.4,1B Joc Pederson 2B Luis Urias 3B Kazuma Okamoto C Tyler Stephenson OF Yordan Alvarez OF George Springer OF JJ Bleday P Gavin Williams P Griffin Jax SS Elly De La Cruz,,Griffin Conine,OF,16.84%,0
16,5206467033,knucksnl,0,147.1,1B Alec Burleson 2B Luis Urias 3B Amed Rosario C Tyler Stephenson OF Yordan Alvarez OF JJ Bleday OF Lars Nootbaar P Gavin Williams P Gerrit Cole SS Trea Turner,,Chase Burns,P,16.63%,30.5
17,5206451510,Philuv,0,146.75,1B Bryce Harper 2B Nico Hoerner 3B Alec Bohm C Patrick Bailey OF Ronald Acuna Jr. OF Chase DeLauter OF Brandon Nimmo P Griffin Jax P Sandy Alcantara SS Elly De La Cruz,,Liam Hicks,C,14.32%,3
18,5206452937,HairyFairy1,0,146.45,1B Nathaniel Lowe 2B Luis Urias 3B Jose Ramirez C Tyler Stephenson OF George Springer OF JJ Bleday OF Dane Myers P Zack Wheeler P Gavin Williams SS Elly De La Cruz,,James Wood,OF,14.11%,2
19,5206452979,ekzablocki,0,143.45,1B Christian Walker 2B Luis Urias 3B Isaac Paredes C Tyler Stephenson OF Yordan Alvarez OF Sam Antonacci OF Taylor Trammell P Gerrit Cole P Sandy Alcantara SS Jeremy Pena,,Jeremy Pena,SS,13.89%,21
