Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5226487513,HahamHanukah (9/20),0,216.7,1B Jared Young 2B Sal Stewart 3B Eugenio Suarez C Drew Romo OF Carson Benge OF JJ Bleday OF Luis Robert Jr. P Tarik Skubal P Patrick Sandoval SS Elly De La Cruz,,Tarik Skubal,P,55.54%,32.15
2,5226421389,xxSPURS21xx (18/20),0,204.95,1B Jose Fernandez 2B Sal Stewart 3B Nolan Arenado C Tyler Stephenson OF JJ Bleday OF Tim Tawa OF Hector Rodriguez P Tarik Skubal P Cody Bradford SS Elly De La Cruz,,Patrick Sandoval,P,33.66%,16.55
3,5226166257,ivymoose (3/20),0,197.7,1B Josh Naylor 2B Sal Stewart 3B Nolan Arenado C Tyler Stephenson OF JJ Bleday OF Lars Nootbaar OF Hector Rodriguez P Tarik Skubal P Patrick Sandoval SS Elly De La Cruz,,Steven Kwan,OF,25.32%,0
4,5226684345,wtfbra97 (4/20),0,190.1,1B Sal Stewart 2B Tommy Edman 3B Max Muncy C Tyler Stephenson OF Kyle Tucker OF JJ Bleday OF Hector Rodriguez P Hunter Brown P Ryan Johnson SS Elly De La Cruz,,Michael Soroka,P,24.71%,-4.5
5,5226905456,woodreb5 (20/20),0,189.5,1B Sal Stewart 2B Ildemaro Vargas 3B Nolan Arenado C Cal Raleigh OF JJ Bleday OF Dane Myers OF Hector Rodriguez P Tarik Skubal P Ryan Johnson SS Elly De La Cruz,,Nathaniel Lowe,1B,22.88%,3
6,5226897082,Webedawgs (16/20),0,188.3,1B Vinnie Pasquantino 2B Sal Stewart 3B Eugenio Suarez C Salvador Perez OF JJ Bleday OF Lars Nootbaar OF Hector Rodriguez P Tarik Skubal P Blade Tidwell SS Elly De La Cruz,,Jose Ramirez,3B,20.56%,5
7,5226885934,nauldyboy (5/20),0,188.25,1B Jared Young 2B Sal Stewart 3B Jose Fernandez C Tyler Stephenson OF Carson Benge OF JJ Bleday OF Hector Rodriguez P Hunter Brown P Christian Scott SS Elly De La Cruz,,Chase DeLauter,OF,18.69%,4
8,5226580359,SpeedRacer101 (12/20),0,186.7,1B Ildemaro Vargas 2B Sal Stewart 3B Jose Fernandez C Tyler Stephenson OF JJ Bleday OF Lars Nootbaar OF Hector Rodriguez P Tarik Skubal P Patrick Sandoval SS Elly De La Cruz,,Patrick Bailey,C,17.29%,7
9,5226721826,lefty4488 (3/17),0,183.9,1B Jared Young 2B Matt McLain 3B Eugenio Suarez C Tyler Stephenson OF JJ Bleday OF Luis Robert Jr. OF Hector Rodriguez P Tarik Skubal P Hunter Brown SS Francisco Lindor,,Christian Scott,P,16.94%,8.5
10,5226865077,UniversalFriend (20/20),0,182.95,1B Christian Walker 2B Sal Stewart 3B Jose Fernandez C Tyler Stephenson OF JJ Bleday OF Lars Nootbaar OF Hector Rodriguez P Tarik Skubal P Cody Bradford SS Elly De La Cruz,,Lars Nootbaar,OF,16.82%,10
11,5226354385,az350z (7/20),0,182.7,1B Jared Young 2B Brett Baty 3B Eugenio Suarez C Francisco Alvarez OF Carson Benge OF JJ Bleday OF A.J. Ewing P Tarik Skubal P Patrick Sandoval SS Elly De La Cruz,,Angel Genao,2B,16.53%,3
12,5226712158,csurunnerccr (18/20),0,180.8,1B Ty France 2B Sal Stewart 3B Jose Fernandez C Tyler Stephenson OF JJ Bleday OF Lars Nootbaar OF Hector Rodriguez P Tarik Skubal P Drew Anderson SS Elly De La Cruz,,Hunter Brown,P,15.56%,12.75
13,5226627848,ninersgal707 (13/20),0,180.65,1B Tim Tawa 2B Sal Stewart 3B Jose Ramirez C Tyler Stephenson OF JJ Bleday OF Lars Nootbaar OF Hector Rodriguez P Tarik Skubal P Christian Scott SS Matt McLain,,Nick Sogard,2B,15.29%,14
