top_n,min_usage,weight_power,velo_tol,match_by_hand,lookback_days,arsenal_lookback_days,metric,shrink,residualize,min_denom,sp_t,sp_coef,sp_dr2,sp_n,hit_woba_t,hit_dk_t,median_denom,arsenal_pitches,secs
3,0.0,1.0,2.5,True,730,365,ops,150.0,True,0.0,-3.696914193485679,-0.44908060067579736,0.001453533109420535,8383,1.6268562545963805,-0.05403962984378308,17.292522582118124,2.91,9.3
3,0.0,1.0,2.5,True,730,365,woba,150.0,True,0.0,-4.014543429581253,-0.4883397083020034,0.0017033365388779975,8383,1.5218933142231967,-0.1829036194874228,17.235294117647058,2.91,9.2
3,0.0,1.0,2.5,True,730,365,xwoba,150.0,True,0.0,-3.4401383877654435,-0.47280885950254786,0.0012906473496901993,8383,1.82635631113027,0.6398458071736045,17.22461131611587,2.91,9.4
3,0.0,1.0,2.5,True,730,365,rv100,150.0,True,0.0,-2.5009313173767738,-0.28915522965842483,0.0006742170561054861,8383,1.5525454072974085,0.15300915170299492,67.64169475898234,2.91,9.9
3,0.0,1.0,2.5,True,730,365,whiff,150.0,True,0.0,-4.100488641879537,-0.5444577897940539,0.0017379275613792489,8383,0.6449806136613588,0.6769934759845124,32.66127071488606,2.91,9.2
3,0.0,1.0,2.5,True,730,365,k_rate,150.0,True,0.0,-4.877542716718423,-0.5980175437369631,0.00254686889436595,8383,1.1176041001311783,0.7283005726255356,17.34122979160826,2.91,9.7
3,0.0,1.0,2.5,True,730,365,k_rate,0.0,True,0.0,-3.875314585608746,-0.48359970125691515,0.0016589923121819172,8379,1.5845773726404548,0.7516941096960473,17.34122979160826,2.91,9.2
3,0.0,1.0,2.5,True,730,365,k_rate,25.0,True,0.0,-5.346722650918759,-0.6623160667851177,0.0030745166114657385,8383,1.3448849094086968,1.0561965141844871,17.34122979160826,2.91,9.2
3,0.0,1.0,2.5,True,730,365,k_rate,75.0,True,0.0,-5.065729245016282,-0.6234645129883077,0.002754281596065389,8383,1.181575710932941,0.841536300488895,17.34122979160826,2.91,9.3
3,0.0,1.0,2.5,True,730,365,k_rate,400.0,True,0.0,-4.687081928879051,-0.5724851261780752,0.002344260711375057,8383,1.0705651734382249,0.624309451648779,17.34122979160826,2.91,8.4
2,0.0,1.0,2.5,True,730,365,k_rate,25.0,True,0.0,-4.961122046266437,-0.6101249593593863,0.0026702214055727147,8383,0.8182662387648342,0.8194214392613538,18.554787737879963,1.94,6.8
4,0.0,1.0,2.5,True,730,365,k_rate,25.0,True,0.0,-5.112726922781834,-0.6395956706580739,0.0028488133069759503,8383,1.2475060574640289,0.6778741955666838,16.68209364314314,3.86,9.7
5,0.0,1.0,2.5,True,730,365,k_rate,25.0,True,0.0,-5.135763914321118,-0.645151302507939,0.0028877693471789367,8383,1.127137113126038,0.7495078828117508,16.424856842224262,4.66,10.8
6,0.0,1.0,2.5,True,730,365,k_rate,25.0,True,0.0,-5.133592884402486,-0.6444674653376747,0.0028846492031732174,8383,1.179988048207385,0.8230512005407727,16.334939165701044,5.13,13.4
8,0.0,1.0,2.5,True,730,365,k_rate,25.0,True,0.0,-5.16816662941382,-0.648766064781548,0.0029240867387566594,8383,1.2132122554283051,0.86920852985172,16.324351201027557,5.3,12.5
3,0.0,1.0,1.0,True,730,365,k_rate,25.0,True,0.0,-5.03489958901894,-0.6165867544304311,0.002720434530274929,8383,1.8345412516833222,1.274428092445284,10.959970688812897,2.91,7.9
3,0.0,1.0,4.0,True,730,365,k_rate,25.0,True,0.0,-4.0607896003785005,-0.4928712899127933,0.0017132380847427742,8383,0.44789137389208306,0.29396955864632135,26.26521867450783,2.91,14.7
3,0.0,1.0,6.0,True,730,365,k_rate,25.0,True,0.0,-2.8912585362012,-0.3489996851057318,0.0008902466766060879,8383,0.0760574073955227,-0.3928034217112701,30.633168459720697,2.91,20.9
3,0.0,1.0,inf,True,730,365,k_rate,25.0,True,0.0,-1.8078107494883093,-0.2162936434427845,0.0003526471059925873,8383,-0.18074091958806937,-0.7680824175735321,32.87113240150382,2.91,98.6
3,0.0,0.0,2.5,True,730,365,k_rate,25.0,True,0.0,-4.9219972030559385,-0.597116328536448,0.002569410008172346,8383,1.5437625177402905,1.1715603122374783,15.0,2.91,13.1
3,0.0,0.5,2.5,True,730,365,k_rate,25.0,True,0.0,-5.223747595749756,-0.6401202867580852,0.0029060417268498284,8383,1.414997082837683,1.1239132563483567,16.314784945681296,2.91,13.6
3,0.0,1.5,2.5,True,730,365,k_rate,25.0,True,0.0,-5.350049779855567,-0.6680411356035952,0.0031091359652779538,8383,1.3093200063777144,0.9788777624382551,18.215532578285867,2.91,12.6
3,0.0,2.0,2.5,True,730,365,k_rate,25.0,True,0.0,-5.290143017054719,-0.6637539203622416,0.003063844944910854,8383,1.2838573345284863,0.8948285278864127,18.897752085522633,2.91,14.0
3,0.0,1.5,2.5,True,365,365,k_rate,25.0,True,0.0,-4.658697535896037,-0.573920840473502,0.0023311200151262534,8383,0.951564554822321,0.581736611293815,15.689015677924736,2.91,13.8
3,0.0,1.5,2.5,True,1095,365,k_rate,25.0,True,0.0,-5.350049779855567,-0.6680411356035952,0.0031091359652779538,8383,1.3093200063777144,0.9788777624382551,18.215532578285867,2.91,11.7
3,0.0,1.5,2.5,True,10000,365,k_rate,25.0,True,0.0,-5.350049779855567,-0.6680411356035952,0.0031091359652779538,8383,1.3093200063777144,0.9788777624382551,18.215532578285867,2.91,11.9
3,0.0,1.5,2.5,True,730,45,k_rate,25.0,True,0.0,-5.2346890602162555,-0.6432482618280199,0.0029897077655692827,8383,1.6979072262181798,1.2594081910747266,16.636834555710443,2.81,12.3
3,0.0,1.5,2.5,True,730,90,k_rate,25.0,True,0.0,-4.973768318560382,-0.6076438586767409,0.0026590678185562933,8383,1.5747034472950137,1.1727528222016261,16.965387986453546,2.83,11.6
3,0.0,1.5,2.5,True,730,180,k_rate,25.0,True,0.0,-5.075771604091568,-0.6230781512814756,0.0027875600219157137,8383,1.4717663587816614,1.0450876906297775,17.169220748739626,2.84,14.7
3,0.0,1.5,2.5,True,730,10000,k_rate,25.0,True,0.0,-5.202843691962613,-0.6533412047847278,0.002971382953560031,8383,1.0091752653903487,0.9808456164902576,18.40718643309309,2.92,11.9
3,0.0,1.5,2.5,False,730,365,k_rate,25.0,True,0.0,-5.328601482923549,-0.6769410535077095,0.003061321169617659,8383,0.8254422225514279,1.058931579874993,257.6412633672759,2.91,14.3
3,0.05,1.5,2.5,True,730,365,k_rate,25.0,True,0.0,-5.351254444906963,-0.6681918205112772,0.0031104743840110194,8383,1.3097716889290822,0.9790485380576534,18.215791160213,2.91,13.4
3,0.1,1.5,2.5,True,730,365,k_rate,25.0,True,0.0,-5.330625294543219,-0.6663919014351284,0.003091843103452896,8383,1.2902912875805526,0.9867218299724405,18.23942301767886,2.85,12.5
3,0.05,1.5,2.5,True,730,365,k_rate,0.0,True,0.0,-3.7490892912295215,-0.4715226917628199,0.0015684253636399914,8379,1.5676164430542787,0.6907525157907223,18.215791160213,2.91,12.0
3,0.05,1.5,2.5,True,730,365,k_rate,75.0,True,0.0,-5.067956926890518,-0.6283217061896677,0.002786516913011128,8383,1.1015896043866638,0.7339990549342582,18.215791160213,2.91,11.4
3,0.05,1.5,2.5,True,730,365,k_rate,150.0,True,0.0,-4.863507900819812,-0.6004537539703436,0.002561438102415714,8383,1.0143146068514026,0.6013072647490282,18.215791160213,2.91,12.0
3,0.05,1.5,2.5,True,730,365,k_rate,400.0,True,0.0,-4.648157867017027,-0.5714781507772817,0.0023338677305024813,8383,0.9471099615149197,0.47655369369675094,18.215791160213,2.91,12.1
