"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"447","Ihmir Smith-Marsette","ARZ","wr","14","17","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","558.4412","0.1427","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"448","Dareke Young","LV","wr","13","17","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","532.6078","0.1361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"449","Kirk Cousins","LV","qb","13","17","110.3","0","177.9919","247.7833","1799.6862","11.4534","5.0134","15.0287","5.8903","26.7656","0.1099","0","0","0","0","1.9243","0.9809","0.5811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"450","Shedeur Sanders","CLV","qb","11","17","58.9","0","101.5074","150.3808","978.5495","5.1447","4.6888","13.1242","14.4045","89.9887","0.1146","0","0","0","0","1.829","0.918","0.3424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"451","Justin Fields","KC","qb","5","17","53.2","0","79.1901","111.9843","752.1162","4.5266","2.4274","12.0504","15.0848","107.017","0.0374","0","0","0","0","1.7148","0.8568","0.3354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"452","Cade Klubnik","NYJ","qb","13","17","42.9","0","78.5365","115.6924","748.0632","3.7354","3.0932","9.4387","6.8965","47.3453","0.0357","0","0","0","0","1.2625","0.638","0.2625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"453","Mason Rudolph","PIT","qb","9","17","40.2","0","74.4148","104.8979","683.2785","3.6993","2.7497","6.0555","5.7333","36.7233","0.0316","0","0","0","0","0.8305","0.4179","0.2805","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"454","Joe Flacco","CIN","qb","6","17","38","0","67.8988","98.462","659.2859","3.9447","2.4593","5.2498","1.6935","7.4756","0.0372","0","0","0","0","0.6666","0.3403","0.2581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"455","Joe Milton III","DAL","qb","14","17","37.6","0","60.8226","86.8378","588.4053","3.4554","2.2994","6.4108","7.3448","50.1477","0.0367","0","0","0","0","0.9","0.4509","0.2481","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"456","Jameis Winston","NYG","qb","8","17","37","0","58.693","87.2177","636.0285","3.6546","2.837","6.3928","4.5543","28.3401","0.0354","0","0","0","0","0.8524","0.4311","0.2192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"457","Mac Jones","SF","qb","8","17","34.9","0","61.5418","85.9652","579.6024","3.3672","2.1422","5.383","4.3805","26.0334","0.0345","0","0","0","0","0.7262","0.3665","0.2449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"458","Ty Simpson","LA","qb","11","17","32.8","0","55.4967","82.0896","539.3868","2.9856","2.0694","6.7834","5.1967","35.6792","0.0519","0","0","0","0","0.9105","0.4599","0.2515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"459","Marcus Mariota","WAS","qb","7","17","30.6","0","45.8488","64.9558","470.4054","2.8482","1.6993","5.2151","5.8911","39.9704","0.0321","0","0","0","0","0.7305","0.3662","0.1811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"460","Anthony Richardson","IND","qb","13","17","29.3","0","47.7832","73.5787","480.8286","2.4373","2.0286","5.1767","6.3567","43.2476","0.0505","0","0","0","0","0.7333","0.3669","0.2202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"461","Tyrod Taylor","GB","qb","11","17","29.1","0","44.9592","65.7804","428.3267","2.3863","1.5979","6.2992","8.7036","58.61","0.0352","0","0","0","0","0.9084","0.453","0.2109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"462","Joshua Dobbs","DET","qb","6","17","27.2","0","48.6563","68.5715","445.0187","2.3082","1.8202","5.1798","6.0693","39.2408","0.0358","0","0","0","0","0.7288","0.3651","0.2185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"463","Carson Beck","ARZ","qb","14","17","27.2","0","48.701","72.7822","472.5205","2.3944","1.929","6.1343","4.2326","29.5871","0.0175","0","0","0","0","0.8168","0.4131","0.1792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"464","Jake Browning","TB","qb","10","17","26.8","0","48.1273","69.5546","458.2069","2.46","1.9607","5.3589","4.3959","26.9827","0.0436","0","0","0","0","0.7235","0.3651","0.1857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"465","Tyler Huntley","BLT","qb","13","17","25.6","0","40.9161","59.0235","385.9872","2.0346","1.338","5.3401","7.1009","48.032","0.0356","0","0","0","0","0.7652","0.3821","0.2191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"466","Kenny Pickett","CAR","qb","5","17","24.8","0","40.3921","60.1763","401.1773","2.2187","1.2766","4.7352","4.2725","25.6468","0.0374","0","0","0","0","0.6454","0.3252","0.1434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467","J.J. McCarthy","MIN","qb","6","17","24.8","0","39.1946","58.4769","394.0327","2.4156","1.6534","5.3437","4.5964","28.3675","0.0387","0","0","0","0","0.7251","0.3656","0.1519","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"468","Quinn Ewers","MIA","qb","6","17","24.6","0","45.4787","65.0609","423.2732","2.2149","1.7459","6.009","4.1457","25.8729","0.0331","0","0","0","0","0.7989","0.4043","0.1532","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"469","Andy Dalton","PHI","qb","10","17","24.5","0","40.5814","58.7808","400.8272","2.5415","1.5095","4.0503","2.0446","14.8641","0","0","0","0","0","0.5278","0.2679","0.1739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"470","Jarrett Stidham","DEN","qb","10","17","24.5","0","41.6369","61.2963","396.9414","2.0916","1.6033","4.917","5.5634","36.0153","0.0338","0","0","0","0","0.6886","0.3452","0.1651","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"471","Davis Mills","HST","qb","8","17","23.4","0","39.8381","61.1602","398.347","2.1264","1.4182","4.366","3.2888","18.6236","0.0352","0","0","0","0","0.5842","0.2954","0.1484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"472","Zach Wilson","NO","qb","8","17","22.5","0","39.0717","59.0815","383.7591","1.9028","1.3951","5.6148","4.2099","25.6838","0.0343","0","0","0","0","0.7518","0.38","0.1394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"473","Kyle Allen","BUF","qb","7","17","21.9","0","40.718","58.5762","379.0985","1.956","1.5633","4.9098","3.6218","21.2255","0.0355","0","0","0","0","0.656","0.3317","0.1894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"474","Drew Lock","SEA","qb","11","17","19.9","0","35.8691","52.5059","340.7622","1.7616","1.4142","3.9625","3.6983","21.2913","0.0355","0","0","0","0","0.5416","0.2728","0.1516","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"475","Nick Mullens","JAX","qb","7","17","18.7","0","32.6904","47.0883","334.1053","1.77","1.3939","3.5737","2.259","11.0751","0.0327","0","0","0","0","0.4709","0.2388","0.1288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"476","Mitch Trubisky","TEN","qb","9","17","12.4","0","21.5754","31.1984","204.4135","1.1285","0.8191","2.1038","2.5051","12.9772","0.0329","0","0","0","0","0.2955","0.1482","0.0648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"477","Trey Lance","LAC","qb","7","17","11.2","0","19.4919","28.9901","185.0515","0.8378","0.7482","2.5804","3.4012","19.7784","0.0342","0","0","0","0","0.3681","0.1841","0.0791","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"478","Tommy DeVito","NE","qb","11","17","8","0","12.5904","18.6796","121.1447","0.6337","0.4034","2.006","2.4493","13.9274","0.0337","0","0","0","0","0.2825","0.1417","0.0555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"479","Gardner Minshew","ARZ","qb","14","17","4.7","0","8.0141","11.752","76.7045","0.4039","0.2861","0.8905","1.3487","4.8086","0.0303","0","0","0","0","0.1286","0.0644","0.0296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"480","Tyson Bagent","CHI","qb","10","17","4.1","0","6.6","9.8397","63.7458","0.3169","0.2659","0.6841","1.6177","6.8565","0.0371","0","0","0","0","0.1074","0.0531","0.0267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"481","Tanner McKee","PHI","qb","10","17","0.3","0","0","0","0","0","0","0","0.8772","1.2972","0.0353","0","0","0","0","0.0119","0.0052","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"482","Eddy Pineiro","SF","k","8","17","123.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5312","7.6242","9.3352","9.7325","8.4506","9.7999","5.898","7.612","42.674","44.0504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"483","Harrison Mevis","LA","k","11","17","123.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5972","7.7221","9.3288","9.8575","8.1855","9.9258","5.5588","7.7097","44.3502","46.2551","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"484","Brandon Aubrey","DAL","k","14","17","123.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4801","7.5701","9.2787","9.6635","8.4203","9.7304","5.89","7.558","42.5738","43.9118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"485","Jake Bates","DET","k","6","17","122.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5435","7.6751","9.2421","9.7974","8.0505","9.8653","5.4335","7.6627","45.0544","47.1061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"486","Evan McPherson","CIN","k","6","17","122.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.493","7.616","9.2015","9.7221","8.0753","9.7894","5.4849","7.6038","44.1927","46.0878","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"487","Tyler Bass","BUF","k","7","17","121.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5447","7.698","9.1836","9.8267","7.8361","9.8948","5.1995","7.6856","45.0161","47.4056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"488","Tyler Loop","BLT","k","13","17","120.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5538","7.7016","9.2102","9.8313","7.9007","9.8994","5.265","7.6892","43.8102","46.0493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"489","Cam Little","JAX","k","7","17","120.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.506","7.6107","9.2697","9.7152","8.2881","9.7825","5.721","7.5985","40.9617","42.4536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"490","Jake Elliott","PHI","k","10","17","119.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5393","7.6853","9.1965","9.8106","7.8998","9.8785","5.2704","7.673","42.4466","44.5946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"491","Jason Myers","SEA","k","11","17","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5677","7.6919","9.2933","9.8189","8.1564","9.8869","5.5402","7.6795","40.2846","42.0113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"492","Chris Boswell","PIT","k","9","17","118.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4876","7.5793","9.2834","9.6751","8.4108","9.7422","5.8747","7.5671","38.4091","39.6371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"493","Nick Folk","ATL","k","11","17","118.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3992","7.4877","9.1799","9.5582","8.3358","9.6244","5.8341","7.4756","38.7106","39.9194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"494","Cameron Dicker","LAC","k","7","17","118.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5437","7.6352","9.3553","9.7466","8.4831","9.8141","5.9297","7.623","37.1896","38.3682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"495","Harrison Butker","KC","k","5","17","118.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5029","7.6262","9.2134","9.735","8.0851","9.8025","5.4911","7.6139","40.2077","41.9331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"496","Trey Smack","GB","k","11","17","118.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4922","7.6359","9.1432","9.7474","7.8651","9.8149","5.2533","7.6236","41.7622","43.8538","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"497","Chase McLaughlin","TB","k","10","17","116.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4411","7.5616","9.1424","9.6526","8.037","9.7194","5.4667","7.5494","39.2313","40.8903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"498","Cairo Santos","CHI","k","10","17","115.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4866","7.6096","9.1933","9.7139","8.0675","9.7812","5.4792","7.5974","37.7456","39.3653","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"499","Andres Borregales","NE","k","11","17","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4897","7.6422","9.116","9.7555","7.7766","9.823","5.159","7.6299","39.34","41.4316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"500","Ka'imi Fairbairn","HST","k","8","17","114.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5467","7.6696","9.2703","9.7904","8.1442","9.8582","5.5365","7.6572","35.8851","37.4108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"501","Will Reichard","MIN","k","6","17","114.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4733","7.5904","9.193","9.6893","8.1131","9.7565","5.537","7.5782","36.2574","37.741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"502","Blake Grupe","IND","k","13","17","113.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3898","7.5402","8.9944","9.6253","7.6729","9.692","5.0902","7.5281","38.6777","40.7341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"503","Wil Lutz","DEN","k","10","17","112.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.472","7.6241","9.0945","9.7324","7.7584","9.7998","5.147","7.6118","37.2608","39.2417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"504","Drew Stevens","WAS","k","7","17","112.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3851","7.5267","9.0125","9.608","7.7527","9.6746","5.1782","7.5146","37.0037","38.857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"505","Dominic Zvada","NYG","k","8","17","111.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.2423","7.3812","8.8382","9.4223","7.6028","9.4875","5.0781","7.3693","37.4106","39.2843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"506","Ryan Fitzgerald","CAR","k","5","17","107.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3208","7.4663","8.9198","9.531","7.6345","9.597","5.0784","7.4543","33.6881","35.4377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"507","Texans DST","HST","dst","8","17","107.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.8751","0.3848","12.1105","16.3453","8.1039","1.7322","1511.5781","0.5776","0.2518","0.632","2.5714","4.76","4.3334","2.9754","1.476","0","0","0","0","0","0","0","0","0","0"
"507","Charlie Smyth","NO","k","8","17","107.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3414","7.4906","8.9361","9.5619","7.6248","9.6282","5.0592","7.4785","33.1649","34.9255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"508","Matt Gay","LV","k","13","17","106.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1616","7.3066","8.7187","9.327","7.4432","9.3916","4.9408","7.2948","34.3232","36.1385","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509","Andre Szmyt","CLV","k","11","17","106.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1705","7.2902","8.7998","9.3061","7.707","9.3706","5.2255","7.2785","32.1802","33.5836","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511","Lions DST","DET","dst","6","17","103.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.9542","0.3847","12.0669","15.9269","7.8767","1.7052","1722.816","0.6308","0.248","0.6268","2.7632","4.7182","4.2953","2.9022","1.4462","0","0","0","0","0","0","0","0","0","0"
"510","Jason Sanders","NYJ","k","13","17","103.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.8011","6.9128","8.3515","8.8244","7.3288","8.8855","4.9775","6.9017","32.8268","34.2354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511","Joey Slye","TEN","k","9","17","103.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.2136","7.3533","8.7995","9.3867","7.5593","9.4517","5.0435","7.3415","30.056","31.5762","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"514","Packers DST","GB","dst","11","17","102.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.5104","0.3879","12.0214","16.3286","8.0856","1.7207","1650.588","0.6118","0.2495","0.6449","2.6114","4.746","4.3206","3.0056","1.422","0","0","0","0","0","0","0","0","0","0"
"515","Patriots DST","NE","dst","11","17","102.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.3171","0.3835","12.0472","15.6461","7.7415","1.6898","1600.5001","0.6008","0.2492","0.6553","2.7807","4.7111","4.2889","2.9681","1.3466","0","0","0","0","0","0","0","0","0","0"
"516","Rams DST","LA","dst","11","17","102.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.3888","0.3853","12.4376","16.2015","8.0394","1.7561","1707.5737","0.629","0.2485","0.6317","2.6125","4.7572","4.3308","2.9596","1.4597","0","0","0","0","0","0","0","0","0","0"
"517","Bengals DST","CIN","dst","6","17","101.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.45","0.384","11.9604","16.0194","7.9144","1.6981","1694.2624","0.6197","0.2475","0.6439","2.6596","4.7376","4.313","2.9603","1.4381","0","0","0","0","0","0","0","0","0","0"
"512","Chad Ryland","ARZ","k","14","17","101.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.4698","6.6025","7.8718","8.4282","6.7079","8.4866","4.4461","6.5918","36.3956","38.3456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"519","Steelers DST","PIT","dst","9","17","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.867","0.3873","11.9674","15.9144","7.8636","1.6924","1552.8292","0.5836","0.2475","0.6587","2.6373","4.7383","4.3136","2.9819","1.4227","0","0","0","0","0","0","0","0","0","0"
"520","Eagles DST","PHI","dst","10","17","100.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.8242","0.3867","12.6044","15.7775","7.8136","1.7509","1668.8799","0.6177","0.2505","0.618","2.6635","4.7663","4.3391","2.9544","1.4081","0","0","0","0","0","0","0","0","0","0"
"513","Riley Patterson","MIA","k","6","17","100.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.4338","6.5409","7.8964","8.3497","6.9179","8.4075","4.6917","6.5304","33.8738","35.3475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"522","Jaguars DST","JAX","dst","7","17","97.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.6254","0.3863","11.9962","15.587","7.7003","1.6795","1621.635","0.6054","0.2533","0.6319","2.6874","4.7608","4.3341","2.9596","1.3729","0","0","0","0","0","0","0","0","0","0"
"523","Seahawks DST","SEA","dst","11","17","97.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.1496","0.3873","12.4033","15.4984","7.6785","1.7164","1614.3637","0.6051","0.2458","0.6107","2.8528","4.7064","4.2846","2.9232","1.3766","0","0","0","0","0","0","0","0","0","0"
"524","Chiefs DST","KC","dst","5","17","97.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.7765","0.3856","12.3033","15.6054","7.7256","1.7129","1607.6327","0.6003","0.2495","0.645","2.6588","4.7463","4.3209","2.9755","1.404","0","0","0","0","0","0","0","0","0","0"
"525","Ravens DST","BLT","dst","13","17","97.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.7692","0.3854","12.5901","15.3392","7.6096","1.7318","1700.8621","0.6259","0.2497","0.6566","2.6735","4.7213","4.2982","2.9858","1.4149","0","0","0","0","0","0","0","0","0","0"
