"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"398","Jonathan Mingo","DAL","wr","14","17","22.6","0","0","0","0","0","0","0","0","0","0","18.2337","11.3629","125.1849","0.7466","0.1225","0.0676","0.0493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"399","Brayden Willis","SF","te","8","4","1.9","0","0","0","0","0","0","0","0","0","0","1.3281","1.0004","9.9665","0.0717","0.0108","0.006","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400","Dyami Brown","WAS","wr","7","17","22.2","0","0","0","0","0","0","0","0","0","0","15.9872","10.1403","125.212","0.7793","0.1093","0.0603","0.0436","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"401","Laquon Treadwell","IND","wr","13","17","21.6","0","0","0","0","0","0","0","0","0","0","16.7174","10.6223","121.3942","0.6941","0.1145","0.0632","0.0457","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"402","Cedric Tillman","CLV","wr","11","17","21.6","0","0","0","0","0","0","0","0","0","0","16.3288","10.0781","122.6949","0.7196","0.1086","0.06","0.0377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"403","Tim Patrick","NYJ","wr","13","17","21.1","0","0","0","0","0","0","0","0","0","0","14.742","9.3594","117.4457","0.7838","0.1009","0.0557","0.0333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","Van Jefferson","WAS","wr","7","17","21.1","0","0","0","0","0","0","0","0","0","0","15.9872","9.9698","117.3328","0.7332","0.1075","0.0593","0.0436","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"405","Jalen Brooks","ARZ","wr","14","17","20.5","0","0","0","0","0","0","0","0","0","0","16.0788","9.8959","118.2871","0.6303","0.1067","0.0589","0.0387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"406","Kevin Coleman Jr.","MIA","wr","6","17","20.4","0","0","0","0","0","0","0","0","0","0","14.7118","9.5296","118.4763","0.633","0.1027","0.0567","0.0397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","Xavier Smith","LA","wr","11","17","20.2","0","0","0","0","0","0","0","0","0","0","13.3351","8.4149","112.469","0.5559","0.0907","0.0501","0.0381","284.4049","0.2448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
