Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Lewis Bond (43837937),Lewis Bond,43837937,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,
WR,Dalevon Campbell (43837939),Dalevon Campbell,43837939,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,0,
WR,Jacob Cowing (43837941),Jacob Cowing,43837941,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0,
WR,Shedrick Jackson (43837943),Shedrick Jackson,43837943,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,3.2,
TE,Tanner McLachlan (43837945),Tanner McLachlan,43837945,TE/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0,IR
RB,Zamir White (43837947),Zamir White,43837947,RB/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,1.6,
WR,JaQuae Jackson (43837949),JaQuae Jackson,43837949,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,0,
WR,Josh Kelly (43837951),Josh Kelly,43837951,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,
WR,Malik Turner (43837953),Malik Turner,43837953,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0,
WR,Phillip Dorsett II (43837955),Phillip Dorsett II,43837955,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,
WR,Jared Wayne (43837957),Jared Wayne,43837957,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,4,
WR,Sincere Brown (43837959),Sincere Brown,43837959,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,0,
WR,Deven Thompkins (43837961),Deven Thompkins,43837961,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0.9,
WR,Trenton Irwin (43837963),Trenton Irwin,43837963,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0,
RB,Alec Ingold (43837965),Alec Ingold,43837965,RB/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,0.8,
RB,Scott Matlock (43837967),Scott Matlock,43837967,RB/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,0.7,
RB,Kyle Juszczyk (43837969),Kyle Juszczyk,43837969,RB/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,3.6,Q
RB,Connor Heyward (43837971),Connor Heyward,43837971,RB/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,1.5,
WR,Luke Grimm (43837973),Luke Grimm,43837973,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,0,Q
WR,Jha'Quan Jackson (43837975),Jha'Quan Jackson,43837975,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,
WR,Brandon Johnson (43837977),Brandon Johnson,43837977,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,
WR,Wesley Grimes (43837979),Wesley Grimes,43837979,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0,
TE,Patrick Gurd (43837981),Patrick Gurd,43837981,TE/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,
WR,Devonte Ross (43837983),Devonte Ross,43837983,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,0,
WR,Treyvhon Saunders (43837985),Treyvhon Saunders,43837985,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,
WR,Will Pauling (43837987),Will Pauling,43837987,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0,
WR,Chase Roberts (43837989),Chase Roberts,43837989,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,
WR,Daniel Sobkowicz (43837991),Daniel Sobkowicz,43837991,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,
WR,E.J. Williams Jr. (43837993),E.J. Williams Jr.,43837993,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,
WR,KhaDarel Hodge (43837995),KhaDarel Hodge,43837995,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0.5,
WR,Brandon Aiyuk (43837997),Brandon Aiyuk,43837997,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0,OUT
WR,Juwann Winfree (43837999),Juwann Winfree,43837999,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,
WR,Justin Shorter (43838001),Justin Shorter,43838001,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,IR
WR,Corey Rucker (43838003),Corey Rucker,43838003,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,IR
WR,Ricky Pearsall (43838005),Ricky Pearsall,43838005,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,9.5,IR
QB,Brett Rypien (43864446),Brett Rypien,43864446,QB,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,
TE,Louis Hansen (43864447),Louis Hansen,43864447,TE/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,
WR,Noah Brown (43873696),Noah Brown,43873696,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,3.3,
